Hungary, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 08/03/2022
Cohort    CMAB    CMAB40
1935     25.34     25.16
1936     25.32     25.17
1937     25.30     25.16
1938     25.34     25.21
1939     25.33     25.21
1940     25.37     25.26
1941     25.40     25.28
1942     25.42     25.31
1943     25.42     25.31
1944     25.37     25.25
1945     25.36     25.23
1946     25.30     25.18
1947     25.20     25.07
1948     25.10     24.97
1949     25.03     24.90
1950     24.98     24.84
1951     24.96     24.82
1952     24.99     24.83
1953     25.03     24.88
1954     24.97     24.82
1955     24.94     24.81
1956     24.95     24.80
1957     24.95     24.80
1958     25.00     24.85
1959     25.02     24.86
1960     25.08     24.90
1961     25.17     24.99
1962     25.25     25.06
1963     25.33     25.12
1964     25.42     25.20
1965     25.54     25.31
1966     25.67     25.43
1967     25.84     25.56
1968     25.99     25.72
1969     26.23     25.93
1970     26.50     26.17
1971         .     26.40
1972         .     26.67
1973         .     26.95
1974         .     27.33
1975         .     27.65
1976         .     27.90
1977         .     28.19
1978         .     28.35
1979         .     28.53
1980         .     28.80
