Hungary, Cohort mean ages at birth by birth order and cohort mean ages at birth by birth order by age 40
Last modified: 08/03/2022
Cohort    CMAB     CMAB1     CMAB2     CMAB3     CMAB4    CMAB5p    CMAB40  CMAB40_1  CMAB40_2  CMAB40_3  CMAB40_4 CMAB40_5p
1937     25.31     22.71     26.32     28.09     29.35     32.14     25.17     22.67     26.25     27.90     29.03     31.54
1938     25.34     22.73     26.48     28.22     29.43     32.09     25.21     22.69     26.41     28.02     29.09     31.49
1939     25.33     22.75     26.54     28.47     29.34     31.82     25.21     22.71     26.48     28.27     28.96     31.25
1940     25.37     22.78     26.66     28.62     29.53     31.82     25.26     22.76     26.60     28.43     29.21     31.23
1941     25.40     22.86     26.71     28.69     29.37     31.72     25.28     22.82     26.65     28.48     29.08     31.12
1942     25.42     22.94     26.75     28.82     29.56     31.54     25.31     22.90     26.70     28.61     29.21     31.00
1943     25.42     22.96     26.76     28.94     29.47     31.39     25.31     22.92     26.70     28.74     29.10     30.78
1944     25.37     22.93     26.69     28.89     29.49     31.26     25.25     22.89     26.63     28.66     29.05     30.69
1945     25.36     22.95     26.64     28.86     29.63     31.51     25.23     22.90     26.58     28.60     29.12     30.85
1946     25.30     22.96     26.58     28.76     29.57     31.30     25.18     22.91     26.52     28.51     29.02     30.65
1947     25.20     22.84     26.43     28.71     29.78     31.53     25.07     22.80     26.37     28.45     29.24     30.72
1948     25.10     22.77     26.22     28.53     29.71     31.57     24.97     22.73     26.16     28.26     29.16     30.74
1949     25.03     22.68     26.08     28.43     29.69     31.59     24.90     22.65     26.02     28.15     29.10     30.76
1950     24.98     22.69     25.98     28.45     29.77     31.78     24.84     22.65     25.93     28.14     29.18     30.92
1951     24.96     22.70     25.87     28.52     30.06     32.01     24.82     22.66     25.80     28.22     29.47     31.14
1952     24.99     22.74     25.83     28.70     30.39     32.24     24.83     22.70     25.76     28.34     29.79     31.30
1953     25.03     22.81     25.87     28.93     30.69     32.59     24.88     22.77     25.80     28.58     30.07     31.62
1954     24.97     22.71     25.80     29.02     30.72     32.75     24.82     22.66     25.74     28.69     30.11     31.77
1955     24.94     22.63     25.77     29.00     30.68     32.61     24.81     22.59     25.71     28.72     30.15     31.68
1956     24.95     22.56     25.76     29.08     30.71     32.60     24.80     22.52     25.69     28.80     30.15     31.71
1957     24.95     22.45     25.67     28.97     30.75     33.02     24.80     22.40     25.60     28.71     30.19     32.13
1958     25.00     22.50     25.79     29.06     30.85     32.63     24.85     22.45     25.71     28.81     30.26     31.83
1959     25.02     22.48     25.78     29.10     30.78     32.72     24.86     22.43     25.71     28.79     30.20     31.95
1960     25.08     22.52     25.82     29.05     30.78     32.82     24.90     22.46     25.74     28.73     30.15     31.99
1961     25.17     22.60     25.91     29.13     30.80     32.92     24.99     22.55     25.82     28.81     30.14     32.07
1962     25.25     22.69     25.96     29.09     30.68     32.74     25.06     22.63     25.86     28.74     30.11     31.99
1963     25.33     22.80     26.05     29.11     30.85     32.94     25.12     22.72     25.94     28.75     30.22     32.08
1964     25.42     22.92     26.12     29.23     30.87     32.89     25.20     22.83     26.00     28.85     30.23     31.96
1965     25.54     23.08     26.27     29.25     31.00     32.73     25.31     22.99     26.13     28.86     30.31     31.89
1966     25.67     23.25     26.38     29.38     31.09     32.80     25.43     23.15     26.23     28.96     30.31     31.90
1967     25.84     23.44     26.58     29.53     31.18     32.83     25.56     23.31     26.40     29.09     30.43     31.84
1968     25.99     23.65     26.78     29.57     31.01     32.69     25.72     23.52     26.61     29.09     30.29     31.76
1969     26.23     23.90     27.09     29.77     31.19     32.69     25.93     23.76     26.88     29.29     30.38     31.65
1970     26.50     24.20     27.38     29.93     31.34     32.75     26.17     24.04     27.14     29.38     30.48     31.70
1971         .         .         .         .         .         .     26.40     24.32     27.39     29.47     30.45     31.77
1972         .         .         .         .         .         .     26.67     24.65     27.76     29.61     30.25     31.63
1973         .         .         .         .         .         .     26.95     25.00     28.03     29.71     30.43     31.61
1974         .         .         .         .         .         .     27.33     25.47     28.49     30.01     30.70     31.74
1975         .         .         .         .         .         .     27.65     25.85     28.85     30.27     30.80     31.76
1976         .         .         .         .         .         .     27.90     26.20     29.09     30.31     30.66     31.90
1977         .         .         .         .         .         .     28.19     26.54     29.38     30.64     30.73     31.69
1978         .         .         .         .         .         .     28.35     26.72     29.54     30.75     30.69     31.43
1979         .         .         .         .         .         .     28.53     26.92     29.71     30.86     30.68     31.41
1980         .         .         .         .         .         .     28.80     27.21     29.99     31.06     30.85     31.64
