Hungary, Conditional fertility rates by calendar year, age and birth order (based on parity distribution from population register)
Last modified: 08/03/2022
Year  Age       m1x       m2x       m3x       m4x      m5px
1970   12-  0.00000         .         .         .         .
1970   13   0.00000   0.00000         .         .         .
1970   14   0.00177   0.17837   0.00000         .         .
1970   15   0.00472   0.05643   0.02482         .         .
1970   16   0.01217   0.07582   0.03578   0.00000         .
1970   17   0.03495   0.10424   0.06535   0.00000         .
1970   18   0.07694   0.10490   0.09401   0.08245   0.11711
1970   19   0.13250   0.11288   0.10705   0.15074   0.02925
1970   20   0.17739   0.13173   0.10751   0.18238   0.09723
1970   21   0.19615   0.13185   0.09929   0.19130   0.21149
1970   22   0.20234   0.14295   0.08525   0.15951   0.21042
1970   23   0.19682   0.14335   0.06944   0.16266   0.17569
1970   24   0.19378   0.14320   0.06513   0.14259   0.21147
1970   25   0.18661   0.14832   0.05029   0.12163   0.23791
1970   26   0.16824   0.14599   0.04679   0.11214   0.21007
1970   27   0.15095   0.13941   0.04313   0.08684   0.19528
1970   28   0.12537   0.12622   0.04074   0.07719   0.19436
1970   29   0.10531   0.11271   0.03710   0.05437   0.16071
1970   30   0.08929   0.09468   0.03476   0.05544   0.14009
1970   31   0.07121   0.08514   0.02996   0.04958   0.14444
1970   32   0.05947   0.06743   0.02446   0.04252   0.13310
1970   33   0.05144   0.05194   0.02102   0.03139   0.11602
1970   34   0.04095   0.04235   0.01853   0.03082   0.09796
1970   35   0.03302   0.03016   0.01423   0.02248   0.08820
1970   36   0.02092   0.02055   0.01104   0.02358   0.07439
1970   37   0.02150   0.01684   0.00953   0.01570   0.06312
1970   38   0.01678   0.01063   0.00719   0.01190   0.05292
1970   39   0.01197   0.00933   0.00543   0.00932   0.03971
1970   40   0.00874   0.00512   0.00320   0.00761   0.03123
1970   41   0.00559   0.00285   0.00230   0.00485   0.02138
1970   42   0.00360   0.00235   0.00184   0.00306   0.01669
1970   43   0.00201   0.00138   0.00107   0.00211   0.01073
1970   44   0.00141   0.00070   0.00050   0.00097   0.00461
1970   45   0.00038   0.00028   0.00037   0.00084   0.00272
1970   46   0.00066   0.00011   0.00013   0.00008   0.00111
1970   47   0.00000   0.00006   0.00000   0.00016   0.00050
1970   48   0.00008   0.00000   0.00000   0.00008   0.00031
1970   49   0.00009   0.00000   0.00000   0.00008   0.00008
1970   50   0.00000   0.00000   0.00000   0.00000   0.00000
1970   51   0.00000   0.00009   0.00000   0.00000   0.00000
1970   52   0.00017   0.00000   0.00000   0.00017   0.00000
1970   53   0.00000   0.00024   0.00000   0.00000   0.00000
1970   54   0.00014   0.00000   0.00000   0.00000   0.00000
1970   55+  0.00010   0.00007   0.00000   0.00000   0.00000
1971   12-  0.00004         .         .         .         .
1971   13   0.00048   0.00000         .         .         .
1971   14   0.00161   0.06016   0.00000         .         .
1971   15   0.00548   0.04980   0.00000         .         .
1971   16   0.01483   0.07610   0.05861   0.00000         .
1971   17   0.03505   0.08221   0.10777   0.06829         .
1971   18   0.07504   0.09480   0.11930   0.05964   0.33712
1971   19   0.13105   0.11467   0.12971   0.14019   0.14018
1971   20   0.17406   0.13141   0.10147   0.16358   0.13639
1971   21   0.19356   0.13736   0.09952   0.18086   0.18245
1971   22   0.20073   0.14393   0.08121   0.15084   0.23134
1971   23   0.19063   0.14465   0.06784   0.17431   0.22050
1971   24   0.18325   0.14555   0.05897   0.12766   0.21117
1971   25   0.17051   0.14166   0.05779   0.10962   0.21233
1971   26   0.15581   0.14000   0.04439   0.09546   0.20807
1971   27   0.14694   0.13584   0.04044   0.08273   0.21242
