Hungary, Parity- and age-adjusted total fertility rate
Last modified: 08/03/2022
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1970    1.937    0.910    0.664    0.205    0.072    0.086
1971    1.902    0.904    0.652    0.195    0.069    0.083
1972    1.903    0.901    0.656    0.194    0.068    0.084
1973    1.920    0.900    0.656    0.205    0.073    0.086
1974    2.221    0.916    0.747    0.296    0.118    0.144
1975    2.257    0.919    0.780    0.315    0.118    0.125
1976    2.153    0.919    0.772    0.279    0.095    0.088
1977    2.093    0.918    0.763    0.260    0.081    0.070
1978    2.021    0.918    0.753    0.231    0.066    0.053
1979    1.979    0.919    0.742    0.212    0.058    0.049
1980    1.910    0.912    0.717    0.191    0.050    0.040
1981    1.898    0.911    0.707    0.193    0.050    0.038
1982    1.842    0.908    0.686    0.174    0.044    0.030
1983    1.813    0.905    0.677    0.164    0.040    0.027
1984    1.823    0.911    0.681    0.162    0.040    0.028
1985    1.905    0.917    0.704    0.191    0.053    0.041
1986    1.905    0.910    0.707    0.194    0.054    0.039
1987    1.898    0.908    0.701    0.195    0.055    0.040
1988    1.897    0.908    0.692    0.199    0.056    0.042
1989    1.891    0.899    0.683    0.206    0.060    0.043
1990    1.916    0.897    0.685    0.220    0.066    0.048
1991    1.922    0.898    0.686    0.219    0.067    0.052
1992    1.839    0.881    0.645    0.201    0.062    0.048
1993    1.760    0.857    0.607    0.189    0.059    0.047
1994    1.717    0.843    0.573    0.189    0.061    0.050
1995    1.644    0.828    0.546    0.173    0.053    0.044
1996    1.545    0.815    0.507    0.144    0.042    0.036
1997    1.461    0.790    0.464    0.129    0.040    0.037
1998    1.412    0.779    0.446    0.120    0.036    0.031
1999    1.368    0.769    0.422    0.114    0.034    0.029
2000    1.399    0.772    0.432    0.124    0.038    0.034
2001    1.378    0.759    0.419    0.126    0.039    0.036
2002    1.373    0.759    0.418    0.124    0.038    0.034
2003    1.341    0.751    0.404    0.119    0.036    0.031
2004    1.349    0.758    0.409    0.117    0.035    0.029
2005    1.374    0.765    0.415    0.124    0.037    0.032
2006    1.397    0.763    0.426    0.131    0.041    0.035
2007    1.372    0.757    0.419    0.126    0.038    0.032
2008    1.401    0.757    0.426    0.134    0.044    0.040
2009    1.367    0.745    0.421    0.128    0.039    0.034
2010    1.294    0.729    0.394    0.111    0.032    0.028
2011    1.291    0.716    0.390    0.119    0.036    0.031
2012    1.366    0.722    0.416    0.142    0.045    0.041
2013    1.371    0.714    0.415    0.147    0.049    0.045
2014    1.443    0.722    0.438    0.169    0.058    0.055
2015    1.464    0.727    0.452    0.176    0.058    0.052
2016    1.518    0.735    0.472    0.193    0.063    0.055
2017    1.505    0.729    0.469    0.195    0.061    0.050
2018    1.489    0.724    0.469    0.191    0.058    0.047
2019    1.487    0.724    0.471    0.189    0.058    0.044
2020    1.560    0.736    0.490    0.210    0.071    0.054
