Hungary, Parity- and age-adjusted total fertility rate (based on parity distribution from population register)
Last modified: 08/03/2022
Year    PATFR   PATFR1   PATFR2   PATFR3   PATFR4  PATFR5p
1970    1.937    0.910    0.664    0.205    0.072    0.086
1971    1.901    0.904    0.652    0.195    0.069    0.083
1972    1.902    0.901    0.655    0.194    0.068    0.083
1973    1.918    0.900    0.654    0.205    0.073    0.086
1974    2.216    0.915    0.745    0.296    0.117    0.142
1975    2.254    0.918    0.776    0.315    0.119    0.126
1976    2.149    0.918    0.769    0.279    0.095    0.089
1977    2.087    0.916    0.759    0.260    0.081    0.070
1978    2.015    0.915    0.748    0.232    0.067    0.053
1979    1.973    0.914    0.735    0.213    0.060    0.052
1980    1.902    0.905    0.707    0.192    0.052    0.046
1981    1.889    0.903    0.698    0.194    0.052    0.043
1982    1.832    0.897    0.680    0.175    0.045    0.034
1983    1.802    0.895    0.671    0.165    0.041    0.030
1984    1.812    0.901    0.676    0.163    0.042    0.030
1985    1.896    0.907    0.699    0.192    0.054    0.043
1986    1.895    0.900    0.702    0.195    0.056    0.042
1987    1.888    0.897    0.696    0.197    0.057    0.042
1988    1.887    0.897    0.687    0.200    0.058    0.044
1989    1.879    0.886    0.674    0.208    0.063    0.049
1990    1.905    0.884    0.672    0.221    0.070    0.058
1991    1.910    0.884    0.675    0.221    0.070    0.060
1992    1.825    0.866    0.636    0.203    0.065    0.055
1993    1.744    0.841    0.599    0.191    0.061    0.052
1994    1.701    0.826    0.567    0.191    0.063    0.055
1995    1.629    0.811    0.543    0.174    0.055    0.046
1996    1.529    0.798    0.504    0.145    0.043    0.038
1997    1.446    0.773    0.463    0.131    0.041    0.039
1998    1.398    0.762    0.446    0.121    0.037    0.032
1999    1.355    0.754    0.422    0.115    0.034    0.029
2000    1.389    0.759    0.431    0.124    0.039    0.036
2001    1.371    0.748    0.416    0.126    0.040    0.041
2002    1.367    0.750    0.416    0.124    0.039    0.038
2003    1.335    0.742    0.403    0.119    0.037    0.034
2004    1.343    0.751    0.408    0.118    0.035    0.031
2005    1.369    0.760    0.415    0.124    0.038    0.033
2006    1.393    0.759    0.426    0.131    0.041    0.036
2007    1.369    0.754    0.419    0.126    0.038    0.032
2008    1.399    0.755    0.426    0.133    0.043    0.040
2009    1.366    0.745    0.422    0.128    0.039    0.034
2010    1.293    0.729    0.394    0.111    0.032    0.027
2011    1.291    0.720    0.389    0.116    0.035    0.031
2012    1.369    0.732    0.413    0.137    0.044    0.043
2013    1.374    0.725    0.411    0.143    0.048    0.047
2014    1.447    0.735    0.434    0.165    0.057    0.057
2015    1.468    0.740    0.447    0.171    0.057    0.053
2016    1.521    0.747    0.467    0.189    0.062    0.055
2017    1.506    0.742    0.463    0.191    0.060    0.050
2018    1.490    0.736    0.462    0.187    0.057    0.047
2019    1.487    0.736    0.465    0.186    0.057    0.043
2020    1.559    0.747    0.484    0.207    0.069    0.052
