Hungary, Period table mean ages at birth by birth order
Last modified: 08/03/2022
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1970    25.29    22.68    26.26    29.04    30.06    32.53
1971    25.23    22.68    26.21    28.93    30.06    32.60
1972    25.17    22.67    26.10    28.81    29.92    32.61
1973    25.22    22.69    26.07    28.75    30.03    32.88
1974    25.39    22.49    25.51    28.44    30.15    33.04
1975    25.25    22.32    25.29    28.55    30.53    33.19
1976    24.95    22.20    25.29    28.52    30.62    33.24
1977    24.85    22.23    25.33    28.65    30.79    33.21
1978    24.67    22.24    25.36    28.56    30.49    32.87
1979    24.56    22.24    25.38    28.45    30.02    32.40
1980    24.57    22.37    25.53    28.46    29.98    32.25
1981    24.70    22.51    25.69    28.52    29.99    32.29
1982    24.73    22.66    25.84    28.58    29.98    32.11
1983    24.83    22.79    26.04    28.67    29.89    32.16
1984    24.86    22.81    26.11    28.58    29.95    32.10
1985    25.02    22.85    26.09    28.69    29.94    31.98
1986    25.22    23.01    26.25    28.91    30.45    32.54
1987    25.37    23.14    26.37    29.10    30.65    32.73
1988    25.47    23.28    26.43    29.07    30.80    32.71
1989    25.60    23.43    26.48    29.10    30.74    32.93
1990    25.65    23.44    26.48    29.00    30.76    32.80
1991    25.77    23.53    26.56    29.16    30.93    33.00
1992    25.92    23.86    26.73    29.21    30.89    32.81
1993    26.16    24.19    27.01    29.26    30.82    32.82
1994    26.40    24.52    27.22    29.23    30.86    32.70
1995    26.57    24.90    27.37    29.19    30.77    32.72
1996    26.76    25.29    27.66    29.34    30.60    32.50
1997    26.97    25.63    27.93    29.20    30.17    32.32
1998    27.22    26.00    28.24    29.15    30.19    32.16
1999    27.47    26.39    28.44    29.26    30.15    32.07
2000    27.67    26.56    28.61    29.37    30.23    31.94
2001    27.94    26.84    28.86    29.55    30.35    32.14
2002    28.14    27.09    29.06    29.67    30.42    32.17
2003    28.36    27.41    29.26    29.74    30.31    32.06
2004    28.59    27.61    29.59    29.98    30.45    32.20
2005    28.81    27.88    29.69    30.20    30.54    32.09
2006    28.98    28.05    29.84    30.27    30.55    32.12
2007    29.15    28.25    30.05    30.40    30.69    32.10
2008    29.17    28.25    30.03    30.35    30.49    32.03
2009    29.33    28.40    30.25    30.66    30.61    32.08
2010    29.63    28.73    30.64    30.96    30.80    32.25
2011    29.72    28.83    30.64    31.00    30.94    32.29
2012    29.57    28.60    30.40    30.88    30.91    32.31
2013    29.51    28.49    30.29    30.82    31.02    32.47
2014    29.48    28.35    30.18    30.89    31.19    32.40
2015    29.61    28.41    30.35    31.20    31.44    32.52
2016    29.50    28.22    30.22    31.06    31.47    32.73
2017    29.68    28.37    30.39    31.45    31.77    32.69
2018    29.78    28.48    30.53    31.48    31.70    32.85
2019    29.84    28.54    30.58    31.62    31.88    32.83
2020    29.86    28.45    30.51    31.61    32.24    33.30
