Hungary, Period table mean ages at birth by birth order (based on parity distribution from population register)
Last modified: 08/03/2022
Year     TMAB    TMAB1    TMAB2    TMAB3    TMAB4   TMAB5p
1970    25.29    22.68    26.26    29.04    30.06    32.53
1971    25.23    22.68    26.21    28.92    30.07    32.61
1972    25.18    22.69    26.10    28.80    29.95    32.64
1973    25.23    22.70    26.06    28.74    30.04    32.90
1974    25.39    22.51    25.49    28.44    30.22    33.12
1975    25.26    22.34    25.28    28.53    30.54    33.23
1976    24.95    22.22    25.27    28.50    30.65    33.28
1977    24.86    22.24    25.30    28.63    30.82    33.27
1978    24.67    22.25    25.32    28.55    30.54    32.95
1979    24.57    22.26    25.32    28.41    30.00    32.40
1980    24.58    22.40    25.44    28.38    29.91    32.26
1981    24.70    22.52    25.61    28.46    29.98    32.38
1982    24.73    22.63    25.78    28.57    30.07    32.42
1983    24.82    22.76    25.97    28.67    30.01    32.45
1984    24.85    22.77    26.05    28.59    30.08    32.40
1985    25.02    22.82    26.03    28.69    30.06    32.26
1986    25.22    22.98    26.19    28.90    30.55    32.80
1987    25.36    23.11    26.31    29.09    30.74    32.99
1988    25.46    23.24    26.37    29.05    30.89    32.93
1989    25.61    23.44    26.40    29.03    30.71    32.98
1990    25.67    23.46    26.36    28.90    30.68    32.79
1991    25.78    23.54    26.45    29.09    30.91    33.12
1992    25.92    23.84    26.61    29.16    30.93    33.00
1993    26.15    24.15    26.89    29.22    30.91    33.08
1994    26.38    24.45    27.10    29.20    30.95    32.97
1995    26.53    24.81    27.26    29.20    30.90    33.01
1996    26.72    25.19    27.57    29.34    30.71    32.77
1997    26.92    25.51    27.85    29.20    30.27    32.55
1998    27.16    25.88    28.17    29.16    30.28    32.37
1999    27.41    26.26    28.40    29.29    30.26    32.26
2000    27.62    26.44    28.56    29.38    30.30    32.04
2001    27.89    26.74    28.80    29.53    30.34    32.21
2002    28.09    26.99    29.01    29.66    30.45    32.31
2003    28.31    27.32    29.22    29.71    30.34    32.25
2004    28.55    27.53    29.56    29.98    30.52    32.42
2005    28.78    27.81    29.67    30.20    30.60    32.33
2006    28.96    28.00    29.83    30.28    30.63    32.36
2007    29.14    28.20    30.04    30.42    30.78    32.37
2008    29.16    28.21    30.03    30.37    30.58    32.25
2009    29.33    28.38    30.24    30.67    30.69    32.29
2010    29.63    28.72    30.64    30.98    30.89    32.49
2011    29.71    28.78    30.70    31.06    30.97    32.43
2012    29.57    28.54    30.50    30.91    30.85    32.36
2013    29.51    28.48    30.38    30.81    30.96    32.58
2014    29.48    28.37    30.24    30.85    31.11    32.50
2015    29.62    28.45    30.39    31.13    31.38    32.67
2016    29.52    28.29    30.23    31.00    31.41    32.87
2017    29.70    28.46    30.38    31.39    31.75    32.85
2018    29.79    28.58    30.50    31.41    31.69    33.01
2019    29.85    28.65    30.53    31.58    31.92    33.02
2020    29.87    28.55    30.46    31.57    32.27    33.48
