Hungary, Cohort parity progression ratios
Last modified: 08/03/2022
Cohort   PPR0_1    PPR1_2    PPR2_3    PPR3_4
1937      0.913     0.706     0.346     0.391
1938      0.909     0.706     0.329     0.398
1939      0.909     0.707     0.323     0.377
1940      0.910     0.714     0.317     0.361
1941      0.917     0.717     0.308     0.357
1942      0.908     0.722     0.299     0.344
1943      0.918     0.732     0.294     0.327
1944      0.914     0.744     0.293     0.316
1945      0.907     0.752     0.292     0.306
1946      0.913     0.756     0.286     0.301
1947      0.917     0.764     0.287     0.289
1948      0.915     0.777     0.291     0.295
1949      0.916     0.790     0.294     0.300
1950      0.913     0.790     0.290     0.289
1951      0.919     0.793     0.291     0.287
1952      0.914     0.795     0.289     0.290
1953      0.913     0.787     0.286     0.273
1954      0.917     0.785     0.283     0.278
1955      0.917     0.787     0.288     0.286
1956      0.922     0.789     0.294     0.288
1957      0.927     0.793     0.310     0.312
1958      0.929     0.791     0.311     0.300
1959      0.930     0.789     0.320     0.307
1960      0.926     0.786     0.327     0.314
1961      0.932     0.785     0.334     0.308
1962      0.928     0.780     0.344     0.309
1963      0.921     0.776     0.343     0.315
1964      0.919     0.765     0.347     0.307
1965      0.915     0.765     0.348     0.313
1966      0.914     0.750     0.356     0.313
1967      0.913     0.740     0.355     0.305
1968      0.901     0.732     0.359     0.304
1969      0.899     0.721     0.359     0.309
1970      0.884     0.710     0.362     0.312
