Hungary, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 08/03/2022
Year      sdMAB    sdMAB40
1950       6.24       5.58
1951       6.21       5.55
1952       6.13       5.51
1953       6.13       5.52
1954       6.06       5.50
1955       6.06       5.49
1956       5.98       5.45
1957       5.90       5.39
1958       5.80       5.33
1959       5.73       5.28
1960       5.65       5.22
1961       5.61       5.18
1962       5.55       5.12
1963       5.47       5.10
1964       5.40       5.03
1965       5.34       5.00
1966       5.32       4.99
1967       5.29       4.99
1968       5.26       4.97
1969       5.30       5.00
1970       5.28       4.98
1971       5.28       5.00
1972       5.26       4.96
1973       5.26       4.98
1974       5.21       4.95
1975       5.20       4.97
1976       5.21       4.98
1977       5.23       4.97
1978       5.17       4.94
1979       5.12       4.89
1980       5.10       4.88
1981       5.05       4.83
1982       5.04       4.83
1983       5.00       4.79
1984       4.98       4.79
1985       4.99       4.80
1986       5.01       4.81
1987       5.03       4.83
1988       4.99       4.79
1989       4.99       4.78
1990       5.01       4.81
1991       5.04       4.83
1992       5.07       4.86
1993       5.12       4.89
1994       5.21       4.97
1995       5.20       4.96
1996       5.27       5.02
1997       5.32       5.07
1998       5.32       5.07
1999       5.34       5.10
2000       5.39       5.14
2001       5.46       5.20
2002       5.50       5.23
2003       5.53       5.27
2004       5.57       5.30
2005       5.59       5.32
2006       5.58       5.32
2007       5.64       5.36
2008       5.71       5.43
2009       5.76       5.46
2010       5.81       5.49
2011       5.83       5.50
2012       5.85       5.52
2013       5.98       5.64
2014       6.03       5.69
2015       6.06       5.70
2016       6.12       5.75
2017       6.12       5.74
2018       6.12       5.72
2019       6.11       5.70
2020       6.08       5.67
