Hungary, Standard deviation in period mean ages at birth by birth order and standard deviation in period mean ages at birth by birth order by age 40
Last modified: 08/03/2022
Year      sdMAB      sdMAB1      sdMAB2      sdMAB3      sdMAB4     sdMAB5p     sdMAB40   sdMAB40_1   sdMAB40_2   sdMAB40_3   sdMAB40_4  sdMAB40_5p
1952       6.13        4.71        4.89        5.13        5.12        5.06        5.51        4.47        4.61        4.70        4.51        4.06
1953       6.13        4.78        4.94        5.09        5.12        5.06        5.52        4.53        4.65        4.64        4.51        4.09
1954       6.06        4.71        4.91        5.07        5.02        5.09        5.50        4.48        4.64        4.64        4.47        4.14
1955       6.06        4.57        4.92        5.04        5.10        5.15        5.49        4.36        4.66        4.64        4.50        4.12
1956       5.98        4.55        4.89        5.09        5.03        5.18        5.45        4.33        4.67        4.67        4.50        4.18
1957       5.90        4.36        4.88        5.09        5.11        5.18        5.39        4.17        4.64        4.69        4.55        4.18
1958       5.80        4.37        4.78        5.09        5.10        5.18        5.33        4.18        4.57        4.72        4.57        4.20
1959       5.73        4.33        4.73        5.05        5.11        5.16        5.28        4.15        4.51        4.71        4.61        4.22
1960       5.65        4.28        4.68        4.98        5.09        5.20        5.22        4.13        4.45        4.65        4.57        4.28
1961       5.61        4.27        4.62        4.93        5.15        5.24        5.18        4.11        4.41        4.61        4.64        4.30
1962       5.55        4.22        4.58        4.93        5.07        5.26        5.12        4.05        4.40        4.60        4.59        4.30
1963       5.47        4.18        4.54        4.94        5.10        5.22        5.10        4.01        4.36        4.64        4.62        4.39
1964       5.40        4.08        4.48        4.90        5.08        5.22        5.03        3.93        4.33        4.58        4.58        4.30
1965       5.34        4.06        4.46        4.94        5.10        5.12        5.00        3.91        4.30        4.58        4.62        4.30
1966       5.32        4.00        4.43        4.97        5.16        5.13        4.99        3.86        4.28        4.64        4.66        4.30
1967       5.29        4.00        4.41        4.93        5.08        5.10        4.99        3.87        4.26        4.66        4.66        4.25
1968       5.26        4.00        4.37        4.95        5.11        5.05        4.97        3.88        4.24        4.66        4.71        4.26
1969       5.30        4.01        4.44        5.02        5.14        5.04        5.00        3.88        4.30        4.70        4.70        4.24
1970       5.28        4.04        4.42        5.04        5.36        5.10        4.98        3.90        4.29        4.75        4.82        4.32
1971       5.28        4.05        4.40        5.08        5.33        5.14        5.00        3.92        4.27        4.80        4.86        4.40
1972       5.26        4.06        4.36        5.04        5.42        5.22        4.96        3.92        4.23        4.74        4.94        4.44
1973       5.26        4.09        4.37        4.99        5.34        5.18        4.98        3.96        4.25        4.70        4.88        4.42
1974       5.21        4.11        4.33        4.82        5.37        5.28        4.95        4.01        4.23        4.58        4.84        4.49
