Hungary, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 08/03/2022
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1952     2.469     0.956     0.676     0.347     0.187     0.303     2.382     0.949     0.668     0.337     0.178     0.250
1953     2.753     1.022     0.767     0.424     0.218     0.322     2.656     1.014     0.757     0.411     0.207     0.267
1954     2.975     1.047     0.870     0.466     0.245     0.347     2.878     1.040     0.859     0.453     0.234     0.292
1955     2.808     1.053     0.814     0.415     0.217     0.308     2.717     1.047     0.805     0.404     0.206     0.256
1956     2.603     1.022     0.753     0.372     0.193     0.264     2.532     1.016     0.745     0.362     0.184     0.224
1957     2.295     0.993     0.661     0.285     0.140     0.216     2.238     0.988     0.655     0.278     0.133     0.183
1958     2.186     0.963     0.650     0.262     0.124     0.188     2.138     0.958     0.644     0.256     0.119     0.161
1959     2.089     0.927     0.622     0.247     0.117     0.176     2.047     0.923     0.616     0.242     0.113     0.152
1960     2.024     0.896     0.595     0.255     0.112     0.165     1.986     0.893     0.590     0.250     0.108     0.144
1961     1.939     0.875     0.567     0.238     0.107     0.153     1.904     0.871     0.562     0.233     0.103     0.133
1962     1.795     0.815     0.524     0.216     0.100     0.141     1.763     0.811     0.521     0.212     0.096     0.123
1963     1.825     0.818     0.556     0.212     0.097     0.140     1.795     0.815     0.552     0.209     0.094     0.125
1964     1.822     0.860     0.546     0.198     0.090     0.127     1.794     0.857     0.543     0.194     0.087     0.113
1965     1.831     0.886     0.553     0.187     0.083     0.122     1.805     0.883     0.550     0.184     0.080     0.110
1966     1.899     0.924     0.596     0.178     0.081     0.120     1.874     0.921     0.593     0.174     0.077     0.108
1967     2.027     0.969     0.668     0.191     0.080     0.119     2.002     0.966     0.664     0.188     0.078     0.106
1968     2.081     0.981     0.713     0.194     0.078     0.114     2.057     0.979     0.709     0.190     0.076     0.103
1969     2.052     0.977     0.702     0.189     0.074     0.109     2.027     0.974     0.699     0.185     0.072     0.098
1970     1.989     0.946     0.687     0.184     0.070     0.101     1.966     0.943     0.684     0.181     0.067     0.091
1971     1.941     0.920     0.673     0.181     0.068     0.098     1.919     0.918     0.670     0.178     0.065     0.089
1972     1.940     0.912     0.687     0.180     0.066     0.095     1.918     0.909     0.684     0.177     0.063     0.085
1973     1.942     0.904     0.686     0.196     0.066     0.090     1.921     0.902     0.683     0.192     0.064     0.081
1974     2.288     0.970     0.894     0.256     0.076     0.093     2.265     0.967     0.891     0.252     0.072     0.082
1975     2.366     0.991     0.947     0.269     0.075     0.084     2.343     0.989     0.943     0.265     0.072     0.074
1976     2.250     0.996     0.871     0.242     0.068     0.073     2.229     0.994     0.867     0.239     0.065     0.064
1977     2.168     0.973     0.832     0.232     0.063     0.068     2.147     0.971     0.828     0.228     0.060     0.059
