Hungary, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 08/03/2022
Cohort     CCF     CCF40
1935     1.973     1.953
1936     1.985     1.966
1937     1.978     1.961
1938     1.949     1.933
1939     1.932     1.917
1940     1.923     1.910
1941     1.931     1.918
1942     1.898     1.886
1943     1.918     1.905
1944     1.918     1.905
1945     1.906     1.891
1946     1.914     1.900
1947     1.928     1.914
1948     1.946     1.931
1949     1.974     1.958
1950     1.955     1.939
1951     1.971     1.954
1952     1.956     1.939
1953     1.933     1.916
1954     1.938     1.920
1955     1.950     1.934
1956     1.974     1.957
1957     2.020     2.002
1958     2.015     1.997
1959     2.026     2.006
1960     2.024     2.003
1961     2.040     2.018
1962     2.041     2.019
1963     2.019     1.994
1964     2.005     1.978
1965     1.995     1.968
1966     1.979     1.950
1967     1.960     1.927
1968     1.926     1.894
1969     1.906     1.871
1970     1.867     1.828
1971         .     1.806
1972         .     1.747
1973         .     1.737
1974         .     1.675
1975         .     1.634
1976         .     1.611
1977         .     1.572
1978         .     1.549
1979         .     1.518
1980         .     1.467
