Hungary, Total live births
Last modified: 08/03/2022
Year         Total
1950     195567.01
1951     190644.93
1952     185819.99
1953     206925.97
1954     223347.03
1955     210430.01
1956     192809.95
1957     167201.97
1958     158427.98
1959     151194.03
1960     146460.99
1961     140365.04
1962     130053.01
1963     132335.00
1964     132141.01
1965     133009.00
1966     138489.00
1967     148885.99
1968     154419.00
1969     154318.01
1970     151819.00
1971     150640.00
1972     153265.00
1973     156223.00
1974     186288.00
1975     194240.00
1976     185405.00
1977     177574.00
1978     168160.00
1979     160364.00
1980     148673.00
1981     142890.00
1982     133559.00
1983     127258.00
1984     125359.00
1985     130200.00
1986     128204.00
1987     125840.00
1988     124296.00
1989     123304.00
1990     125679.00
1991     127207.00
1992     121724.00
1993     117033.00
1994     115598.00
1995     112054.00
1996     105272.00
1997     100350.00
1998      97300.00
1999      94645.00
2000      97597.00
2001      97047.00
2002      96804.00
2003      94647.00
2004      95137.00
2005      97496.00
2006      99871.00
2007      97613.00
2008      99149.00
2009      96442.00
2010      90335.00
2011      88049.00
2012      90269.00
2013      88689.00
2014      91510.00
2015      91690.00
2016      93063.00
2017      91577.00
2018      89807.00
2019      89193.00
2020      92338.00
