Hungary, Total live births by birth order
Last modified: 08/03/2022
Year         Total            B1            B2            B3            B4           B5p
1952     185819.99      73278.98      51854.04      26035.01      13685.94      20965.98
1953     206925.97      77751.04      58733.01      31963.00      16135.02      22344.03
1954     223347.03      78880.02      66502.99      35317.97      18253.01      24392.98
1955     210430.01      78656.03      62046.05      31516.98      16286.02      21924.97
1956     192809.95      74937.04      56445.99      28032.02      14459.00      18935.96
1957     167201.97      71370.03      48702.01      21225.98      10403.01      15501.04
1958     158427.98      68849.98      47438.96      19353.00       9191.02      13595.02
1959     151194.03      66353.51      45113.92      18170.58       8682.41      12873.68
1960     146460.99      64406.78      42970.52      18633.43       8296.08      12154.06
1961     140365.04      63153.03      40794.98      17264.03       7844.01      11308.98
1962     130053.01      59083.98      37681.01      15592.99       7263.98      10430.98
1963     132335.00      59596.00      39955.99      15338.00       7076.00      10369.00
1964     132141.01      62823.01      39198.99      14260.00       6516.00       9343.00
1965     133009.00      64892.00      39769.99      13472.00       5982.00       8893.00
1966     138489.00      68238.01      42956.99      12782.00       5799.00       8713.00
1967     148885.99      72503.99      48343.00      13705.00       5777.00       8557.00
1968     154419.00      74734.00      51908.00      13953.00       5628.00       8196.00
1969     154318.01      75870.00      51602.00      13695.00       5341.00       7810.00
1970     151819.00      74903.00      51173.00      13439.00       5076.00       7228.00
1971     150640.00      74487.00      50851.00      13317.00       4945.00       7040.00
1972     153265.00      75410.00      52771.00      13421.00       4859.00       6804.00
1973     156223.00      76401.00      53623.00      14789.00       4913.00       6497.00
1974     186288.00      82967.00      71338.00      19579.00       5692.00       6712.00
1975     194240.00      84681.00      76839.00      20849.00       5729.00       6142.00
1976     185405.00      83867.00      71777.00      19164.00       5243.00       5354.00
1977     177574.00      79883.00      69125.00      18564.00       4947.00       5055.00
1978     168160.00      76428.00      65799.00      16994.00       4547.00       4392.00
1979     160364.00      73363.00      62313.00      16072.00       4360.00       4256.00
1980     148673.00      67650.00      57756.00      15150.00       4173.00       3944.00
1981     142890.00      63971.00      55042.00      15956.00       4226.00       3695.00
1982     133559.00      60268.00      51219.00      14667.00       4041.00       3364.00
1983     127258.00      57707.00      48527.00      13912.00       3880.00       3232.00
1984     125359.00      57909.00      47019.00      13347.00       3835.00       3249.00
1985     130200.00      58359.00      48896.00      15091.00       4352.00       3502.00
1986     128204.00      56066.00      48812.00      15325.00       4516.00       3485.00
1987     125840.00      55285.00      47107.00      15336.00       4608.00       3504.00
1988     124296.00      55216.00      45289.00      15572.00       4554.00       3665.00
1989     123304.00      53964.00      44941.00      16195.00       4711.00       3493.00
1990     125679.00      55574.00      44856.00      16898.00       4801.00       3550.00
1991     127207.00      56795.00      45034.00      16507.00       5016.00       3855.00
1992     121724.00      53942.00      42777.00      16028.00       5132.00       3845.00
1993     117033.00      51037.00      40621.00      16213.00       5223.00       3939.00
1994     115598.00      49891.00      38828.00      17367.00       5366.00       4146.00
1995     112054.00      48395.00      38381.00      16165.00       5047.00       4066.00
1996     105272.00      46920.00      35277.00      14148.00       4800.00       4127.00
1997     100350.00      44587.00      32801.00      13864.00       4880.00       4218.00
1998      97300.00      43546.00      32118.00      13195.00       4540.00       3901.00
1999      94645.00      42764.00      30666.00      13017.00       4393.00       3805.00
2000      97597.00      44012.00      31586.00      13521.00       4545.00       3933.00
2001      97047.00      43094.00      31017.00      14148.00       4718.00       4070.00
2002      96804.00      43684.00      31095.00      13408.00       4628.00       3989.00
2003      94647.00      42961.00      30529.00      13005.00       4411.00       3741.00
2004      95137.00      44436.00      30225.00      12537.00       4257.00       3682.00
2005      97496.00      45388.00      31358.00      12745.00       4318.00       3687.00
2006      99871.00      45794.00      32973.00      13019.00       4443.00       3642.00
2007      97613.00      45270.00      32122.00      12496.00       4123.00       3602.00
2008      99149.00      46078.00      32347.00      12571.00       4403.00       3750.00
2009      96442.00      45022.00      32009.00      11864.00       4073.00       3474.00
2010      90335.00      42782.00      29413.00      10929.00       3803.00       3408.00
2011      88049.00      40837.00      28784.00      11312.00       3792.00       3324.00
2012      90269.00      41657.00      29454.00      11948.00       3822.00       3388.00
2013      88689.00      41180.00      28477.00      11761.00       3879.00       3392.00
2014      91510.00      42340.00      29364.00      12407.00       3963.00       3436.00
2015      91690.00      42708.00      29563.00      12336.00       3793.00       3290.00
2016      93063.00      43687.00      30188.00      12454.00       3609.00       3125.00
2017      91577.00      42654.00      29667.00      12695.00       3598.00       2963.00
2018      89807.00      41741.00      29557.00      12214.00       3429.00       2866.00
2019      89193.00      41826.00      29427.00      11741.00       3503.00       2696.00
2020      92338.00      43093.00      29892.00      12608.00       3914.00       2831.00
