Iceland, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 06/09/2023
Year    adjTFR
1991     2.920
1992     2.444
1993     2.433
1994     2.484
1995     2.426
1996     2.266
1997     2.182
1998     2.198
1999     2.360
2000     2.713
2001     2.461
2002     2.296
2003     2.289
2004     2.136
2005     2.175
2006     2.308
2007     2.312
2008     2.502
2009     2.415
2010     2.409
2011     2.191
2012     2.400
2013     2.137
2014     1.958
2015     2.090
2016     2.127
2017     2.126
2018     2.481
2019     2.047
2020     1.515
