Iceland, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 06/09/2023
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1991     2.920     1.139     0.692     0.642     0.380     0.067
1992     2.444     1.013     0.646     0.542     0.184     0.060
1993     2.433     0.908     0.831     0.472     0.144     0.078
1994     2.484     0.851     0.979     0.455     0.155     0.044
1995     2.426     0.808     0.847     0.569     0.141     0.060
1996     2.266     0.803     0.765     0.490     0.160     0.048
1997     2.182     0.880     0.690     0.374     0.198     0.040
1998     2.198     0.794     0.780     0.391     0.185     0.048
1999     2.360     0.910     0.805     0.459     0.124     0.062
2000     2.713     1.202     0.815     0.508     0.131     0.057
2001     2.461     1.113     0.676     0.498     0.153     0.022
2002     2.296     0.897     0.870     0.372     0.124     0.032
2003     2.289     0.864     0.857     0.410     0.099     0.060
2004     2.136     0.901     0.671     0.443     0.104     0.017
2005     2.175     0.906     0.748     0.372     0.115     0.034
2006     2.308     1.007     0.758     0.415     0.100     0.027
2007     2.312     0.858     0.886     0.422     0.122     0.024
2008     2.502     0.893     0.975     0.469     0.115     0.049
2009     2.415     1.063     0.710     0.524     0.095     0.024
2010     2.409     1.027     0.697     0.510     0.127     0.048
2011     2.191     0.844     0.723     0.459     0.143     0.021
2012     2.400     0.954     0.832     0.482     0.115     0.018
2013     2.137     0.938     0.666     0.389     0.108     0.037
2014     1.958     0.789     0.689     0.350     0.080     0.049
2015     2.090     0.828     0.768     0.350     0.104     0.041
2016     2.127     0.837     0.792     0.365     0.105     0.029
2017     2.126     0.946     0.738     0.314     0.115     0.012
2018     2.481     1.259     0.696     0.359     0.076     0.091
2019     2.047     0.965     0.676     0.330     0.046     0.031
2020     1.515     0.742     0.490     0.211     0.065     0.008
