Iceland, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        ASFR
1960     12-    0.00000
1960     13     0.00001
1960     14     0.00009
1960     15     0.00109
1960     16     0.00913
1960     17     0.04951
1960     18     0.15866
1960     19     0.26108
1960     20     0.23539
1960     21     0.25553
1960     22     0.25387
1960     23     0.24728
1960     24     0.25187
1960     25     0.24653
1960     26     0.21988
1960     27     0.20073
1960     28     0.19148
1960     29     0.19210
1960     30     0.18301
1960     31     0.16504
1960     32     0.15315
1960     33     0.14574
1960     34     0.14074
1960     35     0.12914
1960     36     0.11388
1960     37     0.10264
1960     38     0.09270
1960     39     0.08200
1960     40     0.06860
1960     41     0.05450
1960     42     0.03985
1960     43     0.02659
1960     44     0.01603
1960     45     0.01043
1960     46     0.00410
1960     47     0.00090
1960     48     0.00016
1960     49     0.00004
1960     50     0.00000
1960     51     0.00000
1960     52     0.00000
1960     53     0.00000
1960     54     0.00000
1960     55+    0.00000
1961     12-    0.00000
1961     13     0.00001
1961     14     0.00008
1961     15     0.00098
1961     16     0.00823
1961     17     0.04476
1961     18     0.14354
1961     19     0.23585
1961     20     0.22092
1961     21     0.23953
1961     22     0.23719
1961     23     0.22942
1961     24     0.23100
1961     25     0.22210
1961     26     0.19541
1961     27     0.17782
1961     28     0.17134
1961     29     0.17550
1961     30     0.17181
1961     31     0.15779
1961     32     0.14686
1961     33     0.13807
1961     34     0.13013
1961     35     0.11725
1961     36     0.10205
1961     37     0.09028
1961     38     0.07986
1961     39     0.06937
1961     40     0.05620
1961     41     0.04405
1961     42     0.03340
1961     43     0.02379
1961     44     0.01549
1961     45     0.01118
1961     46     0.00452
1961     47     0.00096
1961     48     0.00016
1961     49     0.00003
1961     50     0.00000
1961     51     0.00000
1961     52     0.00000
1961     53     0.00000
1961     54     0.00000
1961     55+    0.00000
1962     12-    0.00000
1962     13     0.00001
1962     14     0.00008
1962     15     0.00096
1962     16     0.00799
1962     17     0.04322
1962     18     0.13786
1962     19     0.22527
1962     20     0.21358
1962     21     0.23018
1962     22     0.22856
1962     23     0.22497
1962     24     0.23447
1962     25     0.23476
1962     26     0.21351
1962     27     0.19668
1962     28     0.18667
1962     29     0.18384
1962     30     0.17210
1962     31     0.15309
1962     32     0.14121
1962     33     0.13468
1962     34     0.13122
1962     35     0.12133
1962     36     0.10772
1962     37     0.09701
1962     38     0.08710
1962     39     0.07649
1962     40     0.06309
1962     41     0.05000
1962     42     0.03734
1962     43     0.02576
1962     44     0.01615
1962     45     0.01086
1962     46     0.00432
1962     47     0.00093
1962     48     0.00016
1962     49     0.00003
1962     50     0.00000
1962     51     0.00000
1962     52     0.00000
1962     53     0.00000
1962     54     0.00000
1962     55+    0.00000
1963     12-    0.00000
1963     13     0.00000
1963     14     0.00000
1963     15     0.00501
1963     16     0.02284
1963     17     0.08860
1963     18     0.13323
1963     19     0.18724
1963     20     0.23348
1963     21     0.23130
1963     22     0.27068
1963     23     0.22404
1963     24     0.21831
1963     25     0.22958
1963     26     0.23132
1963     27     0.19072
1963     28     0.18127
1963     29     0.19757
1963     30     0.16153
1963     31     0.14921
1963     32     0.14161
1963     33     0.14752
1963     34     0.12990
1963     35     0.11687
1963     36     0.08062
1963     37     0.08476
1963     38     0.07076
1963     39     0.08012
1963     40     0.05865
1963     41     0.04839
1963     42     0.03529
1963     43     0.02556
1963     44     0.01070
1963     45     0.00312
1963     46     0.00321
1963     47     0.00000
1963     48     0.00000
1963     49     0.00000
1963     50     0.00000
1963     51     0.00000
1963     52     0.00000
1963     53     0.00000
1963     54     0.00000
1963     55+    0.00000
1964     12-    0.00000
1964     13     0.00000
1964     14     0.00000
1964     15     0.00556
1964     16     0.02115
1964     17     0.07786
1964     18     0.16816
1964     19     0.18433
1964     20     0.21683
1964     21     0.23027
1964     22     0.21664
1964     23     0.22128
1964     24     0.23245
1964     25     0.22546
1964     26     0.20375
1964     27     0.18987
1964     28     0.17443
1964     29     0.15452
1964     30     0.14772
1964     31     0.14258
1964     32     0.16382
1964     33     0.13158
1964     34     0.12534
1964     35     0.12253
1964     36     0.09668
1964     37     0.09280
1964     38     0.07863
1964     39     0.06801
1964     40     0.05349
1964     41     0.06060
1964     42     0.03709
1964     43     0.01868
1964     44     0.00819
1964     45     0.00858
1964     46     0.00104
1964     47     0.00000
1964     48     0.00113
1964     49     0.00000
1964     50     0.00000
1964     51     0.00000
1964     52     0.00000
1964     53     0.00000
1964     54     0.00000
1964     55+    0.00000
1965     12-    0.00000
1965     13     0.00000
1965     14     0.00000
1965     15     0.00830
1965     16     0.03092
1965     17     0.08780
1965     18     0.14767
1965     19     0.17834
1965     20     0.22215
1965     21     0.20968
1965     22     0.20951
1965     23     0.20292
1965     24     0.22770
1965     25     0.19267
1965     26     0.18805
1965     27     0.19437
1965     28     0.18237
1965     29     0.14011
1965     30     0.15713
1965     31     0.15061
1965     32     0.11040
1965     33     0.13036
1965     34     0.11926
1965     35     0.13271
1965     36     0.08669
1965     37     0.07260
1965     38     0.08673
1965     39     0.07126
1965     40     0.04420
1965     41     0.05705
1965     42     0.03456
1965     43     0.02001
1965     44     0.01574
1965     45     0.00619
1965     46     0.00431
1965     47     0.00314
1965     48     0.00108
1965     49     0.00000
1965     50     0.00039
1965     51     0.00049
1965     52     0.00020
1965     53     0.00006
1965     54     0.00001
1965     55+    0.00000
1966     12-    0.00000
1966     13     0.00008
1966     14     0.00098
1966     15     0.00312
1966     16     0.02527
1966     17     0.09869
1966     18     0.16105
1966     19     0.18952
1966     20     0.21648
1966     21     0.19457
1966     22     0.23612
1966     23     0.21954
1966     24     0.17670
1966     25     0.20050
1966     26     0.15693
1966     27     0.19474
1966     28     0.15114
1966     29     0.14368
1966     30     0.14890
1966     31     0.14466
1966     32     0.12894
1966     33     0.10843
1966     34     0.10873
1966     35     0.10380
1966     36     0.08479
1966     37     0.09587
1966     38     0.06984
1966     39     0.05355
1966     40     0.05305
1966     41     0.04415
1966     42     0.02948
1966     43     0.02155
1966     44     0.01147
1966     45     0.00198
1966     46     0.00620
1966     47     0.00000
1966     48     0.00105
1966     49     0.00108
1966     50     0.00000
1966     51     0.00000
1966     52     0.00000
1966     53     0.00000
1966     54     0.00000
1966     55+    0.00000
1967     12-    0.00000
1967     13     0.00000
1967     14     0.00000
1967     15     0.00369
1967     16     0.02131
1967     17     0.07092
1967     18     0.14503
1967     19     0.18291
1967     20     0.20282
1967     21     0.18779
1967     22     0.19747
1967     23     0.21784
1967     24     0.16766
1967     25     0.17659
1967     26     0.15106
1967     27     0.15836
1967     28     0.15134
1967     29     0.14691
1967     30     0.12617
1967     31     0.13652
1967     32     0.10881
1967     33     0.10375
1967     34     0.10528
1967     35     0.11252
1967     36     0.08557
1967     37     0.06676
1967     38     0.05750
1967     39     0.05733
1967     40     0.03785
1967     41     0.03183
1967     42     0.03423
1967     43     0.01295
1967     44     0.01503
1967     45     0.00574
1967     46     0.00199
1967     47     0.00104
1967     48     0.00108
1967     49     0.00000
1967     50     0.00039
1967     51     0.00047
1967     52     0.00019
1967     53     0.00006
1967     54     0.00001
1967     55+    0.00000
1968     12-    0.00000
1968     13     0.00002
1968     14     0.00047
1968     15     0.00463
1968     16     0.02858
1968     17     0.06819
1968     18     0.12566
1968     19     0.16693
1968     20     0.17887
1968     21     0.21464
1968     22     0.19378
1968     23     0.16835
1968     24     0.19218
1968     25     0.15122
1968     26     0.14675
1968     27     0.14429
1968     28     0.13051
1968     29     0.14234
1968     30     0.11037
1968     31     0.12075
1968     32     0.11090
1968     33     0.09096
1968     34     0.08980
1968     35     0.07959
1968     36     0.07646
1968     37     0.06309
1968     38     0.06878
1968     39     0.05591
1968     40     0.04378
1968     41     0.03368
1968     42     0.02347
1968     43     0.01918
1968     44     0.00834
1968     45     0.00660
1968     46     0.00288
1968     47     0.00099
1968     48     0.00208
1968     49     0.00000
1968     50     0.00000
1968     51     0.00000
1968     52     0.00000
1968     53     0.00000
1968     54     0.00000
1968     55+    0.00000
1969     12-    0.00000
1969     13     0.00011
1969     14     0.00178
1969     15     0.00647
1969     16     0.03103
1969     17     0.07830
1969     18     0.14380
1969     19     0.15325
1969     20     0.15238
1969     21     0.18768
1969     22     0.18205
1969     23     0.17386
1969     24     0.16184
1969     25     0.16562
1969     26     0.16811
1969     27     0.15120
1969     28     0.14954
1969     29     0.11727
1969     30     0.11003
1969     31     0.09721
1969     32     0.10709
1969     33     0.11357
1969     34     0.08357
1969     35     0.08803
1969     36     0.07105
1969     37     0.07626
1969     38     0.05027
1969     39     0.05494
1969     40     0.02758
1969     41     0.03123
1969     42     0.02220
1969     43     0.01798
1969     44     0.00910
1969     45     0.00280
1969     46     0.00095
1969     47     0.00096
1969     48     0.00000
1969     49     0.00000
1969     50     0.00038
1969     51     0.00046
1969     52     0.00019
1969     53     0.00006
1969     54     0.00001
1969     55+    0.00000
1970     12-    0.00000
1970     13     0.00001
1970     14     0.00046
1970     15     0.01146
1970     16     0.02455
1970     17     0.07203
1970     18     0.11942
1970     19     0.15061
1970     20     0.15921
1970     21     0.17024
1970     22     0.17526
1970     23     0.16336
1970     24     0.16228
1970     25     0.14809
1970     26     0.14509
1970     27     0.13939
1970     28     0.14930
1970     29     0.12060
1970     30     0.12838
1970     31     0.10637
1970     32     0.09925
1970     33     0.08531
1970     34     0.08472
1970     35     0.06731
1970     36     0.07451
1970     37     0.04887
1970     38     0.04930
1970     39     0.04495
1970     40     0.03429
1970     41     0.03143
1970     42     0.02304
1970     43     0.01257
1970     44     0.00568
1970     45     0.00306
1970     46     0.00281
1970     47     0.00095
1970     48     0.00000
1970     49     0.00000
1970     50     0.00000
1970     51     0.00000
1970     52     0.00000
1970     53     0.00000
1970     54     0.00000
1970     55+    0.00000
1971     12-    0.00000
1971     13     0.00009
1971     14     0.00130
1971     15     0.00425
1971     16     0.03171
1971     17     0.07838
1971     18     0.11277
1971     19     0.14462
1971     20     0.17111
1971     21     0.17276
1971     22     0.18370
1971     23     0.19143
1971     24     0.17882
1971     25     0.16666
1971     26     0.17531
1971     27     0.14544
1971     28     0.14920
1971     29     0.11770
1971     30     0.13047
1971     31     0.10151
1971     32     0.10135
1971     33     0.10704
1971     34     0.07760
1971     35     0.07828
1971     36     0.06325
1971     37     0.05014
1971     38     0.04821
1971     39     0.04256
1971     40     0.03039
1971     41     0.02019
1971     42     0.01893
