Iceland, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1990     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     14     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     15     0.00248     0.00248     0.00000     0.00000     0.00000     0.00000
1990     16     0.01221     0.01221     0.00000     0.00000     0.00000     0.00000
1990     17     0.02443     0.02398     0.00045     0.00000     0.00000     0.00000
1990     18     0.04854     0.04619     0.00236     0.00000     0.00000     0.00000
1990     19     0.06570     0.05595     0.00924     0.00051     0.00000     0.00000
1990     20     0.08420     0.07368     0.00902     0.00150     0.00000     0.00000
1990     21     0.11398     0.08599     0.02600     0.00200     0.00000     0.00000
1990     22     0.11793     0.08319     0.03230     0.00245     0.00000     0.00000
1990     23     0.12504     0.07363     0.04214     0.00880     0.00046     0.00000
1990     24     0.14245     0.07192     0.05336     0.01624     0.00093     0.00000
1990     25     0.14934     0.07033     0.06302     0.01370     0.00228     0.00000
1990     26     0.14898     0.05086     0.06301     0.02701     0.00720     0.00090
1990     27     0.14725     0.04174     0.06055     0.03349     0.01101     0.00046
1990     28     0.13784     0.03363     0.05637     0.03932     0.00711     0.00142
1990     29     0.14204     0.02708     0.05416     0.04466     0.01425     0.00190
1990     30     0.12766     0.01572     0.04859     0.04763     0.01048     0.00524
1990     31     0.12374     0.01396     0.04719     0.04478     0.01685     0.00096
1990     32     0.11780     0.01217     0.04138     0.04430     0.01704     0.00292
1990     33     0.10517     0.00741     0.02271     0.04740     0.02321     0.00444
1990     34     0.08664     0.00659     0.01723     0.03851     0.01773     0.00659
1990     35     0.06532     0.00309     0.01594     0.02674     0.01543     0.00411
1990     36     0.06607     0.00161     0.01021     0.02793     0.01934     0.00698
1990     37     0.04335     0.00278     0.00667     0.01723     0.01000     0.00667
1990     38     0.04476     0.00340     0.00850     0.01416     0.01246     0.00623
1990     39     0.03073     0.00168     0.00559     0.00894     0.00894     0.00559
1990     40     0.01314     0.00119     0.00060     0.00478     0.00299     0.00358
1990     41     0.01034     0.00061     0.00304     0.00243     0.00243     0.00182
1990     42     0.00429     0.00000     0.00123     0.00123     0.00000     0.00184
1990     43     0.00472     0.00067     0.00067     0.00067     0.00202     0.00067
1990     44     0.00211     0.00000     0.00141     0.00070     0.00000     0.00000
1990     45     0.00070     0.00000     0.00070     0.00000     0.00000     0.00000
1990     46     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     47     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     48     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     49     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     50     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     51     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     14     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     15     0.00195     0.00195     0.00000     0.00000     0.00000     0.00000
1991     16     0.00990     0.00940     0.00049     0.00000     0.00000     0.00000
1991     17     0.02861     0.02764     0.00048     0.00048     0.00000     0.00000
1991     18     0.03846     0.03620     0.00226     0.00000     0.00000     0.00000
1991     19     0.06042     0.05392     0.00651     0.00000     0.00000     0.00000
1991     20     0.07495     0.06314     0.01078     0.00103     0.00000     0.00000
1991     21     0.08659     0.06696     0.01812     0.00151     0.00000     0.00000
1991     22     0.09320     0.06464     0.02405     0.00351     0.00100     0.00000
1991     23     0.11982     0.07727     0.03668     0.00587     0.00000     0.00000
1991     24     0.13465     0.07357     0.04997     0.01018     0.00093     0.00000
1991     25     0.13436     0.06095     0.05356     0.01801     0.00185     0.00000
1991     26     0.14538     0.05104     0.06791     0.02279     0.00319     0.00046
1991     27     0.15194     0.04900     0.06563     0.03192     0.00539     0.00000
1991     28     0.12945     0.03397     0.05692     0.03076     0.00643     0.00138
1991     29     0.12720     0.02726     0.04973     0.03873     0.01004     0.00143
1991     30     0.11953     0.01524     0.04619     0.04476     0.01238     0.00095
1991     31     0.11723     0.01340     0.03493     0.04450     0.01818     0.00622
1991     32     0.10645     0.01103     0.03213     0.04316     0.01534     0.00480
1991     33     0.09504     0.01115     0.02618     0.03540     0.01988     0.00242
1991     34     0.09984     0.01087     0.02521     0.04152     0.02026     0.00198
1991     35     0.07290     0.00804     0.01357     0.02916     0.01659     0.00553
1991     36     0.06352     0.00154     0.01332     0.02715     0.01537     0.00615
1991     37     0.05506     0.00267     0.00855     0.01924     0.01711     0.00748
1991     38     0.03940     0.00277     0.00666     0.01831     0.00721     0.00444
1991     39     0.03063     0.00284     0.00567     0.00907     0.00964     0.00340
1991     40     0.01901     0.00000     0.00280     0.00671     0.00559     0.00391
1991     41     0.01490     0.00060     0.00179     0.00238     0.00298     0.00715
1991     42     0.00850     0.00000     0.00061     0.00304     0.00243     0.00243
1991     43     0.00614     0.00061     0.00061     0.00061     0.00184     0.00246
1991     44     0.00135     0.00000     0.00067     0.00000     0.00067     0.00000
1991     45     0.00071     0.00000     0.00000     0.00000     0.00000     0.00071
1991     46     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     47     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     48     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     49     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     50     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     51     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1991     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1992     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1992     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1992     14     0.00103     0.00103     0.00000     0.00000     0.00000     0.00000
1992     15     0.00101     0.00101     0.00000     0.00000     0.00000     0.00000
1992     16     0.00967     0.00967     0.00000     0.00000     0.00000     0.00000
1992     17     0.02310     0.02261     0.00049     0.00000     0.00000     0.00000
1992     18     0.04155     0.04010     0.00145     0.00000     0.00000     0.00000
1992     19     0.05597     0.04931     0.00577     0.00089     0.00000     0.00000
1992     20     0.06682     0.05801     0.00882     0.00000     0.00000     0.00000
1992     21     0.09671     0.07717     0.01801     0.00103     0.00051     0.00000
1992     22     0.10359     0.06638     0.03419     0.00201     0.00101     0.00000
1992     23     0.11358     0.07323     0.03537     0.00498     0.00000     0.00000
1992     24     0.13666     0.07249     0.04849     0.01274     0.00245     0.00049
1992     25     0.13901     0.06490     0.06030     0.01289     0.00046     0.00046
1992     26     0.14196     0.05873     0.05919     0.01942     0.00277     0.00185
