Iceland, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 06/09/2023
Year   Age   Cohort      ASFR
1960   12-       .    0.00000
1960   13     1947    0.00000
1960   13     1946    0.00001
1960   14     1946    0.00005
1960   14     1945    0.00013
1960   15     1945    0.00071
1960   15     1944    0.00151
1960   16     1944    0.00627
1960   16     1943    0.01180
1960   17     1943    0.03795
1960   17     1942    0.06153
1960   18     1942    0.13716
1960   18     1941    0.18266
1960   19     1941    0.25301
1960   19     1940    0.26917
1960   20     1940    0.23750
1960   20     1939    0.23316
1960   21     1939    0.25406
1960   21     1938    0.25698
1960   22     1938    0.25475
1960   22     1937    0.25303
1960   23     1937    0.24756
1960   23     1936    0.24703
1960   24     1936    0.25193
1960   24     1935    0.25180
1960   25     1935    0.24935
1960   25     1934    0.24373
1960   26     1934    0.22370
1960   26     1933    0.21610
1960   27     1933    0.20312
1960   27     1932    0.19850
1960   28     1932    0.19215
1960   28     1931    0.19082
1960   29     1931    0.19285
1960   29     1930    0.19142
1960   30     1930    0.18524
1960   30     1929    0.18059
1960   31     1929    0.16747
1960   31     1928    0.16261
1960   32     1928    0.15474
1960   32     1927    0.15163
1960   33     1927    0.14676
1960   33     1926    0.14480
1960   34     1926    0.14218
1960   34     1925    0.13935
1960   35     1925    0.13145
1960   35     1924    0.12690
1960   36     1924    0.11608
1960   36     1923    0.11181
1960   37     1923    0.10443
1960   37     1922    0.10099
1960   38     1922    0.09445
1960   38     1921    0.09106
1960   39     1921    0.08404
1960   39     1920    0.07997
1960   40     1920    0.07084
1960   40     1919    0.06623
1960   41     1919    0.05716
1960   41     1918    0.05223
1960   42     1918    0.04233
1960   42     1917    0.03756
1960   43     1917    0.02864
1960   43     1916    0.02461
1960   44     1916    0.01722
1960   44     1915    0.01497
1960   45     1915    0.01169
1960   45     1914    0.00931
1960   46     1914    0.00497
1960   46     1913    0.00324
1960   47     1913    0.00114
1960   47     1912    0.00067
1960   48     1912    0.00021
1960   48     1911    0.00011
1960   49     1911    0.00005
1960   49     1910    0.00002
1960   50     1910    0.00000
1960   50     1909    0.00000
1960   51     1909    0.00000
1960   51     1908    0.00000
1960   52     1908    0.00000
1960   52     1907    0.00000
1960   53     1907    0.00000
1960   53     1906    0.00000
1960   54     1906    0.00000
1960   54     1905    0.00000
1960   55+       .    0.00000
1961   12-       .    0.00000
1961   13     1948    0.00000
1961   13     1947    0.00001
1961   14     1947    0.00005
1961   14     1946    0.00011
1961   15     1946    0.00062
1961   15     1945    0.00133
1961   16     1945    0.00577
1961   16     1944    0.01087
1961   17     1944    0.03389
1961   17     1943    0.05499
1961   18     1943    0.12354
1961   18     1942    0.16452
1961   19     1942    0.22837
1961   19     1941    0.24420
1961   20     1941    0.22218
1961   20     1940    0.21964
1961   21     1940    0.23832
1961   21     1939    0.24085
1961   22     1939    0.23820
1961   22     1938    0.23616
1961   23     1938    0.23003
1961   23     1937    0.22880
1961   24     1937    0.23166
1961   24     1936    0.23040
1961   25     1936    0.22516
1961   25     1935    0.21892
1961   26     1935    0.19901
1961   26     1934    0.19173
1961   27     1934    0.17977
1961   27     1933    0.17589
1961   28     1933    0.17150
1961   28     1932    0.17119
1961   29     1932    0.17544
1961   29     1931    0.17556
1961   30     1931    0.17341
1961   30     1930    0.17035
1961   31     1930    0.15974
1961   31     1929    0.15566
1961   32     1929    0.14849
1961   32     1928    0.14526
1961   33     1928    0.13947
1961   33     1927    0.13675
1961   34     1927    0.13199
1961   34     1926    0.12845
1961   35     1926    0.11964
1961   35     1925    0.11489
1961   36     1925    0.10430
1961   36     1924    0.09992
1961   37     1924    0.09216
1961   37     1923    0.08853
1961   38     1923    0.08166
1961   38     1922    0.07820
1961   39     1922    0.07149
1961   39     1921    0.06741
1961   40     1921    0.05831
1961   40     1920    0.05410
1961   41     1920    0.04591
1961   41     1919    0.04213
1961   42     1919    0.03525
1961   42     1918    0.03184
1961   43     1918    0.02537
1961   43     1917    0.02233
1961   44     1917    0.01635
1961   44     1916    0.01468
1961   45     1916    0.01241
1961   45     1915    0.01008
1961   46     1915    0.00554
1961   46     1914    0.00362
1961   47     1914    0.00121
1961   47     1913    0.00071
1961   48     1913    0.00021
1961   48     1912    0.00011
1961   49     1912    0.00005
1961   49     1911    0.00002
1961   50     1911    0.00000
1961   50     1910    0.00000
1961   51     1910    0.00000
1961   51     1909    0.00000
1961   52     1909    0.00000
1961   52     1908    0.00000
1961   53     1908    0.00000
1961   53     1907    0.00000
1961   54     1907    0.00000
1961   54     1906    0.00000
1961   55+       .    0.00000
1962   12-       .    0.00000
1962   13     1949    0.00000
1962   13     1948    0.00001
1962   14     1948    0.00005
1962   14     1947    0.00012
1962   15     1947    0.00062
1962   15     1946    0.00131
1962   16     1946    0.00553
1962   16     1945    0.01041
1962   17     1945    0.03329
1962   17     1944    0.05389
1962   18     1944    0.11789
1962   18     1943    0.15670
1962   19     1943    0.21781
1962   19     1942    0.23310
1962   20     1942    0.21460
1962   20     1941    0.21247
1962   21     1941    0.22905
1962   21     1940    0.23130
1962   22     1940    0.22914
1962   22     1939    0.22795
1962   23     1939    0.22459
1962   23     1938    0.22534
1962   24     1938    0.23362
1962   24     1937    0.23529
1962   25     1937    0.23668
1962   25     1936    0.23302
1962   26     1936    0.21668
1962   26     1935    0.21032
1962   27     1935    0.19886
1962   27     1934    0.19445
