Iceland, Cohort fertility rates by birth cohort, age and birth order (horizontal parallelograms, age in completed years (ACY))
Last modified: 06/09/2023
Cohort  Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1935     12-          .           .           .           .           .           .
1935     13           .           .           .           .           .           .
1935     14           .           .           .           .           .           .
1935     15           .           .           .           .           .           .
1935     16           .           .           .           .           .           .
1935     17           .           .           .           .           .           .
1935     18           .           .           .           .           .           .
1935     19           .           .           .           .           .           .
1935     20           .           .           .           .           .           .
1935     21           .           .           .           .           .           .
1935     22           .           .           .           .           .           .
1935     23           .           .           .           .           .           .
1935     24           .           .           .           .           .           .
1935     25           .           .           .           .           .           .
1935     26           .           .           .           .           .           .
1935     27           .           .           .           .           .           .
1935     28           .           .           .           .           .           .
1935     29           .           .           .           .           .           .
1935     30           .           .           .           .           .           .
1935     31           .           .           .           .           .           .
1935     32           .           .           .           .           .           .
1935     33           .           .           .           .           .           .
1935     34           .           .           .           .           .           .
1935     35           .           .           .           .           .           .
1935     36           .           .           .           .           .           .
1935     37           .           .           .           .           .           .
1935     38           .           .           .           .           .           .
1935     39           .           .           .           .           .           .
1935     40           .           .           .           .           .           .
1935     41           .           .           .           .           .           .
1935     42           .           .           .           .           .           .
1935     43           .           .           .           .           .           .
1935     44           .           .           .           .           .           .
1935     45           .           .           .           .           .           .
1935     46           .           .           .           .           .           .
1935     47           .           .           .           .           .           .
1935     48           .           .           .           .           .           .
1935     49           .           .           .           .           .           .
1935     50           .           .           .           .           .           .
1935     51           .           .           .           .           .           .
1935     52           .           .           .           .           .           .
1935     53           .           .           .           .           .           .
1935     54           .           .           .           .           .           .
1935     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1936     12-          .           .           .           .           .           .
1936     13           .           .           .           .           .           .
1936     14           .           .           .           .           .           .
1936     15           .           .           .           .           .           .
1936     16           .           .           .           .           .           .
1936     17           .           .           .           .           .           .
1936     18           .           .           .           .           .           .
1936     19           .           .           .           .           .           .
1936     20           .           .           .           .           .           .
1936     21           .           .           .           .           .           .
1936     22           .           .           .           .           .           .
1936     23           .           .           .           .           .           .
1936     24           .           .           .           .           .           .
1936     25           .           .           .           .           .           .
1936     26           .           .           .           .           .           .
1936     27           .           .           .           .           .           .
1936     28           .           .           .           .           .           .
1936     29           .           .           .           .           .           .
1936     30           .           .           .           .           .           .
1936     31           .           .           .           .           .           .
1936     32           .           .           .           .           .           .
1936     33           .           .           .           .           .           .
1936     34           .           .           .           .           .           .
1936     35           .           .           .           .           .           .
1936     36           .           .           .           .           .           .
1936     37           .           .           .           .           .           .
1936     38           .           .           .           .           .           .
1936     39           .           .           .           .           .           .
1936     40           .           .           .           .           .           .
1936     41           .           .           .           .           .           .
1936     42           .           .           .           .           .           .
1936     43           .           .           .           .           .           .
1936     44           .           .           .           .           .           .
1936     45           .           .           .           .           .           .
1936     46           .           .           .           .           .           .
1936     47           .           .           .           .           .           .
1936     48           .           .           .           .           .           .
1936     49           .           .           .           .           .           .
1936     50           .           .           .           .           .           .
1936     51           .           .           .           .           .           .
1936     52           .           .           .           .           .           .
1936     53           .           .           .           .           .           .
1936     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1936     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1937     12-          .           .           .           .           .           .
1937     13           .           .           .           .           .           .
1937     14           .           .           .           .           .           .
1937     15           .           .           .           .           .           .
1937     16           .           .           .           .           .           .
1937     17           .           .           .           .           .           .
1937     18           .           .           .           .           .           .
1937     19           .           .           .           .           .           .
1937     20           .           .           .           .           .           .
1937     21           .           .           .           .           .           .
1937     22           .           .           .           .           .           .
1937     23           .           .           .           .           .           .
1937     24           .           .           .           .           .           .
1937     25           .           .           .           .           .           .
1937     26           .           .           .           .           .           .
1937     27           .           .           .           .           .           .
1937     28           .           .           .           .           .           .
1937     29           .           .           .           .           .           .
1937     30           .           .           .           .           .           .
1937     31           .           .           .           .           .           .
1937     32           .           .           .           .           .           .
1937     33           .           .           .           .           .           .
1937     34           .           .           .           .           .           .
1937     35           .           .           .           .           .           .
1937     36           .           .           .           .           .           .
1937     37           .           .           .           .           .           .
1937     38           .           .           .           .           .           .
1937     39           .           .           .           .           .           .
1937     40           .           .           .           .           .           .
1937     41           .           .           .           .           .           .
1937     42           .           .           .           .           .           .
1937     43           .           .           .           .           .           .
1937     44           .           .           .           .           .           .
1937     45           .           .           .           .           .           .
1937     46           .           .           .           .           .           .
1937     47           .           .           .           .           .           .
1937     48           .           .           .           .           .           .
1937     49           .           .           .           .           .           .
1937     50           .           .           .           .           .           .
1937     51           .           .           .           .           .           .
1937     52           .           .           .           .           .           .
1937     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1937     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1937     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1938     12-          .           .           .           .           .           .
1938     13           .           .           .           .           .           .
1938     14           .           .           .           .           .           .
1938     15           .           .           .           .           .           .
1938     16           .           .           .           .           .           .
1938     17           .           .           .           .           .           .
1938     18           .           .           .           .           .           .
1938     19           .           .           .           .           .           .
1938     20           .           .           .           .           .           .
1938     21           .           .           .           .           .           .
1938     22           .           .           .           .           .           .
1938     23           .           .           .           .           .           .
1938     24           .           .           .           .           .           .
1938     25           .           .           .           .           .           .
1938     26           .           .           .           .           .           .
1938     27           .           .           .           .           .           .
1938     28           .           .           .           .           .           .
1938     29           .           .           .           .           .           .
1938     30           .           .           .           .           .           .
1938     31           .           .           .           .           .           .
1938     32           .           .           .           .           .           .
1938     33           .           .           .           .           .           .
1938     34           .           .           .           .           .           .
1938     35           .           .           .           .           .           .
1938     36           .           .           .           .           .           .
1938     37           .           .           .           .           .           .
1938     38           .           .           .           .           .           .
1938     39           .           .           .           .           .           .
1938     40           .           .           .           .           .           .
1938     41           .           .           .           .           .           .
1938     42           .           .           .           .           .           .
1938     43           .           .           .           .           .           .
1938     44           .           .           .           .           .           .
1938     45           .           .           .           .           .           .
1938     46           .           .           .           .           .           .
1938     47           .           .           .           .           .           .
1938     48           .           .           .           .           .           .
1938     49           .           .           .           .           .           .
1938     50           .           .           .           .           .           .
1938     51           .           .           .           .           .           .
1938     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1938     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1938     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1938     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1939     12-          .           .           .           .           .           .
1939     13           .           .           .           .           .           .
1939     14           .           .           .           .           .           .
1939     15           .           .           .           .           .           .
1939     16           .           .           .           .           .           .
1939     17           .           .           .           .           .           .
1939     18           .           .           .           .           .           .
1939     19           .           .           .           .           .           .
1939     20           .           .           .           .           .           .
1939     21           .           .           .           .           .           .
1939     22           .           .           .           .           .           .
1939     23           .           .           .           .           .           .
1939     24           .           .           .           .           .           .
1939     25           .           .           .           .           .           .
1939     26           .           .           .           .           .           .
1939     27           .           .           .           .           .           .
1939     28           .           .           .           .           .           .
1939     29           .           .           .           .           .           .
1939     30           .           .           .           .           .           .
1939     31           .           .           .           .           .           .
1939     32           .           .           .           .           .           .
1939     33           .           .           .           .           .           .
1939     34           .           .           .           .           .           .
1939     35           .           .           .           .           .           .
1939     36           .           .           .           .           .           .
1939     37           .           .           .           .           .           .
1939     38           .           .           .           .           .           .
1939     39           .           .           .           .           .           .
1939     40           .           .           .           .           .           .
1939     41           .           .           .           .           .           .
1939     42           .           .           .           .           .           .
1939     43           .           .           .           .           .           .
1939     44           .           .           .           .           .           .
1939     45           .           .           .           .           .           .
1939     46           .           .           .           .           .           .
1939     47           .           .           .           .           .           .
1939     48           .           .           .           .           .           .
1939     49           .           .           .           .           .           .
1939     50           .           .           .           .           .           .
1939     51     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1939     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1939     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1939     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1939     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1940     12-          .           .           .           .           .           .
1940     13           .           .           .           .           .           .
1940     14           .           .           .           .           .           .
1940     15           .           .           .           .           .           .
1940     16           .           .           .           .           .           .
1940     17           .           .           .           .           .           .
1940     18           .           .           .           .           .           .
1940     19           .           .           .           .           .           .
1940     20           .           .           .           .           .           .
1940     21           .           .           .           .           .           .
1940     22           .           .           .           .           .           .
1940     23           .           .           .           .           .           .
1940     24           .           .           .           .           .           .
1940     25           .           .           .           .           .           .
1940     26           .           .           .           .           .           .
1940     27           .           .           .           .           .           .
1940     28           .           .           .           .           .           .
1940     29           .           .           .           .           .           .
1940     30           .           .           .           .           .           .
1940     31           .           .           .           .           .           .
1940     32           .           .           .           .           .           .
1940     33           .           .           .           .           .           .
1940     34           .           .           .           .           .           .
1940     35           .           .           .           .           .           .
1940     36           .           .           .           .           .           .
1940     37           .           .           .           .           .           .
1940     38           .           .           .           .           .           .
1940     39           .           .           .           .           .           .
1940     40           .           .           .           .           .           .
1940     41           .           .           .           .           .           .
1940     42           .           .           .           .           .           .
1940     43           .           .           .           .           .           .
1940     44           .           .           .           .           .           .
1940     45           .           .           .           .           .           .
1940     46           .           .           .           .           .           .
1940     47           .           .           .           .           .           .
1940     48           .           .           .           .           .           .
1940     49           .           .           .           .           .           .
1940     50     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1940     51     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1940     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1940     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1940     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1940     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1941     12-          .           .           .           .           .           .
1941     13           .           .           .           .           .           .
1941     14           .           .           .           .           .           .
1941     15           .           .           .           .           .           .
1941     16           .           .           .           .           .           .
1941     17           .           .           .           .           .           .
1941     18           .           .           .           .           .           .
1941     19           .           .           .           .           .           .
1941     20           .           .           .           .           .           .
1941     21           .           .           .           .           .           .
1941     22           .           .           .           .           .           .
1941     23           .           .           .           .           .           .
1941     24           .           .           .           .           .           .
1941     25           .           .           .           .           .           .
1941     26           .           .           .           .           .           .
1941     27           .           .           .           .           .           .
1941     28           .           .           .           .           .           .
1941     29           .           .           .           .           .           .
1941     30           .           .           .           .           .           .
1941     31           .           .           .           .           .           .
1941     32           .           .           .           .           .           .
1941     33           .           .           .           .           .           .
1941     34           .           .           .           .           .           .
1941     35           .           .           .           .           .           .
1941     36           .           .           .           .           .           .
1941     37           .           .           .           .           .           .
1941     38           .           .           .           .           .           .
1941     39           .           .           .           .           .           .
1941     40           .           .           .           .           .           .
1941     41           .           .           .           .           .           .
1941     42           .           .           .           .           .           .
1941     43           .           .           .           .           .           .
1941     44           .           .           .           .           .           .
1941     45           .           .           .           .           .           .
1941     46           .           .           .           .           .           .
1941     47           .           .           .           .           .           .
1941     48           .           .           .           .           .           .
1941     49     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1941     50     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1941     51     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1941     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1941     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1941     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1941     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1942     12-          .           .           .           .           .           .
1942     13           .           .           .           .           .           .
1942     14           .           .           .           .           .           .
1942     15           .           .           .           .           .           .
1942     16           .           .           .           .           .           .
1942     17           .           .           .           .           .           .
1942     18           .           .           .           .           .           .
1942     19           .           .           .           .           .           .
1942     20           .           .           .           .           .           .
1942     21           .           .           .           .           .           .
1942     22           .           .           .           .           .           .
1942     23           .           .           .           .           .           .
1942     24           .           .           .           .           .           .
1942     25           .           .           .           .           .           .
1942     26           .           .           .           .           .           .
1942     27           .           .           .           .           .           .
1942     28           .           .           .           .           .           .
1942     29           .           .           .           .           .           .
1942     30           .           .           .           .           .           .
1942     31           .           .           .           .           .           .
1942     32           .           .           .           .           .           .
1942     33           .           .           .           .           .           .
1942     34           .           .           .           .           .           .
1942     35           .           .           .           .           .           .
1942     36           .           .           .           .           .           .
1942     37           .           .           .           .           .           .
1942     38           .           .           .           .           .           .
1942     39           .           .           .           .           .           .
1942     40           .           .           .           .           .           .
1942     41           .           .           .           .           .           .
1942     42           .           .           .           .           .           .
1942     43           .           .           .           .           .           .
1942     44           .           .           .           .           .           .
1942     45           .           .           .           .           .           .
1942     46           .           .           .           .           .           .
1942     47           .           .           .           .           .           .
1942     48     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1942     49     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1942     50     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1942     51     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1942     52     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1942     53     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1942     54     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1942     55+    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1943     12-          .           .           .           .           .           .
1943     13           .           .           .           .           .           .
1943     14           .           .           .           .           .           .
1943     15           .           .           .           .           .           .
1943     16           .           .           .           .           .           .
1943     17           .           .           .           .           .           .
1943     18           .           .           .           .           .           .
1943     19           .           .           .           .           .           .
