Iceland, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 06/09/2023
Year    ARDY   Cohort        ASFR
1960     12-    1948+     0.00000
1960     13     1947      0.00000
1960     14     1946      0.00003
1960     15     1945      0.00042
1960     16     1944      0.00380
1960     17     1943      0.02481
1960     18     1942      0.09898
1960     19     1941      0.21697
1960     20     1940      0.25346
1960     21     1939      0.24341
1960     22     1938      0.25589
1960     23     1937      0.25028
1960     24     1936      0.24946
1960     25     1935      0.25057
1960     26     1934      0.23386
1960     27     1933      0.20980
1960     28     1932      0.19532
1960     29     1931      0.19184
1960     30     1930      0.18838
1960     31     1929      0.17407
1960     32     1928      0.15877
1960     33     1927      0.14926
1960     34     1926      0.14356
1960     35     1925      0.13558
1960     36     1924      0.12140
1960     37     1923      0.10827
1960     38     1922      0.09787
1960     39     1921      0.08765
1960     40     1920      0.07542
1960     41     1919      0.06194
1960     42     1918      0.04749
1960     43     1917      0.03329
1960     44     1916      0.02117
1960     45     1915      0.01342
1960     46     1914      0.00718
1960     47     1913      0.00222
1960     48     1912      0.00045
1960     49     1911      0.00008
1960     50     1910      0.00001
1960     51     1909      0.00000
1960     52     1908      0.00000
1960     53     1907      0.00000
1960     54     1906      0.00000
1960     55+    1905-     0.00000
1961     12-    1949+     0.00000
1961     13     1948      0.00000
1961     14     1947      0.00003
1961     15     1946      0.00036
1961     16     1945      0.00359
1961     17     1944      0.02196
1961     18     1943      0.08930
1961     19     1942      0.19615
1961     20     1941      0.23338
1961     21     1940      0.22903
1961     22     1939      0.23954
1961     23     1938      0.23313
1961     24     1937      0.23026
1961     25     1936      0.22778
1961     26     1935      0.20875
1961     27     1934      0.18581
1961     28     1933      0.17375
1961     29     1932      0.17334
1961     30     1931      0.17448
1961     31     1930      0.16512
1961     32     1929      0.15211
1961     33     1928      0.14246
1961     34     1927      0.13445
1961     35     1926      0.12427
1961     36     1925      0.10988
1961     37     1924      0.09603
1961     38     1923      0.08525
1961     39     1922      0.07503
1961     40     1921      0.06298
1961     41     1920      0.05009
1961     42     1919      0.03889
1961     43     1918      0.02875
1961     44     1917      0.01949
1961     45     1916      0.01362
1961     46     1915      0.00793
1961     47     1914      0.00245
1961     48     1913      0.00047
1961     49     1912      0.00008
1961     50     1911      0.00001
1961     51     1910      0.00000
1961     52     1909      0.00000
1961     53     1908      0.00000
1961     54     1907      0.00000
1961     55+    1906-     0.00000
1962     12-    1950+     0.00000
1962     13     1949      0.00000
1962     14     1948      0.00003
1962     15     1947      0.00036
1962     16     1946      0.00340
1962     17     1945      0.02203
1962     18     1944      0.08490
1962     19     1943      0.18717
1962     20     1942      0.22394
1962     21     1941      0.22055
1962     22     1940      0.23023
1962     23     1939      0.22629
1962     24     1938      0.22936
1962     25     1937      0.23599
1962     26     1936      0.22493
1962     27     1935      0.20454
1962     28     1934      0.19112
1962     29     1933      0.18540
1962     30     1932      0.17867
1962     31     1931      0.16254
1962     32     1930      0.14673
1962     33     1929      0.13757
1962     34     1928      0.13315
1962     35     1927      0.12685
1962     36     1926      0.11484
1962     37     1925      0.10239
1962     38     1924      0.09203
1962     39     1923      0.08219
1962     40     1922      0.07017
1962     41     1921      0.05667
1962     42     1920      0.04359
1962     43     1919      0.03168
1962     44     1918      0.02080
