Iceland, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 06/09/2023
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1990     12-    1978+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     13     1977      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     14     1976      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     15     1975      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1990     16     1974      0.00505     0.00505     0.00000     0.00000     0.00000     0.00000
1990     17     1973      0.02013     0.02013     0.00000     0.00000     0.00000     0.00000
1990     18     1972      0.03986     0.03762     0.00224     0.00000     0.00000     0.00000
1990     19     1971      0.05673     0.05225     0.00448     0.00000     0.00000     0.00000
1990     20     1970      0.07059     0.05953     0.00948     0.00158     0.00000     0.00000
1990     21     1969      0.10206     0.08271     0.01790     0.00145     0.00000     0.00000
1990     22     1968      0.11240     0.08379     0.02657     0.00204     0.00000     0.00000
1990     23     1967      0.12164     0.08141     0.03496     0.00527     0.00000     0.00000
1990     24     1966      0.14174     0.07587     0.05315     0.01227     0.00045     0.00000
1990     25     1965      0.13739     0.06684     0.05430     0.01392     0.00232     0.00000
1990     26     1964      0.15576     0.06346     0.06612     0.02174     0.00444     0.00000
1990     27     1963      0.14335     0.04672     0.05862     0.02656     0.01008     0.00137
1990     28     1962      0.14464     0.03327     0.06146     0.04067     0.00924     0.00000
1990     29     1961      0.14119     0.03273     0.05765     0.04153     0.00635     0.00293
1990     30     1960      0.13648     0.02064     0.05206     0.04643     0.01501     0.00235
1990     31     1959      0.12393     0.01335     0.04719     0.04528     0.01382     0.00429
1990     32     1958      0.11909     0.01350     0.04243     0.04388     0.01832     0.00096
1990     33     1957      0.10856     0.00987     0.03208     0.04491     0.01727     0.00444
1990     34     1956      0.10094     0.00796     0.01790     0.04823     0.01989     0.00696
1990     35     1955      0.07336     0.00354     0.01872     0.02833     0.01923     0.00354
1990     36     1954      0.06786     0.00267     0.01282     0.03313     0.01496     0.00427
