Iceland, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Total          B1          B2          B3          B4         B5p
1990     12-        0.00        0.00        0.00        0.00        0.00        0.00
1990     13         0.00        0.00        0.00        0.00        0.00        0.00
1990     14         0.00        0.00        0.00        0.00        0.00        0.00
1990     15         5.00        5.00        0.00        0.00        0.00        0.00
1990     16        25.00       25.00        0.00        0.00        0.00        0.00
1990     17        54.00       53.00        1.00        0.00        0.00        0.00
1990     18       103.00       98.00        5.00        0.00        0.00        0.00
1990     19       128.00      109.00       18.00        1.00        0.00        0.00
1990     20       168.00      147.00       18.00        3.00        0.00        0.00
1990     21       228.00      172.00       52.00        4.00        0.00        0.00
1990     22       241.00      170.00       66.00        5.00        0.00        0.00
1990     23       270.00      159.00       91.00       19.00        1.00        0.00
1990     24       307.00      155.00      115.00       35.00        2.00        0.00
1990     25       327.00      154.00      138.00       30.00        5.00        0.00
1990     26       331.00      113.00      140.00       60.00       16.00        2.00
1990     27       321.00       91.00      132.00       73.00       24.00        1.00
1990     28       291.00       71.00      119.00       83.00       15.00        3.00
1990     29       299.00       57.00      114.00       94.00       30.00        4.00
1990     30       268.00       33.00      102.00      100.00       22.00       11.00
1990     31       257.00       29.00       98.00       93.00       35.00        2.00
1990     32       242.00       25.00       85.00       91.00       35.00        6.00
1990     33       213.00       15.00       46.00       96.00       47.00        9.00
1990     34       171.00       13.00       34.00       76.00       35.00       13.00
1990     35       127.00        6.00       31.00       52.00       30.00        8.00
1990     36       123.00        3.00       19.00       52.00       36.00       13.00
1990     37        78.00        5.00       12.00       31.00       18.00       12.00
1990     38        79.00        6.00       15.00       25.00       22.00       11.00
1990     39        55.00        3.00       10.00       16.00       16.00       10.00
1990     40        22.00        2.00        1.00        8.00        5.00        6.00
1990     41        17.00        1.00        5.00        4.00        4.00        3.00
1990     42         7.00        0.00        2.00        2.00        0.00        3.00
1990     43         7.00        1.00        1.00        1.00        3.00        1.00
1990     44         3.00        0.00        2.00        1.00        0.00        0.00
1990     45         1.00        0.00        1.00        0.00        0.00        0.00
1990     46         0.00        0.00        0.00        0.00        0.00        0.00
1990     47         0.00        0.00        0.00        0.00        0.00        0.00
1990     48         0.00        0.00        0.00        0.00        0.00        0.00
1990     49         0.00        0.00        0.00        0.00        0.00        0.00
1990     50         0.00        0.00        0.00        0.00        0.00        0.00
1990     51         0.00        0.00        0.00        0.00        0.00        0.00
1990     52         0.00        0.00        0.00        0.00        0.00        0.00
1990     53         0.00        0.00        0.00        0.00        0.00        0.00
1990     54         0.00        0.00        0.00        0.00        0.00        0.00
1990     55+        0.00        0.00        0.00        0.00        0.00        0.00
1991     12-        0.00        0.00        0.00        0.00        0.00        0.00
1991     13         0.00        0.00        0.00        0.00        0.00        0.00
1991     14         0.00        0.00        0.00        0.00        0.00        0.00
1991     15         4.00        4.00        0.00        0.00        0.00        0.00
1991     16        20.00       19.00        1.00        0.00        0.00        0.00
1991     17        59.00       57.00        1.00        1.00        0.00        0.00
1991     18        85.00       80.00        5.00        0.00        0.00        0.00
1991     19       130.00      116.00       14.00        0.00        0.00        0.00
1991     20       146.00      123.00       21.00        2.00        0.00        0.00
1991     21       172.00      133.00       36.00        3.00        0.00        0.00
1991     22       186.00      129.00       48.00        7.00        2.00        0.00
1991     23       245.00      158.00       75.00       12.00        0.00        0.00
1991     24       291.00      159.00      108.00       22.00        2.00        0.00
1991     25       291.00      132.00      116.00       39.00        4.00        0.00
1991     26       319.00      112.00      149.00       50.00        7.00        1.00
1991     27       338.00      109.00      146.00       71.00       12.00        0.00
1991     28       282.00       74.00      124.00       67.00       14.00        3.00
1991     29       266.00       57.00      104.00       81.00       21.00        3.00
1991     30       251.00       32.00       97.00       94.00       26.00        2.00
1991     31       245.00       28.00       73.00       93.00       38.00       13.00
1991     32       222.00       23.00       67.00       90.00       32.00       10.00
1991     33       196.00       23.00       54.00       73.00       41.00        5.00
1991     34       202.00       22.00       51.00       84.00       41.00        4.00
1991     35       145.00       16.00       27.00       58.00       33.00       11.00
1991     36       124.00        3.00       26.00       53.00       30.00       12.00
1991     37       103.00        5.00       16.00       36.00       32.00       14.00
1991     38        71.00        5.00       12.00       33.00       13.00        8.00
1991     39        54.00        5.00       10.00       16.00       17.00        6.00
1991     40        34.00        0.00        5.00       12.00       10.00        7.00
1991     41        25.00        1.00        3.00        4.00        5.00       12.00
1991     42        14.00        0.00        1.00        5.00        4.00        4.00
1991     43        10.00        1.00        1.00        1.00        3.00        4.00
1991     44         2.00        0.00        1.00        0.00        1.00        0.00
1991     45         1.00        0.00        0.00        0.00        0.00        1.00
1991     46         0.00        0.00        0.00        0.00        0.00        0.00
1991     47         0.00        0.00        0.00        0.00        0.00        0.00
1991     48         0.00        0.00        0.00        0.00        0.00        0.00
1991     49         0.00        0.00        0.00        0.00        0.00        0.00
1991     50         0.00        0.00        0.00        0.00        0.00        0.00
1991     51         0.00        0.00        0.00        0.00        0.00        0.00
1991     52         0.00        0.00        0.00        0.00        0.00        0.00
1991     53         0.00        0.00        0.00        0.00        0.00        0.00
1991     54         0.00        0.00        0.00        0.00        0.00        0.00
1991     55+        0.00        0.00        0.00        0.00        0.00        0.00
1992     12-        0.00        0.00        0.00        0.00        0.00        0.00
1992     13         0.00        0.00        0.00        0.00        0.00        0.00
1992     14         2.00        2.00        0.00        0.00        0.00        0.00
1992     15         2.00        2.00        0.00        0.00        0.00        0.00
1992     16        20.00       20.00        0.00        0.00        0.00        0.00
1992     17        47.00       46.00        1.00        0.00        0.00        0.00
1992     18        86.00       83.00        3.00        0.00        0.00        0.00
1992     19       126.00      111.00       13.00        2.00        0.00        0.00
1992     20       144.00      125.00       19.00        0.00        0.00        0.00
1992     21       188.00      150.00       35.00        2.00        1.00        0.00
1992     22       206.00      132.00       68.00        4.00        2.00        0.00
1992     23       228.00      147.00       71.00       10.00        0.00        0.00
1992     24       279.00      148.00       99.00       26.00        5.00        1.00
1992     25       302.00      141.00      131.00       28.00        1.00        1.00
1992     26       307.00      127.00      128.00       42.00        6.00        4.00
1992     27       294.00       92.00      144.00       50.00        8.00        0.00
1992     28       331.00       96.00      134.00       79.00       18.00        4.00
1992     29       314.00       63.00      131.00       93.00       22.00        5.00
1992     30       261.00       41.00      109.00       82.00       18.00       11.00
1992     31       259.00       39.00       89.00      107.00       22.00        2.00
1992     32       210.00       33.00       54.00       90.00       28.00        5.00
1992     33       214.00       22.00       57.00       91.00       37.00        7.00
1992     34       190.00       15.00       46.00       77.00       41.00       11.00
1992     35       154.00       11.00       31.00       66.00       28.00       18.00
1992     36       140.00        9.00       27.00       56.00       34.00       14.00
