Iceland, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 06/09/2023
Year   Age    Cohort           Total
1960    12-        .            0.00
1960    13      1947            0.00
1960    13      1946            0.01
1960    14      1946            0.04
1960    14      1945            0.10
1960    15      1945            0.57
1960    15      1944            1.14
1960    16      1944            4.42
1960    16      1943            8.86
1960    17      1943           28.21
1960    17      1942           44.03
1960    18      1942           96.27
1960    18      1941          114.92
1960    19      1941          151.52
1960    19      1940          160.91
1960    20      1940          139.70
1960    20      1939          129.60
1960    21      1939          136.10
1960    21      1938          138.70
1960    22      1938          131.40
1960    22      1937          134.12
1960    23      1937          132.67
1960    23      1936          148.15
1960    24      1936          148.34
1960    24      1935          144.22
1960    25      1935          144.80
1960    25      1934          142.54
1960    26      1934          127.11
1960    26      1933          123.95
1960    27      1933          109.89
1960    27      1932          115.41
1960    28      1932          112.52
1960    28      1931          114.22
1960    29      1931          117.52
1960    29      1930          127.06
1960    30      1930          118.97
1960    30      1929          106.72
1960    31      1929           97.81
1960    31      1928           95.00
1960    32      1928           86.24
1960    32      1927           88.73
1960    33      1927           81.88
1960    33      1926           87.68
1960    34      1926           77.35
1960    34      1925           77.61
1960    35      1925           66.67
1960    35      1924           66.47
1960    36      1924           62.76
1960    36      1923           63.82
1960    37      1923           54.90
1960    37      1922           57.43
1960    38      1922           48.82
1960    38      1921           49.95
1960    39      1921           43.49
1960    39      1920           41.68
1960    40      1920           36.61
1960    40      1919           32.23
1960    41      1919           24.97
1960    41      1918           26.71
1960    42      1918           19.86
1960    42      1917           19.05
1960    43      1917           13.36
1960    43      1916           11.90
1960    44      1916            7.25
1960    44      1915            7.07
1960    45      1915            4.92
1960    45      1914            4.39
1960    46      1914            2.25
1960    46      1913            1.47
1960    47      1913            0.49
1960    47      1912            0.31
1960    48      1912            0.09
1960    48      1911            0.05
1960    49      1911            0.02
1960    49      1910            0.01
1960    50      1910            0.00
1960    50      1909            0.00
1960    51      1909            0.00
1960    51      1908            0.00
1960    52      1908            0.00
1960    52      1907            0.00
1960    53      1907            0.00
1960    53      1906            0.00
1960    54      1906            0.00
1960    54      1905            0.00
1960    55+        .            0.00
1961    12-        .            0.00
1961    13      1948            0.00
1961    13      1947            0.01
1961    14      1947            0.04
1961    14      1946            0.09
1961    15      1946            0.48
1961    15      1945            1.04
1961    16      1945            4.67
1961    16      1944            8.22
1961    17      1944           23.86
1961    17      1943           41.11
1961    18      1943           92.52
1961    18      1942          117.48
1961    19      1942          160.07
1961    19      1941          153.39
1961    20      1941          134.68
1961    20      1940          130.86
1961    21      1940          143.38
1961    21      1939          133.02
1961    22      1939          129.60
1961    22      1938          127.10
1961    23      1938          121.13
1961    23      1937          120.37
1961    24      1937          126.72
1961    24      1936          137.13
1961    25      1936          133.47
1961    25      1935          124.63
1961    26      1935          118.38
1961    26      1934          111.35
1961    27      1934          102.15
1961    27      1933          100.43
1961    28      1933           92.53
1961    28      1932           99.02
1961    29      1932          104.32
1961    29      1931          104.74
1961    30      1931          104.01
1961    30      1930          112.56
1961    31      1930          102.83
1961    31      1929           91.83
1961    32      1929           85.69
1961    32      1928           84.64
1961    33      1928           76.16
1961    33      1927           79.60
1961    34      1927           72.09
1961    34      1926           77.58
1961    35      1926           65.26
1961    35      1925           63.63
1961    36      1925           51.90
1961    36      1924           52.19
1961    37      1924           48.47
1961    37      1923           50.49
1961    38      1923           42.54
1961    38      1922           44.35
1961    39      1922           36.27
1961    39      1921           36.91
1961    40      1921           30.23
1961    40      1920           28.14
1961    41      1920           22.95
1961    41      1919           20.48
1961    42      1919           15.25
1961    42      1918           16.23
1961    43      1918           11.83
1961    43      1917           11.29
1961    44      1917            7.51
1961    44      1916            7.09
1961    45      1916            5.20
1961    45      1915            4.74
1961    46      1915            2.33
1961    46      1914            1.70
1961    47      1914            0.54
1961    47      1913            0.32
1961    48      1913            0.09
1961    48      1912            0.05
1961    49      1912            0.02
1961    49      1911            0.01
1961    50      1911            0.00
1961    50      1910            0.00
1961    51      1910            0.00
1961    51      1909            0.00
1961    52      1909            0.00
1961    52      1908            0.00
1961    53      1908            0.00
1961    53      1907            0.00
1961    54      1907            0.00
1961    54      1906            0.00
1961    55+        .            0.00
1962    12-        .            0.00
1962    13      1949            0.00
1962    13      1948            0.01
1962    14      1948            0.05
1962    14      1947            0.10
1962    15      1947            0.51
1962    15      1946            1.04
1962    16      1946            4.27
1962    16      1945            8.18
1962    17      1945           27.01
1962    17      1944           40.74
1962    18      1944           83.74
1962    18      1943          118.01
1962    19      1943          163.12
1962    19      1942          166.22
1962    20      1942          149.99
1962    20      1941          135.09
1962    21      1941          138.51
1962    21      1940          140.95
1962    22      1940          136.72
1962    22      1939          127.86
1962    23      1939          121.75
1962    23      1938          123.81
1962    24      1938          120.96
1962    24      1937          126.35
1962    25      1937          128.03
