Iceland, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 06/09/2023
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1990    12-        .            0.00           0.00           0.00           0.00           0.00           0.00
1990    13      1977            0.00           0.00           0.00           0.00           0.00           0.00
1990    13      1976            0.00           0.00           0.00           0.00           0.00           0.00
1990    14      1976            0.00           0.00           0.00           0.00           0.00           0.00
1990    14      1975            0.00           0.00           0.00           0.00           0.00           0.00
1990    15      1975            0.00           0.00           0.00           0.00           0.00           0.00
1990    15      1974            5.00           5.00           0.00           0.00           0.00           0.00
1990    16      1974            5.00           5.00           0.00           0.00           0.00           0.00
1990    16      1973           20.00          20.00           0.00           0.00           0.00           0.00
1990    17      1973           23.00          23.00           0.00           0.00           0.00           0.00
1990    17      1972           31.00          30.00           1.00           0.00           0.00           0.00
1990    18      1972           58.00          54.00           4.00           0.00           0.00           0.00
1990    18      1971           45.00          44.00           1.00           0.00           0.00           0.00
1990    19      1971           69.00          61.00           8.00           0.00           0.00           0.00
1990    19      1970           59.00          48.00          10.00           1.00           0.00           0.00
1990    20      1970           75.00          65.00           8.00           2.00           0.00           0.00
1990    20      1969           93.00          82.00          10.00           1.00           0.00           0.00
1990    21      1969          118.00          89.00          27.00           2.00           0.00           0.00
1990    21      1968          110.00          83.00          25.00           2.00           0.00           0.00
1990    22      1968          110.00          81.00          27.00           2.00           0.00           0.00
1990    22      1967          131.00          89.00          39.00           3.00           0.00           0.00
1990    23      1967          123.00          81.00          34.00           8.00           0.00           0.00
1990    23      1966          147.00          78.00          57.00          11.00           1.00           0.00
1990    24      1966          165.00          89.00          60.00          16.00           0.00           0.00
1990    24      1965          142.00          66.00          55.00          19.00           2.00           0.00
1990    25      1965          154.00          78.00          62.00          11.00           3.00           0.00
1990    25      1964          173.00          76.00          76.00          19.00           2.00           0.00
1990    26      1964          178.00          67.00          73.00          30.00           8.00           0.00
1990    26      1963          153.00          46.00          67.00          30.00           8.00           2.00
1990    27      1963          160.00          56.00          61.00          28.00          14.00           1.00
1990    27      1962          161.00          35.00          71.00          45.00          10.00           0.00
1990    28      1962          152.00          37.00          62.00          43.00          10.00           0.00
1990    28      1961          139.00          34.00          57.00          40.00           5.00           3.00
1990    29      1961          150.00          33.00          61.00          45.00           8.00           3.00
1990    29      1960          149.00          24.00          53.00          49.00          22.00           1.00
1990    30      1960          142.00          20.00          58.00          50.00          10.00           4.00
1990    30      1959          126.00          13.00          44.00          50.00          12.00           7.00
1990    31      1959          134.00          15.00          55.00          45.00          17.00           2.00
1990    31      1958          123.00          14.00          43.00          48.00          18.00           0.00
1990    32      1958          124.00          14.00          45.00          43.00          20.00           2.00
1990    32      1957          118.00          11.00          40.00          48.00          15.00           4.00
1990    33      1957          102.00           9.00          25.00          43.00          20.00           5.00
1990    33      1956          111.00           6.00          21.00          53.00          27.00           4.00
1990    34      1956           92.00          10.00          15.00          44.00          13.00          10.00
1990    34      1955           79.00           3.00          19.00          32.00          22.00           3.00
1990    35      1955           66.00           4.00          18.00          24.00          16.00           4.00
1990    35      1954           61.00           2.00          13.00          28.00          14.00           4.00
1990    36      1954           66.00           3.00          11.00          34.00          14.00           4.00
1990    36      1953           57.00           0.00           8.00          18.00          22.00           9.00
1990    37      1953           43.00           2.00           3.00          19.00          13.00           6.00
1990    37      1952           35.00           3.00           9.00          12.00           5.00           6.00
1990    38      1952           37.00           4.00           8.00          13.00           9.00           3.00
1990    38      1951           42.00           2.00           7.00          12.00          13.00           8.00
1990    39      1951           31.00           2.00           3.00           9.00          11.00           6.00
1990    39      1950           24.00           1.00           7.00           7.00           5.00           4.00
1990    40      1950           12.00           2.00           0.00           4.00           3.00           3.00
1990    40      1949           10.00           0.00           1.00           4.00           2.00           3.00
1990    41      1949            4.00           0.00           1.00           0.00           2.00           1.00
1990    41      1948           13.00           1.00           4.00           4.00           2.00           2.00
1990    42      1948            5.00           0.00           1.00           1.00           0.00           3.00
1990    42      1947            2.00           0.00           1.00           1.00           0.00           0.00
1990    43      1947            6.00           1.00           1.00           1.00           2.00           1.00
1990    43      1946            1.00           0.00           0.00           0.00           1.00           0.00
1990    44      1946            2.00           0.00           1.00           1.00           0.00           0.00
1990    44      1945            1.00           0.00           1.00           0.00           0.00           0.00
1990    45      1945            1.00           0.00           1.00           0.00           0.00           0.00
1990    45      1944            0.00           0.00           0.00           0.00           0.00           0.00
1990    46      1944            0.00           0.00           0.00           0.00           0.00           0.00
1990    46      1943            0.00           0.00           0.00           0.00           0.00           0.00
1990    47      1943            0.00           0.00           0.00           0.00           0.00           0.00
1990    47      1942            0.00           0.00           0.00           0.00           0.00           0.00
1990    48      1942            0.00           0.00           0.00           0.00           0.00           0.00
1990    48      1941            0.00           0.00           0.00           0.00           0.00           0.00
1990    49      1941            0.00           0.00           0.00           0.00           0.00           0.00
1990    49      1940            0.00           0.00           0.00           0.00           0.00           0.00
1990    50      1940            0.00           0.00           0.00           0.00           0.00           0.00
1990    50      1939            0.00           0.00           0.00           0.00           0.00           0.00
1990    51      1939            0.00           0.00           0.00           0.00           0.00           0.00
1990    51      1938            0.00           0.00           0.00           0.00           0.00           0.00
1990    52      1938            0.00           0.00           0.00           0.00           0.00           0.00
1990    52      1937            0.00           0.00           0.00           0.00           0.00           0.00
1990    53      1937            0.00           0.00           0.00           0.00           0.00           0.00
1990    53      1936            0.00           0.00           0.00           0.00           0.00           0.00
1990    54      1936            0.00           0.00           0.00           0.00           0.00           0.00
1990    54      1935            0.00           0.00           0.00           0.00           0.00           0.00
1990    55+        .            0.00           0.00           0.00           0.00           0.00           0.00
1991    12-        .            0.00           0.00           0.00           0.00           0.00           0.00
1991    13      1978            0.00           0.00           0.00           0.00           0.00           0.00
1991    13      1977            0.00           0.00           0.00           0.00           0.00           0.00
1991    14      1977            0.00           0.00           0.00           0.00           0.00           0.00
1991    14      1976            0.00           0.00           0.00           0.00           0.00           0.00
1991    15      1976            2.00           2.00           0.00           0.00           0.00           0.00
1991    15      1975            2.00           2.00           0.00           0.00           0.00           0.00
1991    16      1975            5.00           5.00           0.00           0.00           0.00           0.00
1991    16      1974           15.00          14.00           1.00           0.00           0.00           0.00
1991    17      1974           20.00          20.00           0.00           0.00           0.00           0.00
1991    17      1973           39.00          37.00           1.00           1.00           0.00           0.00
1991    18      1973           49.00          45.00           4.00           0.00           0.00           0.00
1991    18      1972           36.00          35.00           1.00           0.00           0.00           0.00
1991    19      1972           66.00          62.00           4.00           0.00           0.00           0.00
1991    19      1971           64.00          54.00          10.00           0.00           0.00           0.00
1991    20      1971           68.00          57.00          11.00           0.00           0.00           0.00
1991    20      1970           78.00          66.00          10.00           2.00           0.00           0.00
1991    21      1970           86.00          69.00          15.00           2.00           0.00           0.00
1991    21      1969           86.00          64.00          21.00           1.00           0.00           0.00
1991    22      1969           99.00          76.00          19.00           3.00           1.00           0.00
1991    22      1968           87.00          53.00          29.00           4.00           1.00           0.00
1991    23      1968          122.00          82.00          35.00           5.00           0.00           0.00
1991    23      1967          123.00          76.00          40.00           7.00           0.00           0.00
1991    24      1967          131.00          77.00          48.00           6.00           0.00           0.00
1991    24      1966          160.00          82.00          60.00          16.00           2.00           0.00
1991    25      1966          130.00          58.00          52.00          19.00           1.00           0.00
1991    25      1965          161.00          74.00          64.00          20.00           3.00           0.00
1991    26      1965          145.00          54.00          67.00          22.00           2.00           0.00
1991    26      1964          174.00          58.00          82.00          28.00           5.00           1.00
1991    27      1964          176.00          62.00          70.00          37.00           7.00           0.00
1991    27      1963          162.00          47.00          76.00          34.00           5.00           0.00
1991    28      1963          143.00          36.00          66.00          32.00           7.00           2.00
1991    28      1962          139.00          38.00          58.00          35.00           7.00           1.00
1991    29      1962          142.00          36.00          57.00          35.00          11.00           3.00
1991    29      1961          124.00          21.00          47.00          46.00          10.00           0.00
1991    30      1961          117.00          17.00          47.00          39.00          14.00           0.00
1991    30      1960          134.00          15.00          50.00          55.00          12.00           2.00
1991    31      1960          127.00          16.00          35.00          48.00          21.00           7.00
1991    31      1959          118.00          12.00          38.00          45.00          17.00           6.00
1991    32      1959          103.00           9.00          39.00          35.00          16.00           4.00
1991    32      1958          119.00          14.00          28.00          55.00          16.00           6.00
1991    33      1958          105.00          13.00          30.00          37.00          22.00           3.00
1991    33      1957           91.00          10.00          24.00          36.00          19.00           2.00
1991    34      1957           99.00          12.00          26.00          38.00          20.00           3.00
1991    34      1956          103.00          10.00          25.00          46.00          21.00           1.00
1991    35      1956           71.00           8.00          12.00          26.00          19.00           6.00
1991    35      1955           74.00           8.00          15.00          32.00          14.00           5.00
