Iceland, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 06/09/2023
Year  ARDY   Cohort       Total
1960    12-   1948+        0.00
1960    13    1947         0.00
1960    14    1946         0.05
1960    15    1945         0.67
1960    16    1944         5.56
1960    17    1943        37.07
1960    18    1942       140.30
1960    19    1941       266.44
1960    20    1940       300.61
1960    21    1939       265.70
1960    22    1938       270.10
1960    23    1937       266.79
1960    24    1936       296.49
1960    25    1935       289.02
1960    26    1934       269.65
1960    27    1933       233.84
1960    28    1932       227.93
1960    29    1931       231.74
1960    30    1930       246.03
1960    31    1929       204.53
1960    32    1928       181.24
1960    33    1927       170.61
1960    34    1926       165.03
1960    35    1925       144.28
1960    36    1924       129.23
1960    37    1923       118.72
1960    38    1922       106.25
1960    39    1921        93.44
1960    40    1920        78.29
1960    41    1919        57.20
1960    42    1918        46.57
1960    43    1917        32.41
1960    44    1916        19.15
1960    45    1915        11.99
1960    46    1914         6.64
1960    47    1913         1.96
1960    48    1912         0.40
1960    49    1911         0.07
1960    50    1910         0.01
1960    51    1909         0.00
1960    52    1908         0.00
1960    53    1907         0.00
1960    54    1906         0.00
1960    55+   1905-        0.00
1961    12-   1949+        0.00
1961    13    1948         0.00
1961    14    1947         0.05
1961    15    1946         0.57
1961    16    1945         5.71
1961    17    1944        32.08
1961    18    1943       133.63
1961    19    1942       277.55
1961    20    1941       288.07
1961    21    1940       274.24
1961    22    1939       262.62
1961    23    1938       248.23
1961    24    1937       247.09
1961    25    1936       270.60
1961    26    1935       243.01
1961    27    1934       213.50
1961    28    1933       192.96
1961    29    1932       203.34
1961    30    1931       208.75
1961    31    1930       215.39
1961    32    1929       177.52
1961    33    1928       160.80
1961    34    1927       151.69
1961    35    1926       142.84
1961    36    1925       115.53
1961    37    1924       100.66
1961    38    1923        93.03
1961    39    1922        80.62
1961    40    1921        67.14
1961    41    1920        51.09
1961    42    1919        35.73
1961    43    1918        28.06
1961    44    1917        18.80
1961    45    1916        12.29
1961    46    1915         7.07
1961    47    1914         2.24
1961    48    1913         0.41
1961    49    1912         0.07
1961    50    1911         0.01
1961    51    1910         0.00
1961    52    1909         0.00
1961    53    1908         0.00
1961    54    1907         0.00
1961    55+   1906-        0.00
1962    12-   1950+        0.00
1962    13    1949         0.00
1962    14    1948         0.06
1962    15    1947         0.61
1962    16    1946         5.31
1962    17    1945        35.19
1962    18    1944       124.48
1962    19    1943       281.13
1962    20    1942       316.21
1962    21    1941       273.60
1962    22    1940       277.67
1962    23    1939       249.61
1962    24    1938       244.77
1962    25    1937       254.38
1962    26    1936       266.78
1962    27    1935       240.54
1962    28    1934       219.03
1962    29    1933       205.34
1962    30    1932       210.47
1962    31    1931       192.36
1962    32    1930       191.20
1962    33    1929       159.38
1962    34    1928       148.73
1962    35    1927       141.07
1962    36    1926       131.85
1962    37    1925       106.44
1962    38    1924        95.21
1962    39    1923        89.10
1962    40    1922        74.63
1962    41    1921        60.44
1962    42    1920        43.72
1962    43    1919        28.93
1962    44    1918        20.22
1962    45    1917        13.07
1962    46    1916         6.87
1962    47    1915         2.12
1962    48    1914         0.41
1962    49    1913         0.07
1962    50    1912         0.01
