Iceland, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 06/09/2023
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1990    12-   1978+        0.00        0.00        0.00        0.00        0.00        0.00
1990    13    1977         0.00        0.00        0.00        0.00        0.00        0.00
1990    14    1976         0.00        0.00        0.00        0.00        0.00        0.00
1990    15    1975         0.00        0.00        0.00        0.00        0.00        0.00
1990    16    1974        10.00       10.00        0.00        0.00        0.00        0.00
1990    17    1973        43.00       43.00        0.00        0.00        0.00        0.00
1990    18    1972        89.00       84.00        5.00        0.00        0.00        0.00
1990    19    1971       114.00      105.00        9.00        0.00        0.00        0.00
1990    20    1970       134.00      113.00       18.00        3.00        0.00        0.00
1990    21    1969       211.00      171.00       37.00        3.00        0.00        0.00
1990    22    1968       220.00      164.00       52.00        4.00        0.00        0.00
1990    23    1967       254.00      170.00       73.00       11.00        0.00        0.00
1990    24    1966       312.00      167.00      117.00       27.00        1.00        0.00
1990    25    1965       296.00      144.00      117.00       30.00        5.00        0.00
1990    26    1964       351.00      143.00      149.00       49.00       10.00        0.00
1990    27    1963       313.00      102.00      128.00       58.00       22.00        3.00
1990    28    1962       313.00       72.00      133.00       88.00       20.00        0.00
1990    29    1961       289.00       67.00      118.00       85.00       13.00        6.00
1990    30    1960       291.00       44.00      111.00       99.00       32.00        5.00
1990    31    1959       260.00       28.00       99.00       95.00       29.00        9.00
1990    32    1958       247.00       28.00       88.00       91.00       38.00        2.00
1990    33    1957       220.00       20.00       65.00       91.00       35.00        9.00
1990    34    1956       203.00       16.00       36.00       97.00       40.00       14.00
1990    35    1955       145.00        7.00       37.00       56.00       38.00        7.00
1990    36    1954       127.00        5.00       24.00       62.00       28.00        8.00
1990    37    1953       100.00        2.00       11.00       37.00       35.00       15.00
1990    38    1952        72.00        7.00       17.00       25.00       14.00        9.00
1990    39    1951        73.00        4.00       10.00       21.00       24.00       14.00
1990    40    1950        36.00        3.00        7.00       11.00        8.00        7.00
1990    41    1949        14.00        0.00        2.00        4.00        4.00        4.00
1990    42    1948        18.00        1.00        5.00        5.00        2.00        5.00
1990    43    1947         8.00        1.00        2.00        2.00        2.00        1.00
1990    44    1946         3.00        0.00        1.00        1.00        1.00        0.00
1990    45    1945         2.00        0.00        2.00        0.00        0.00        0.00
1990    46    1944         0.00        0.00        0.00        0.00        0.00        0.00
1990    47    1943         0.00        0.00        0.00        0.00        0.00        0.00
1990    48    1942         0.00        0.00        0.00        0.00        0.00        0.00
1990    49    1941         0.00        0.00        0.00        0.00        0.00        0.00
1990    50    1940         0.00        0.00        0.00        0.00        0.00        0.00
1990    51    1939         0.00        0.00        0.00        0.00        0.00        0.00
1990    52    1938         0.00        0.00        0.00        0.00        0.00        0.00
1990    53    1937         0.00        0.00        0.00        0.00        0.00        0.00
1990    54    1936         0.00        0.00        0.00        0.00        0.00        0.00
1990    55+   1935-        0.00        0.00        0.00        0.00        0.00        0.00
1991    12-   1979+        0.00        0.00        0.00        0.00        0.00        0.00
1991    13    1978         0.00        0.00        0.00        0.00        0.00        0.00
1991    14    1977         0.00        0.00        0.00        0.00        0.00        0.00
1991    15    1976         2.00        2.00        0.00        0.00        0.00        0.00
1991    16    1975         7.00        7.00        0.00        0.00        0.00        0.00
1991    17    1974        35.00       34.00        1.00        0.00        0.00        0.00
1991    18    1973        88.00       82.00        5.00        1.00        0.00        0.00
1991    19    1972       102.00       97.00        5.00        0.00        0.00        0.00
1991    20    1971       132.00      111.00       21.00        0.00        0.00        0.00
1991    21    1970       164.00      135.00       25.00        4.00        0.00        0.00
1991    22    1969       185.00      140.00       40.00        4.00        1.00        0.00
1991    23    1968       209.00      135.00       64.00        9.00        1.00        0.00
1991    24    1967       254.00      153.00       88.00       13.00        0.00        0.00
1991    25    1966       290.00      140.00      112.00       35.00        3.00        0.00
1991    26    1965       306.00      128.00      131.00       42.00        5.00        0.00
1991    27    1964       350.00      120.00      152.00       65.00       12.00        1.00
1991    28    1963       305.00       83.00      142.00       66.00       12.00        2.00
1991    29    1962       281.00       74.00      115.00       70.00       18.00        4.00
1991    30    1961       241.00       38.00       94.00       85.00       24.00        0.00
1991    31    1960       261.00       31.00       85.00      103.00       33.00        9.00
1991    32    1959       221.00       21.00       77.00       80.00       33.00       10.00
1991    33    1958       224.00       27.00       58.00       92.00       38.00        9.00
1991    34    1957       190.00       22.00       50.00       74.00       39.00        5.00
1991    35    1956       174.00       18.00       37.00       72.00       40.00        7.00
1991    36    1955       140.00        9.00       26.00       59.00       32.00       14.00
1991    37    1954       115.00        5.00       25.00       46.00       28.00       11.00
1991    38    1953        85.00        5.00       13.00       34.00       23.00       10.00
1991    39    1952        64.00        5.00        9.00       24.00       17.00        9.00
1991    40    1951        38.00        2.00        8.00       12.00       11.00        5.00
1991    41    1950        27.00        1.00        5.00        8.00        6.00        7.00
1991    42    1949        24.00        0.00        1.00        7.00        6.00       10.00
1991    43    1948        12.00        0.00        2.00        2.00        3.00        5.00
1991    44    1947         6.00        1.00        1.00        0.00        3.00        1.00
1991    45    1946         1.00        0.00        0.00        0.00        0.00        1.00
1991    46    1945         0.00        0.00        0.00        0.00        0.00        0.00
1991    47    1944         0.00        0.00        0.00        0.00        0.00        0.00
1991    48    1943         0.00        0.00        0.00        0.00        0.00        0.00
1991    49    1942         0.00        0.00        0.00        0.00        0.00        0.00
1991    50    1941         0.00        0.00        0.00        0.00        0.00        0.00
1991    51    1940         0.00        0.00        0.00        0.00        0.00        0.00
1991    52    1939         0.00        0.00        0.00        0.00        0.00        0.00
1991    53    1938         0.00        0.00        0.00        0.00        0.00        0.00
1991    54    1937         0.00        0.00        0.00        0.00        0.00        0.00
1991    55+   1936-        0.00        0.00        0.00        0.00        0.00        0.00
1992    12-   1980+        0.00        0.00        0.00        0.00        0.00        0.00
1992    13    1979         0.00        0.00        0.00        0.00        0.00        0.00
1992    14    1978         1.00        1.00        0.00        0.00        0.00        0.00
1992    15    1977         2.00        2.00        0.00        0.00        0.00        0.00
1992    16    1976         9.00        9.00        0.00        0.00        0.00        0.00
1992    17    1975        31.00       31.00        0.00        0.00        0.00        0.00
1992    18    1974        82.00       79.00        3.00        0.00        0.00        0.00
1992    19    1973       106.00       97.00        9.00        0.00        0.00        0.00
1992    20    1972       123.00      103.00       18.00        2.00        0.00        0.00
1992    21    1971       161.00      138.00       22.00        1.00        0.00        0.00
1992    22    1970       198.00      140.00       53.00        2.00        3.00        0.00
1992    23    1969       224.00      147.00       68.00        9.00        0.00        0.00
1992    24    1968       237.00      138.00       88.00       10.00        1.00        0.00
1992    25    1967       296.00      154.00      110.00       26.00        5.00        1.00
1992    26    1966       298.00      126.00      125.00       42.00        2.00        3.00
1992    27    1965       312.00      114.00      143.00       47.00        6.00        2.00
1992    28    1964       302.00       96.00      137.00       55.00       13.00        1.00
1992    29    1963       342.00       83.00      143.00       85.00       25.00        6.00
1992    30    1962       270.00       50.00      109.00       89.00       16.00        6.00
1992    31    1961       272.00       40.00      106.00       97.00       22.00        7.00
1992    32    1960       222.00       32.00       63.00      102.00       21.00        4.00
1992    33    1959       218.00       26.00       59.00       91.00       35.00        7.00
1992    34    1958       211.00       20.00       51.00       90.00       44.00        6.00
1992    35    1957       164.00       15.00       39.00       66.00       29.00       15.00
1992    36    1956       157.00       10.00       32.00       65.00       30.00       20.00
1992    37    1955       114.00       10.00       15.00       47.00       33.00        9.00
1992    38    1954        89.00        8.00       21.00       25.00       26.00        9.00
1992    39    1953        63.00        4.00        7.00       26.00       18.00        8.00
1992    40    1952        35.00        3.00        2.00       11.00       12.00        7.00
1992    41    1951        29.00        1.00        4.00        9.00       10.00        5.00
1992    42    1950        22.00        1.00        1.00        7.00        6.00        7.00
1992    43    1949        10.00        1.00        0.00        1.00        5.00        3.00
1992    44    1948         5.00        0.00        2.00        0.00        1.00        2.00
1992    45    1947         3.00        2.00        0.00        0.00        1.00        0.00
1992    46    1946         0.00        0.00        0.00        0.00        0.00        0.00
1992    47    1945         1.00        0.00        0.00        0.00        0.00        1.00
1992    48    1944         0.00        0.00        0.00        0.00        0.00        0.00
1992    49    1943         0.00        0.00        0.00        0.00        0.00        0.00
1992    50    1942         0.00        0.00        0.00        0.00        0.00        0.00
