Iceland, Crude birth rate
Last modified: 06/09/2023
Year      CBR
1960    28.01
1961    25.49
1962    25.83
1963    25.95
1964    25.31
1965    24.55
1966    24.01
1967    22.17
1968    20.98
1969    20.75
1970    19.68
1971    20.75
1972    22.36
1973    21.65
1974    19.87
1975    20.11
1976    19.49
1977    18.01
1978    18.62
1979    19.82
1980    19.84
1981    18.83
1982    18.54
1983    18.44
1984    17.17
1985    15.97
1986    15.96
1987    17.05
1988    18.71
1989    18.03
1990    18.71
1991    17.58
1992    17.65
1993    17.52
1994    16.70
1995    16.00
1996    16.10
1997    15.31
1998    15.24
1999    14.78
2000    15.34
2001    14.35
2002    14.08
2003    14.31
2004    14.49
2005    14.42
2006    14.53
2007    14.64
2008    15.23
2009    15.78
2010    15.43
2011    14.08
2012    14.13
2013    13.36
2014    13.36
2015    12.48
2016    12.03
2017    11.85
2018    11.99
2019    12.35
2020    12.31
2021    13.10
