Iceland, Crude birth rate by birth order
Last modified: 06/09/2023
Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
1990    18.71     6.75     5.78     4.14     1.57     0.46
1991    17.58     6.31     5.40     3.90     1.50     0.47
1992    17.65     6.44     5.48     3.85     1.39     0.49
1993    17.52     6.13     5.76     3.75     1.41     0.49
1994    16.70     5.99     5.27     3.80     1.21     0.42
1995    16.00     5.92     4.97     3.65     1.08     0.39
1996    16.10     5.71     5.52     3.32     1.17     0.37
1997    15.31     5.98     4.88     3.05     1.10     0.30
1998    15.24     5.84     5.11     2.90     1.05     0.35
1999    14.78     5.76     4.92     2.87     0.93     0.30
2000    15.34     6.30     4.91     2.96     0.94     0.23
2001    14.35     5.90     4.62     2.74     0.85     0.25
2002    14.08     5.49     5.01     2.52     0.84     0.22
2003    14.31     5.75     4.96     2.64     0.74     0.23
2004    14.49     5.55     5.24     2.79     0.74     0.17
2005    14.42     5.61     5.20     2.69     0.69     0.23
2006    14.53     5.87     5.06     2.74     0.65     0.22
2007    14.64     5.89     5.12     2.72     0.73     0.18
2008    15.23     6.10     5.31     2.86     0.76     0.20
2009    15.78     6.29     5.34     3.12     0.84     0.18
2010    15.43     6.01     5.14     3.29     0.83     0.16
2011    14.08     5.36     4.91     2.95     0.69     0.17
2012    14.13     5.60     4.83     2.78     0.71     0.21
2013    13.36     5.22     4.57     2.64     0.72     0.21
2014    13.36     5.33     4.83     2.43     0.59     0.19
2015    12.48     4.92     4.42     2.34     0.60     0.21
2016    12.03     4.64     4.22     2.35     0.61     0.20
2017    11.85     4.89     4.10     2.24     0.48     0.13
2018    11.99     5.36     3.98     2.07     0.45     0.14
2019    12.35     5.64     4.13     1.95     0.48     0.14
2020    12.31     5.80     4.14     1.82     0.43     0.12
2021    13.10     5.23     4.74     2.25     0.63     0.24
