Iceland, Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 06/09/2023
Cohort  Age     CCFR
1945    12         .
1945    13         .
1945    14         .
1945    15     0.000
1945    16     0.001
1945    17     0.009
1945    18     0.076
1945    19     0.230
1945    20     0.412
1945    21     0.630
1945    22     0.821
1945    23     1.013
1945    24     1.184
1945    25     1.345
1945    26     1.503
1945    27     1.677
1945    28     1.828
1945    29     1.972
1945    30     2.094
1945    31     2.204
1945    32     2.302
1945    33     2.387
1945    34     2.462
1945    35     2.542
1945    36     2.605
1945    37     2.654
1945    38     2.695
1945    39     2.723
1945    40     2.741
1945    41     2.751
1945    42     2.762
1945    43     2.770
1945    44     2.772
1945    45     2.774
1945    46     2.774
1945    47     2.775
1945    48     2.775
1945    49     2.775
1945    50     2.775
1945    51     2.775
1945    52     2.775
1945    53     2.775
1945    54     2.775
1945    55     2.775
1946    12         .
1946    13         .
1946    14     0.000
1946    15     0.000
1946    16     0.001
1946    17     0.017
1946    18     0.100
1946    19     0.256
1946    20     0.440
1946    21     0.649
1946    22     0.852
1946    23     1.041
1946    24     1.210
1946    25     1.380
1946    26     1.552
1946    27     1.723
1946    28     1.883
1946    29     2.022
1946    30     2.138
1946    31     2.244
1946    32     2.336
1946    33     2.429
1946    34     2.512
1946    35     2.589
1946    36     2.645
1946    37     2.681
1946    38     2.719
1946    39     2.744
1946    40     2.758
1946    41     2.770
1946    42     2.783
1946    43     2.790
1946    44     2.791
1946    45     2.793
1946    46     2.794
1946    47     2.794
1946    48     2.794
1946    49     2.794
1946    50     2.794
1946    51     2.794
1946    52     2.794
1946    53     2.794
1946    54     2.794
1946    55     2.794
1947    12         .
1947    13     0.000
1947    14     0.000
1947    15     0.000
1947    16     0.005
1947    17     0.027
1947    18     0.109
1947    19     0.264
1947    20     0.450
1947    21     0.642
1947    22     0.844
1947    23     1.023
1947    24     1.201
1947    25     1.393
1947    26     1.571
1947    27     1.733
1947    28     1.886
1947    29     2.016
1947    30     2.120
1947    31     2.217
1947    32     2.315
1947    33     2.412
1947    34     2.492
1947    35     2.564
1947    36     2.618
1947    37     2.660
1947    38     2.698
1947    39     2.724
1947    40     2.741
1947    41     2.757
1947    42     2.768
1947    43     2.773
1947    44     2.780
1947    45     2.782
1947    46     2.783
1947    47     2.784
1947    48     2.784
1947    49     2.784
1947    50     2.784
1947    51     2.784
1947    52     2.784
1947    53     2.784
1947    54     2.784
1947    55     2.784
1948    12     0.000
1948    13     0.000
1948    14     0.000
1948    15     0.000
1948    16     0.005
1948    17     0.032
1948    18     0.127
1948    19     0.282
1948    20     0.457
1948    21     0.622
1948    22     0.800
1948    23     0.981
1948    24     1.178
1948    25     1.374
1948    26     1.544
1948    27     1.699
1948    28     1.847
1948    29     1.976
1948    30     2.083
1948    31     2.194
1948    32     2.295
1948    33     2.387
1948    34     2.459
1948    35     2.529
1948    36     2.584
1948    37     2.633
1948    38     2.667
1948    39     2.695
1948    40     2.717
1948    41     2.735
1948    42     2.749
1948    43     2.755
1948    44     2.761
1948    45     2.763
1948    46     2.764
1948    47     2.764
1948    48     2.764
1948    49     2.764
1948    50     2.764
1948    51     2.764
1948    52     2.764
1948    53     2.764
1948    54     2.764
1948    55     2.764
1949    12     0.000
1949    13     0.000
1949    14     0.000
1949    15     0.000
1949    16     0.008
1949    17     0.038
1949    18     0.121
1949    19     0.255
1949    20     0.413
1949    21     0.568
1949    22     0.739
1949    23     0.926
1949    24     1.120
1949    25     1.299
1949    26     1.463
1949    27     1.614
1949    28     1.753
1949    29     1.880
1949    30     2.007
1949    31     2.134
1949    32     2.239
1949    33     2.330
1949    34     2.409
1949    35     2.479
1949    36     2.535
1949    37     2.582
1949    38     2.612
1949    39     2.648
1949    40     2.675
1949    41     2.693
1949    42     2.706
1949    43     2.713
1949    44     2.718
1949    45     2.720
1949    46     2.720
1949    47     2.720
1949    48     2.720
1949    49     2.720
1949    50     2.720
1949    51     2.720
1949    52     2.720
1949    53     2.720
1949    54     2.720
1949    55     2.720
1950    12     0.000
1950    13     0.000
1950    14     0.000
1950    15     0.000
1950    16     0.003
1950    17     0.024
1950    18     0.092
1950    19     0.227
1950    20     0.380
1950    21     0.546
1950    22     0.727
1950    23     0.925
1950    24     1.109
1950    25     1.286
1950    26     1.448
1950    27     1.588
1950    28     1.722
1950    29     1.854
1950    30     1.990
1950    31     2.114
1950    32     2.214
1950    33     2.301
1950    34     2.388
1950    35     2.449
1950    36     2.504
1950    37     2.550
1950    38     2.582
1950    39     2.616
1950    40     2.645
1950    41     2.663
1950    42     2.674
1950    43     2.687
1950    44     2.691
1950    45     2.693
1950    46     2.695
1950    47     2.696
1950    48     2.696
1950    49     2.696
1950    50     2.696
1950    51     2.696
1950    52     2.696
1950    53     2.696
1950    54     2.696
1950    55     2.696
1951    12     0.000
1951    13     0.000
1951    14     0.000
1951    15     0.001
1951    16     0.005
1951    17     0.031
1951    18     0.106
1951    19     0.237
1951    20     0.385
1951    21     0.565
1951    22     0.750
1951    23     0.938
1951    24     1.116
1951    25     1.287
1951    26     1.442
1951    27     1.582
1951    28     1.715
1951    29     1.855
1951    30     1.980
1951    31     2.091
1951    32     2.182
1951    33     2.265
1951    34     2.352
1951    35     2.409
1951    36     2.467
1951    37     2.517
1951    38     2.556
1951    39     2.593
1951    40     2.621
1951    41     2.642
1951    42     2.652
1951    43     2.658
1951    44     2.663
1951    45     2.663
1951    46     2.664
1951    47     2.665
1951    48     2.665
1951    49     2.665
1951    50     2.665
1951    51     2.665
1951    52     2.665
1951    53     2.665
1951    54     2.665
1951    55     2.665
1952    12     0.000
1952    13     0.000
1952    14     0.000
1952    15     0.000
1952    16     0.004
1952    17     0.034
1952    18     0.109
1952    19     0.224
1952    20     0.369
1952    21     0.551
1952    22     0.719
1952    23     0.886
1952    24     1.054
1952    25     1.202
1952    26     1.356
1952    27     1.505
1952    28     1.636
1952    29     1.775
1952    30     1.890
1952    31     2.004
1952    32     2.095
1952    33     2.175
1952    34     2.253
1952    35     2.320
1952    36     2.385
1952    37     2.440
1952    38     2.484
1952    39     2.524
1952    40     2.553
1952    41     2.575
1952    42     2.588
1952    43     2.597
1952    44     2.598
1952    45     2.602
1952    46     2.603
1952    47     2.603
1952    48     2.603
1952    49     2.603
1952    50     2.603
1952    51     2.603
1952    52     2.603
1952    53     2.603
1952    54     2.603
1952    55     2.603
1953    12     0.000
1953    13     0.000
1953    14     0.000
1953    15     0.000
1953    16     0.006
1953    17     0.032
1953    18     0.106
1953    19     0.231
1953    20     0.368
1953    21     0.523
1953    22     0.672
1953    23     0.832
1953    24     0.992
1953    25     1.137
1953    26     1.290
1953    27     1.439
1953    28     1.577
1953    29     1.706
1953    30     1.820
1953    31     1.927
1953    32     2.014
1953    33     2.092
1953    34     2.172
1953    35     2.250
1953    36     2.320
1953    37     2.381
1953    38     2.429
1953    39     2.470
1953    40     2.495
1953    41     2.517
1953    42     2.528
1953    43     2.540
1953    44     2.544
1953    45     2.545
1953    46     2.545
1953    47     2.546
1953    48     2.546
1953    49     2.547
1953    50     2.547
1953    51     2.547
1953    52     2.547
1953    53     2.547
1953    54     2.547
1953    55     2.547
