Iceland, Cumulative cohort fertility rates by birth order (horizontal parallelograms
Last modified: 06/09/2023
Cohort  Age     CCFR     CCFR1     CCFR2     CCFR3     CCFR4    CCFR5p
1975    12         .         .         .         .         .         .
1975    13         .         .         .         .         .         .
1975    14         .         .         .         .         .         .
1975    15     0.000     0.000     0.000     0.000     0.000     0.000
1975    16     0.001     0.001     0.000     0.000     0.000     0.000
1975    17     0.009     0.009     0.000     0.000     0.000     0.000
1975    18     0.031     0.030     0.001     0.000     0.000     0.000
1975    19     0.063     0.060     0.002     0.000     0.000     0.000
1975    20     0.115     0.107     0.008     0.000     0.000     0.000
1975    21     0.182     0.162     0.019     0.001     0.000     0.000
1975    22     0.266     0.230     0.034     0.002     0.000     0.000
1975    23     0.343     0.282     0.059     0.003     0.000     0.000
1975    24     0.449     0.347     0.095     0.007     0.000     0.000
1975    25     0.561     0.413     0.133     0.013     0.001     0.000
1975    26     0.676     0.480     0.171     0.022     0.003     0.000
1975    27     0.802     0.547     0.215     0.034     0.005     0.000
1975    28     0.921     0.598     0.267     0.050     0.007     0.000
1975    29     1.073     0.657     0.333     0.072     0.010     0.000
1975    30     1.202     0.698     0.393     0.098     0.013     0.001
1975    31     1.337     0.733     0.461     0.126     0.015     0.002
1975    32     1.464     0.761     0.522     0.159     0.020     0.002
1975    33     1.581     0.781     0.569     0.198     0.028     0.005
1975    34     1.691     0.801     0.610     0.233     0.040     0.007
1975    35     1.802     0.816     0.652     0.274     0.051     0.008
1975    36     1.906     0.835     0.678     0.321     0.064     0.008
1975    37     1.989     0.850     0.699     0.351     0.076     0.013
1975    38     2.053     0.861     0.715     0.375     0.085     0.016
1975    39     2.103     0.867     0.730     0.394     0.092     0.019
1975    40     2.148     0.875     0.743     0.409     0.100     0.021
1975    41     2.168     0.877     0.748     0.417     0.103     0.023
1975    42     2.188     0.878     0.755     0.423     0.107     0.024
1975    43     2.195     0.881     0.757     0.425     0.108     0.025
1975    44     2.198     0.881     0.758     0.425     0.109     0.025
1975    45     2.200     0.882     0.758     0.426     0.110     0.025
1975    46     2.203     0.883     0.759     0.427     0.110     0.025
1975    47         .         .         .         .         .         .
1975    48         .         .         .         .         .         .
1975    49         .         .         .         .         .         .
1975    50         .         .         .         .         .         .
1975    51         .         .         .         .         .         .
1975    52         .         .         .         .         .         .
