Iceland, Cohort fertility tables, birth orders 1 to 5+
Last modified: 06/09/2023
Cohort   x   b1x     l0x       m1x       q1x   Sb1x   b2x    l1x       m2x       q2x   Sb2x    b3x    l2x       m3x       q3x   Sb3x    b4x    l3x       m4x       q4x   Sb4x   b5px    l4x      m5px      q5px   Sb5px     chix
1975    12-    .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1975    13     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1975    14     .       .         .         .      .     .      .         .         .      .      .      .         .         .      .      .      .         .         .      .      .      .         .         .       .        .
1975    15    10   10000   0.00097   0.00097      0     0      0         .         .      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1975    16    81    9990   0.00818   0.00814     10     0     10   0.00000   0.00000      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1975    17   206    9909   0.02096   0.02074     91    14     91   0.07685   0.15759      0      0      0         .         .      0      0      0         .         .      0      0      0         .         .       0        .
1975    18   308    9703   0.03229   0.03178    297     9    282   0.02198   0.03362     14      0     14   0.00000   0.00000      0      0      0         .         .      0      0      0         .         .       0        .
1975    19   468    9395   0.05105   0.04978    605    57    581   0.07207   0.09755     24      0     24   0.00000   0.00000      0      0      0         .         .      0      0      0         .         .       0        .
1975    20   543    8927   0.06276   0.06085   1073   111    992   0.09151   0.11147     81     10     81   0.07340   0.11943      0      0      0         .         .      0      0      0         .         .       0        .
1975    21   686    8384   0.08529   0.08180   1616   149   1425   0.08781   0.10436    191     10    181   0.03821   0.05286     10      0     10   0.00000   0.00000      0      0      0         .         .       0        .
1975    22   517    7698   0.06948   0.06715   2302   246   1962   0.11748   0.12558    340     10    321   0.02201   0.03014     19      0     19   0.00000   0.00000      0      0      0         .         .       0        .
1975    23   650    7181   0.09485   0.09055   2819   366   2232   0.15417   0.16399    586     39    557   0.05344   0.06915     29      5     29   0.10534   0.16685      0      0      0         .         .       0        .
1975    24   665    6531   0.10729   0.10183   3469   373   2517   0.14017   0.14830    952     67    885   0.06454   0.07570     67     10     63   0.10482   0.15289      5      0      5   0.00000   0.00000       0     4.00
