Iceland, Cumulative period fertility rates (Lexis squares)
Last modified: 06/09/2023
Year    Age     CPFR
1960    12     0.000
1960    13     0.000
1960    14     0.000
1960    15     0.000
1960    16     0.001
1960    17     0.010
1960    18     0.060
1960    19     0.218
1960    20     0.480
1960    21     0.715
1960    22     0.970
1960    23     1.224
1960    24     1.472
1960    25     1.724
1960    26     1.970
1960    27     2.190
1960    28     2.391
1960    29     2.582
1960    30     2.774
1960    31     2.957
1960    32     3.122
1960    33     3.275
1960    34     3.421
1960    35     3.562
1960    36     3.691
1960    37     3.805
1960    38     3.908
1960    39     4.000
1960    40     4.082
1960    41     4.151
1960    42     4.205
1960    43     4.245
1960    44     4.272
1960    45     4.288
1960    46     4.298
1960    47     4.302
1960    48     4.303
1960    49     4.303
1960    50     4.303
1960    51     4.303
1960    52     4.303
1960    53     4.303
1960    54     4.303
1960    55     4.303
1961    12     0.000
1961    13     0.000
1961    14     0.000
1961    15     0.000
1961    16     0.001
1961    17     0.009
1961    18     0.054
1961    19     0.198
1961    20     0.433
1961    21     0.654
1961    22     0.894
1961    23     1.131
1961    24     1.360
1961    25     1.592
1961    26     1.814
1961    27     2.009
1961    28     2.187
1961    29     2.358
1961    30     2.534
1961    31     2.705
1961    32     2.863
1961    33     3.010
1961    34     3.148
1961    35     3.278
1961    36     3.396
1961    37     3.498
1961    38     3.588
1961    39     3.668
1961    40     3.737
1961    41     3.793
1961    42     3.837
1961    43     3.871
1961    44     3.895
1961    45     3.910
1961    46     3.921
1961    47     3.926
1961    48     3.927
1961    49     3.927
1961    50     3.927
1961    51     3.927
1961    52     3.927
1961    53     3.927
1961    54     3.927
1961    55     3.927
1962    12     0.000
1962    13     0.000
1962    14     0.000
1962    15     0.000
1962    16     0.001
1962    17     0.009
1962    18     0.052
1962    19     0.190
1962    20     0.415
1962    21     0.629
1962    22     0.859
1962    23     1.088
1962    24     1.313
1962    25     1.547
1962    26     1.782
1962    27     1.995
1962    28     2.192
1962    29     2.379
1962    30     2.563
1962    31     2.735
1962    32     2.888
1962    33     3.029
1962    34     3.164
1962    35     3.295
1962    36     3.416
1962    37     3.524
1962    38     3.621
1962    39     3.708
1962    40     3.785
1962    41     3.848
1962    42     3.898
1962    43     3.935
1962    44     3.961
1962    45     3.977
1962    46     3.988
1962    47     3.992
1962    48     3.993
1962    49     3.993
1962    50     3.993
1962    51     3.993
1962    52     3.993
1962    53     3.993
1962    54     3.993
1962    55     3.993
1963    12     0.000
1963    13     0.000
1963    14     0.000
1963    15     0.000
1963    16     0.005
1963    17     0.028
1963    18     0.116
1963    19     0.250
1963    20     0.437
1963    21     0.670
1963    22     0.902
1963    23     1.172
1963    24     1.396
1963    25     1.615
1963    26     1.844
1963    27     2.076
1963    28     2.266
1963    29     2.448
1963    30     2.645
1963    31     2.807
1963    32     2.956
1963    33     3.098
1963    34     3.245
1963    35     3.375
1963    36     3.492
1963    37     3.572
1963    38     3.657
1963    39     3.728
1963    40     3.808
1963    41     3.867
1963    42     3.915
1963    43     3.950
1963    44     3.976
1963    45     3.987
1963    46     3.990
1963    47     3.993
1963    48     3.993
1963    49     3.993
1963    50     3.993
1963    51     3.993
1963    52     3.993
1963    53     3.993
1963    54     3.993
1963    55     3.993
1964    12     0.000
1964    13     0.000
1964    14     0.000
1964    15     0.000
1964    16     0.006
1964    17     0.027
1964    18     0.105
1964    19     0.273
1964    20     0.457
1964    21     0.674
1964    22     0.904
1964    23     1.121
1964    24     1.342
1964    25     1.575
1964    26     1.800
1964    27     2.004
1964    28     2.194
1964    29     2.368
1964    30     2.523
1964    31     2.670
1964    32     2.813
1964    33     2.977
1964    34     3.108
1964    35     3.234
1964    36     3.356
1964    37     3.453
1964    38     3.546
1964    39     3.624
1964    40     3.692
1964    41     3.746
1964    42     3.806
1964    43     3.843
1964    44     3.862
1964    45     3.870
1964    46     3.879
1964    47     3.880
1964    48     3.880
1964    49     3.881
1964    50     3.881
1964    51     3.881
1964    52     3.881
1964    53     3.881
1964    54     3.881
1964    55     3.881
1965    12     0.000
1965    13     0.000
1965    14     0.000
1965    15     0.000
1965    16     0.008
1965    17     0.039
1965    18     0.127
1965    19     0.275
1965    20     0.453
1965    21     0.675
1965    22     0.885
1965    23     1.094
1965    24     1.297
1965    25     1.525
1965    26     1.718
1965    27     1.906
1965    28     2.100
1965    29     2.282
1965    30     2.423
1965    31     2.580
1965    32     2.730
