Iceland, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 06/09/2023
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1990    12     0.000     0.000     0.000     0.000     0.000     0.000
1990    13     0.000     0.000     0.000     0.000     0.000     0.000
1990    14     0.000     0.000     0.000     0.000     0.000     0.000
1990    15     0.000     0.000     0.000     0.000     0.000     0.000
1990    16     0.002     0.002     0.000     0.000     0.000     0.000
1990    17     0.015     0.015     0.000     0.000     0.000     0.000
1990    18     0.039     0.039     0.000     0.000     0.000     0.000
1990    19     0.088     0.085     0.003     0.000     0.000     0.000
1990    20     0.153     0.141     0.012     0.001     0.000     0.000
1990    21     0.238     0.214     0.021     0.002     0.000     0.000
1990    22     0.352     0.300     0.047     0.004     0.000     0.000
1990    23     0.469     0.384     0.079     0.006     0.000     0.000
1990    24     0.595     0.457     0.122     0.015     0.000     0.000
1990    25     0.737     0.529     0.175     0.032     0.001     0.000
1990    26     0.886     0.600     0.238     0.045     0.004     0.000
1990    27     1.035     0.650     0.301     0.072     0.011     0.001
1990    28     1.183     0.692     0.361     0.106     0.022     0.001
1990    29     1.320     0.726     0.418     0.145     0.029     0.003
1990    30     1.462     0.753     0.472     0.190     0.043     0.005
1990    31     1.590     0.769     0.521     0.237     0.054     0.010
1990    32     1.714     0.783     0.568     0.282     0.071     0.011
1990    33     1.832     0.795     0.609     0.326     0.088     0.014
1990    34     1.937     0.802     0.632     0.374     0.111     0.018
1990    35     2.023     0.809     0.649     0.412     0.129     0.025
1990    36     2.089     0.812     0.665     0.439     0.144     0.029
1990    37     2.155     0.813     0.675     0.467     0.163     0.036
1990    38     2.198     0.816     0.682     0.484     0.173     0.043
1990    39     2.243     0.820     0.690     0.498     0.186     0.049
1990    40     2.274     0.821     0.696     0.507     0.195     0.054
1990    41     2.287     0.822     0.697     0.512     0.198     0.058
1990    42     2.297     0.823     0.700     0.515     0.200     0.060
1990    43     2.301     0.823     0.701     0.516     0.200     0.062
1990    44     2.306     0.824     0.702     0.516     0.202     0.062
1990    45     2.308     0.824     0.703     0.517     0.202     0.062
1990    46     2.309     0.824     0.704     0.517     0.202     0.062
1990    47     2.309     0.824     0.704     0.517     0.202     0.062
1990    48     2.309     0.824     0.704     0.517     0.202     0.062
1990    49     2.309     0.824     0.704     0.517     0.202     0.062
1990    50     2.309     0.824     0.704     0.517     0.202     0.062
1990    51     2.309     0.824     0.704     0.517     0.202     0.062
1990    52     2.309     0.824     0.704     0.517     0.202     0.062
1990    53     2.309     0.824     0.704     0.517     0.202     0.062
1990    54     2.309     0.824     0.704     0.517     0.202     0.062
1990    55     2.309     0.824     0.704     0.517     0.202     0.062
1991    12     0.000     0.000     0.000     0.000     0.000     0.000
1991    13     0.000     0.000     0.000     0.000     0.000     0.000
1991    14     0.000     0.000     0.000     0.000     0.000     0.000
