Iceland, Cumulative period fertility rates (vertical parallelograms)
Last modified: 06/09/2023
Year  ARDY  Cohort     CPFR
1960   12    1948     0.000
1960   13    1947     0.000
1960   14    1946     0.000
1960   15    1945     0.000
1960   16    1944     0.000
1960   17    1943     0.004
1960   18    1942     0.029
1960   19    1941     0.128
1960   20    1940     0.345
1960   21    1939     0.598
1960   22    1938     0.842
1960   23    1937     1.098
1960   24    1936     1.348
1960   25    1935     1.598
1960   26    1934     1.848
1960   27    1933     2.082
1960   28    1932     2.292
1960   29    1931     2.487
1960   30    1930     2.679
1960   31    1929     2.867
1960   32    1928     3.041
1960   33    1927     3.200
1960   34    1926     3.349
1960   35    1925     3.493
1960   36    1924     3.629
1960   37    1923     3.750
1960   38    1922     3.858
1960   39    1921     3.956
1960   40    1920     4.044
1960   41    1919     4.119
1960   42    1918     4.181
1960   43    1917     4.229
1960   44    1916     4.262
1960   45    1915     4.283
1960   46    1914     4.296
1960   47    1913     4.304
1960   48    1912     4.306
1960   49    1911     4.306
1960   50    1910     4.306
1960   51    1909     4.306
1960   52    1908     4.306
1960   53    1907     4.306
1960   54    1906     4.306
1960   55    1905     4.306
1961   12    1949     0.000
1961   13    1948     0.000
1961   14    1947     0.000
1961   15    1946     0.000
1961   16    1945     0.000
1961   17    1944     0.004
1961   18    1943     0.026
1961   19    1942     0.115
1961   20    1941     0.311
1961   21    1940     0.545
1961   22    1939     0.774
1961   23    1938     1.013
1961   24    1937     1.246
1961   25    1936     1.477
1961   26    1935     1.705
1961   27    1934     1.913
1961   28    1933     2.099
1961   29    1932     2.273
1961   30    1931     2.446
1961   31    1930     2.621
1961   32    1929     2.786
1961   33    1928     2.938
1961   34    1927     3.080
1961   35    1926     3.215
1961   36    1925     3.339
1961   37    1924     3.449
1961   38    1923     3.545
1961   39    1922     3.630
1961   40    1921     3.705
1961   41    1920     3.768
1961   42    1919     3.818
1961   43    1918     3.857
1961   44    1917     3.886
1961   45    1916     3.905
1961   46    1915     3.919
1961   47    1914     3.927
1961   48    1913     3.929
1961   49    1912     3.930
1961   50    1911     3.930
1961   51    1910     3.930
1961   52    1909     3.930
1961   53    1908     3.930
1961   54    1907     3.930
1961   55    1906     3.930
1962   12    1950     0.000
1962   13    1949     0.000
1962   14    1948     0.000
1962   15    1947     0.000
1962   16    1946     0.000
1962   17    1945     0.004
1962   18    1944     0.026
1962   19    1943     0.111
1962   20    1942     0.298
1962   21    1941     0.522
1962   22    1940     0.742
1962   23    1939     0.973
1962   24    1938     1.199
1962   25    1937     1.428
1962   26    1936     1.664
1962   27    1935     1.889
1962   28    1934     2.094
1962   29    1933     2.285
1962   30    1932     2.470
1962   31    1931     2.649
1962   32    1930     2.811
1962   33    1929     2.958
1962   34    1928     3.096
1962   35    1927     3.229
1962   36    1926     3.356
1962   37    1925     3.471
1962   38    1924     3.573
1962   39    1923     3.665
1962   40    1922     3.747
1962   41    1921     3.817
1962   42    1920     3.874
1962   43    1919     3.918
1962   44    1918     3.949
1962   45    1917     3.970
1962   46    1916     3.984
1962   47    1915     3.991
1962   48    1914     3.994
1962   49    1913     3.994
1962   50    1912     3.994
1962   51    1911     3.994
1962   52    1910     3.994
1962   53    1909     3.994
1962   54    1908     3.994
1962   55    1907     3.994
1963   12    1951     0.000
1963   13    1950     0.000
1963   14    1949     0.000
1963   15    1948     0.000
1963   16    1947     0.001
1963   17    1946     0.015
1963   18    1945     0.065
1963   19    1944     0.180
1963   20    1943     0.338
1963   21    1942     0.551
1963   22    1941     0.784
1963   23    1940     1.036
1963   24    1939     1.285
1963   25    1938     1.504
1963   26    1937     1.728
1963   27    1936     1.961
1963   28    1935     2.172
1963   29    1934     2.356
1963   30    1933     2.546
1963   31    1932     2.727
1963   32    1931     2.882
1963   33    1930     3.026
1963   34    1929     3.171
1963   35    1928     3.311
1963   36    1927     3.435
1963   37    1926     3.533
1963   38    1925     3.615
1963   39    1924     3.693
1963   40    1923     3.769
1963   41    1922     3.839
1963   42    1921     3.893
1963   43    1920     3.935
1963   44    1919     3.966
1963   45    1918     3.984
1963   46    1917     3.990
1963   47    1916     3.994
1963   48    1915     3.995
1963   49    1914     3.995
1963   50    1913     3.995
1963   51    1912     3.995
1963   52    1911     3.995
1963   53    1910     3.995
1963   54    1909     3.995
1963   55    1908     3.995
1964   12    1952     0.000
1964   13    1951     0.000
1964   14    1950     0.000
1964   15    1949     0.000
1964   16    1948     0.001
1964   17    1947     0.015
1964   18    1946     0.058
1964   19    1945     0.182
1964   20    1944     0.363
1964   21    1943     0.562
1964   22    1942     0.788
1964   23    1941     1.012
1964   24    1940     1.230
1964   25    1939     1.457
1964   26    1938     1.687
1964   27    1937     1.902
1964   28    1936     2.099
1964   29    1935     2.282
1964   30    1934     2.445
1964   31    1933     2.596
1964   32    1932     2.740
1964   33    1931     2.895
1964   34    1930     3.043
1964   35    1929     3.171
1964   36    1928     3.295
1964   37    1927     3.405
1964   38    1926     3.500
1964   39    1925     3.586
1964   40    1924     3.659
1964   41    1923     3.719
1964   42    1922     3.777
1964   43    1921     3.827
1964   44    1920     3.855
1964   45    1919     3.867
1964   46    1918     3.876
1964   47    1917     3.880
1964   48    1916     3.881
1964   49    1915     3.882
1964   50    1914     3.882
1964   51    1913     3.882
1964   52    1912     3.882
1964   53    1911     3.882
1964   54    1910     3.882
1964   55    1909     3.882
1965   12    1953     0.000
1965   13    1952     0.000
1965   14    1951     0.000
1965   15    1950     0.000
1965   16    1949     0.001
1965   17    1948     0.022
1965   18    1947     0.077
1965   19    1946     0.197
1965   20    1945     0.361
1965   21    1944     0.563
1965   22    1943     0.781
1965   23    1942     0.990
1965   24    1941     1.196
1965   25    1940     1.412
1965   26    1939     1.623
1965   27    1938     1.812
1965   28    1937     2.004
1965   29    1936     2.194
1965   30    1935     2.354
1965   31    1934     2.502
1965   32    1933     2.658
1965   33    1932     2.788
1965   34    1931     2.907
1965   35    1930     3.032
1965   36    1929     3.160
1965   37    1928     3.270
1965   38    1927     3.347
1965   39    1926     3.427
1965   40    1925     3.508
1965   41    1924     3.565
1965   42    1923     3.616
1965   43    1922     3.663
1965   44    1921     3.690
1965   45    1920     3.708
1965   46    1919     3.718
1965   47    1918     3.723
1965   48    1917     3.727
1965   49    1916     3.729
1965   50    1915     3.730
1965   51    1914     3.730
1965   52    1913     3.730
1965   53    1912     3.731
1965   54    1911     3.731
