Iceland, Cumulative period fertility rates by birth order (vertical parallelograms)
Last modified: 06/09/2023
Year  ARDY  Cohort     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1990   12    1978     0.000     0.000     0.000     0.000     0.000     0.000
1990   13    1977     0.000     0.000     0.000     0.000     0.000     0.000
1990   14    1976     0.000     0.000     0.000     0.000     0.000     0.000
1990   15    1975     0.000     0.000     0.000     0.000     0.000     0.000
1990   16    1974     0.000     0.000     0.000     0.000     0.000     0.000
1990   17    1973     0.005     0.005     0.000     0.000     0.000     0.000
1990   18    1972     0.025     0.025     0.000     0.000     0.000     0.000
1990   19    1971     0.065     0.063     0.002     0.000     0.000     0.000
1990   20    1970     0.122     0.115     0.007     0.000     0.000     0.000
1990   21    1969     0.192     0.175     0.016     0.002     0.000     0.000
1990   22    1968     0.294     0.257     0.034     0.003     0.000     0.000
1990   23    1967     0.407     0.341     0.061     0.005     0.000     0.000
1990   24    1966     0.528     0.422     0.096     0.010     0.000     0.000
1990   25    1965     0.670     0.498     0.149     0.023     0.000     0.000
1990   26    1964     0.808     0.565     0.203     0.037     0.003     0.000
1990   27    1963     0.963     0.629     0.269     0.058     0.007     0.000
1990   28    1962     1.107     0.675     0.328     0.085     0.017     0.001
1990   29    1961     1.251     0.709     0.389     0.126     0.027     0.001
1990   30    1960     1.393     0.741     0.447     0.167     0.033     0.004
1990   31    1959     1.529     0.762     0.499     0.213     0.048     0.007
1990   32    1958     1.653     0.775     0.546     0.259     0.062     0.011
1990   33    1957     1.772     0.789     0.589     0.303     0.080     0.012
1990   34    1956     1.881     0.799     0.621     0.348     0.097     0.016
1990   35    1955     1.982     0.807     0.639     0.396     0.117     0.023
1990   36    1954     2.055     0.810     0.657     0.424     0.136     0.027
1990   37    1953     2.123     0.813     0.670     0.457     0.151     0.031
1990   38    1952     2.177     0.814     0.676     0.477     0.170     0.039
1990   39    1951     2.218     0.818     0.686     0.492     0.178     0.044
1990   40    1950     2.258     0.820     0.691     0.503     0.191     0.052
1990   41    1949     2.279     0.822     0.695     0.509     0.196     0.056
1990   42    1948     2.288     0.822     0.697     0.512     0.199     0.059
1990   43    1947     2.298     0.823     0.700     0.515     0.200     0.062
1990   44    1946     2.303     0.823     0.701     0.516     0.201     0.062
1990   45    1945     2.306     0.823     0.702     0.517     0.202     0.062
1990   46    1944     2.307     0.823     0.703     0.517     0.202     0.062
1990   47    1943     2.307     0.823     0.703     0.517     0.202     0.062
1990   48    1942     2.307     0.823     0.703     0.517     0.202     0.062
1990   49    1941     2.307     0.823     0.703     0.517     0.202     0.062
1990   50    1940     2.307     0.823     0.703     0.517     0.202     0.062
1990   51    1939     2.307     0.823     0.703     0.517     0.202     0.062
1990   52    1938     2.307     0.823     0.703     0.517     0.202     0.062
1990   53    1937     2.307     0.823     0.703     0.517     0.202     0.062
1990   54    1936     2.307     0.823     0.703     0.517     0.202     0.062
1990   55    1935     2.307     0.823     0.703     0.517     0.202     0.062
1991   12    1979     0.000     0.000     0.000     0.000     0.000     0.000
1991   13    1978     0.000     0.000     0.000     0.000     0.000     0.000
1991   14    1977     0.000     0.000     0.000     0.000     0.000     0.000
1991   15    1976     0.000     0.000     0.000     0.000     0.000     0.000
1991   16    1975     0.001     0.001     0.000     0.000     0.000     0.000
1991   17    1974     0.004     0.004     0.000     0.000     0.000     0.000
1991   18    1973     0.022     0.021     0.001     0.000     0.000     0.000
1991   19    1972     0.063     0.060     0.003     0.000     0.000     0.000
1991   20    1971     0.108     0.103     0.005     0.000     0.000     0.000
1991   21    1970     0.173     0.157     0.015     0.000     0.000     0.000
1991   22    1969     0.260     0.229     0.029     0.003     0.000     0.000
1991   23    1968     0.350     0.297     0.048     0.005     0.000     0.000
1991   24    1967     0.457     0.366     0.081     0.009     0.001     0.000
1991   25    1966     0.578     0.439     0.123     0.015     0.001     0.000
1991   26    1965     0.710     0.502     0.174     0.031     0.002     0.000
1991   27    1964     0.851     0.562     0.234     0.051     0.005     0.000
1991   28    1963     1.006     0.615     0.302     0.079     0.010     0.000
1991   29    1962     1.146     0.653     0.367     0.110     0.015     0.001
1991   30    1961     1.277     0.687     0.420     0.142     0.024     0.003
1991   31    1960     1.395     0.706     0.466     0.184     0.036     0.003
1991   32    1959     1.518     0.721     0.506     0.233     0.051     0.007
1991   33    1958     1.623     0.731     0.543     0.271     0.067     0.012
1991   34    1957     1.731     0.744     0.571     0.315     0.085     0.017
1991   35    1956     1.825     0.754     0.596     0.351     0.104     0.019
1991   36    1955     1.911     0.763     0.614     0.387     0.124     0.022
1991   37    1954     1.982     0.768     0.627     0.417     0.140     0.030
1991   38    1953     2.043     0.771     0.640     0.441     0.155     0.035
1991   39    1952     2.088     0.773     0.647     0.459     0.168     0.041
1991   40    1951     2.125     0.776     0.652     0.473     0.177     0.046
1991   41    1950     2.146     0.777     0.657     0.480     0.183     0.049
1991   42    1949     2.162     0.778     0.660     0.485     0.187     0.053
1991   43    1948     2.176     0.778     0.660     0.489     0.191     0.059
1991   44    1947     2.184     0.778     0.662     0.490     0.192     0.062
1991   45    1946     2.187     0.778     0.662     0.490     0.194     0.063
1991   46    1945     2.188     0.778     0.662     0.490     0.194     0.063
1991   47    1944     2.188     0.778     0.662     0.490     0.194     0.063
1991   48    1943     2.188     0.778     0.662     0.490     0.194     0.063
1991   49    1942     2.188     0.778     0.662     0.490     0.194     0.063
1991   50    1941     2.188     0.778     0.662     0.490     0.194     0.063
1991   51    1940     2.188     0.778     0.662     0.490     0.194     0.063
1991   52    1939     2.188     0.778     0.662     0.490     0.194     0.063
1991   53    1938     2.188     0.778     0.662     0.490     0.194     0.063
1991   54    1937     2.188     0.778     0.662     0.490     0.194     0.063
1991   55    1936     2.188     0.778     0.662     0.490     0.194     0.063
1992   12    1980     0.000     0.000     0.000     0.000     0.000     0.000
1992   13    1979     0.000     0.000     0.000     0.000     0.000     0.000
1992   14    1978     0.000     0.000     0.000     0.000     0.000     0.000
1992   15    1977     0.001     0.001     0.000     0.000     0.000     0.000
