Iceland, Female population exposure by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Exposure
1960     12         1797.91
1960     13         1629.65
1960     14         1558.05
1960     15         1561.87
1960     16         1455.10
1960     17         1459.04
1960     18         1331.07
1960     19         1196.67
1960     20         1144.06
1960     21         1075.43
1960     22         1045.87
1960     23         1135.62
1960     24         1161.56
1960     25         1165.53
1960     26         1141.79
1960     27         1122.41
1960     28         1184.16
1960     29         1273.18
1960     30         1233.20
1960     31         1168.28
1960     32         1142.47
1960     33         1163.44
1960     34         1101.01
1960     35         1030.98
1960     36         1111.48
1960     37         1094.38
1960     38         1065.45
1960     39         1038.65
1960     40         1003.50
1960     41          948.21
1960     42          976.34
1960     43          950.03
1960     44          893.11
1960     45          892.58
1960     46          906.32
1960     47          889.43
1960     48          893.67
1960     49          837.32
1960     50          798.16
1960     51          814.08
1960     52          771.60
1960     53          781.19
1960     54          765.30
1960     55          752.71
1961     12         1789.76
1961     13         1804.34
1961     14         1621.77
1961     15         1551.65
1961     16         1566.43
1961     17         1451.61
1961     18         1463.02
1961     19         1329.05
1961     20         1201.98
1961     21         1153.92
1961     22         1082.27
1961     23         1052.67
1961     24         1142.19
1961     25         1162.07
1961     26         1175.63
1961     27         1139.22
1961     28         1117.97
1961     29         1191.23
1961     30         1260.54
1961     31         1233.67
1961     32         1159.78
1961     33         1128.16
1961     34         1150.11
1961     35         1099.30
1961     36         1019.95
1961     37         1096.21
1961     38         1088.01
1961     39         1054.88
1961     40         1038.62
1961     41          986.02
1961     42          942.39
1961     43          971.91
1961     44          942.30
1961     45          889.14
1961     46          891.05
1961     47          896.93
1961     48          886.91
1961     49          890.10
1961     50          835.64
1961     51          790.33
1961     52          812.49
1961     53          771.55
1961     54          775.67
1961     55          758.96
1962     12         1815.20
1962     13         1801.24
1962     14         1796.70
1962     15         1618.71
1962     16         1557.56
1962     17         1567.43
1962     18         1463.39
1962     19         1462.01
1962     20         1334.75
1962     21         1214.10
1962     22         1157.58
1962     23         1091.53
1962     24         1054.76
1962     25         1140.16
1962     26         1169.97
1962     27         1173.61
1962     28         1134.71
1962     29         1125.46
1962     30         1177.81
1962     31         1258.52
1962     32         1223.68
1962     33         1146.53
1962     34         1115.91
1962     35         1147.78
1962     36         1086.01
1962     37         1004.26
1962     38         1091.51
1962     39         1075.63
1962     40         1055.44
1962     41         1021.08
1962     42          981.28
1962     43          938.32
1962     44          963.15
1962     45          938.72
1962     46          886.81
1962     47          881.96
1962     48          895.90
1962     49          884.41
1962     50          892.63
1962     51          825.57
1962     52          788.89
1962     53          810.11
