Iceland, Female exposure to risk by calendar year, age and parity
Last modified: 06/09/2023
Year   Age            E0x            E1x            E2x            E3x           E4px
2020    12        2334.96           0.00           0.00           0.00           0.00
2020    13        2244.00           0.00           0.00           0.00           0.00
2020    14        2217.14           0.00           0.00           0.00           0.00
2020    15        2167.73           0.49           0.00           0.00           0.00
2020    16        2206.96           1.01           0.00           0.00           0.00
2020    17        2128.75           5.02           0.00           0.00           0.00
2020    18        2145.26          14.78           0.00           0.00           0.00
2020    19        2220.56          30.03           1.46           0.00           0.00
2020    20        2289.29          73.09           6.09           0.00           0.00
2020    21        2245.61         135.21          17.91           0.52           0.00
2020    22        2198.60         206.45          38.23           1.51           0.00
2020    23        2235.82         289.87          67.15           4.24           0.50
2020    24        2129.93         393.45         110.07           9.58           1.00
2020    25        2045.98         525.84         149.47          16.16           1.01
2020    26        1951.92         654.05         234.75          28.74           4.64
2020    27        1763.83         756.46         357.77          54.13           7.39
2020    28        1440.90         814.23         448.03          79.29          10.45
2020    29        1252.00         886.29         592.54         121.62          15.00
2020    30        1098.92         857.56         703.67         177.89          22.32
2020    31         862.88         809.05         757.16         230.27          34.73
2020    32         730.11         707.09         807.78         282.54          43.69
2020    33         616.45         586.56         806.19         316.82          59.59
2020    34         479.05         587.77         854.56         388.32          76.92
2020    35         414.28         541.70         858.66         473.82          95.92
2020    36         414.22         485.38         874.69         557.56         117.40
2020    37         353.97         447.70         907.34         592.87         145.80
2020    38         292.28         449.99         890.38         615.48         170.50
2020    39         268.51         444.23         853.14         652.90         177.63
2020    40         250.16         435.28         864.42         745.46         203.26
2020    41         223.76         388.45         812.34         762.28         224.83
2020    42         229.51         335.72         748.18         687.61         228.94
2020    43         219.97         342.07         753.17         691.23         224.61
2020    44         232.67         317.71         764.02         722.60         235.34
2020    45              .              .              .              .              .
2020    46              .              .              .              .              .
2020    47              .              .              .              .              .
2020    48              .              .              .              .              .
2020    49              .              .              .              .              .
2020    50              .              .              .              .              .
2020    51              .              .              .              .              .
2020    52              .              .              .              .              .
2020    53              .              .              .              .              .
2020    54              .              .              .              .              .
2020    55              .              .              .              .              .
2021    12        2428.68           0.00           0.00           0.00           0.00
2021    13        2359.52           0.00           0.00           0.00           0.00
2021    14        2259.42           0.00           0.00           0.00           0.00
2021    15        2230.72           0.00           0.00           0.00           0.00
2021    16        2179.05           1.96           0.00           0.00           0.00
2021    17        2231.13           3.56           0.00           0.00           0.00
2021    18        2163.23          12.66           0.00           0.00           0.00
2021    19        2197.83          33.71           0.51           0.00           0.00
2021    20        2289.47          61.08           3.06           0.50           0.00
2021    21        2304.20         115.32          13.86           1.52           0.00
2021    22        2265.08         182.81          33.45           5.15           0.51
2021    23        2194.29         278.93          62.57           6.23           0.52
2021    24        2182.22         384.31         105.95           8.99           1.53
2021    25        2038.12         493.21         166.54          19.49           3.07
2021    26        1916.95         618.52         231.32          27.66           3.05
2021    27        1804.24         746.12         325.88          54.09           7.25
2021    28        1600.28         838.16         460.92          88.86          13.24
2021    29        1297.19         837.84         561.61         118.67          16.59
2021    30        1116.82         897.48         705.53         168.94          22.28
2021    31         961.10         876.26         784.48         232.04          33.17
2021    32         761.39         798.92         825.73         291.05          50.24
2021    33         660.74         667.79         880.57         333.39          61.52
2021    34         564.35         563.70         851.58         366.74          74.53
2021    35         433.91         572.31         879.41         446.89          87.05
2021    36         372.09         524.45         877.60         527.85         111.53
2021    37         377.73         474.54         894.62         592.78         141.64
2021    38         330.38         446.33         925.75         621.18         165.88
2021    39         273.59         450.11         897.12         640.02         182.84
2021    40         253.41         443.05         859.88         672.28         187.99
2021    41         241.61         433.12         877.84         760.92         216.49
2021    42         216.64         386.74         825.06         766.02         233.93
2021    43         221.81         340.77         758.26         691.81         234.12
2021    44         216.26         346.41         762.40         696.94         227.47
2021    45         233.16         319.44         772.15         729.35         237.88
2021    46              .              .              .              .              .
2021    47              .              .              .              .              .
2021    48              .              .              .              .              .
2021    49              .              .              .              .              .
2021    50              .              .              .              .              .
2021    51              .              .              .              .              .
2021    52              .              .              .              .              .
2021    53              .              .              .              .              .
2021    54              .              .              .              .              .
2021    55              .              .              .              .              .
