Iceland, Female population exposure by calendar year, age and birth cohort (Lexis triangles)
Last modified: 06/09/2023
Year   Age   Cohort      Exposure
1960    12    1948         927.93
1960    12    1947         869.98
1960    13    1947         832.61
1960    13    1946         797.04
1960    14    1946         773.97
1960    14    1945         784.08
1960    15    1945         804.88
1960    15    1944         756.99
1960    16    1944         704.52
1960    16    1943         750.57
1960    17    1943         743.44
1960    17    1942         715.61
1960    18    1942         701.91
1960    18    1941         629.16
1960    19    1941         598.86
1960    19    1940         597.80
1960    20    1940         588.21
1960    20    1939         555.85
1960    21    1939         535.71
1960    21    1938         539.72
1960    22    1938         515.81
1960    22    1937         530.06
1960    23    1937         535.90
1960    23    1936         599.72
1960    24    1936         588.81
1960    24    1935         572.75
1960    25    1935         580.71
1960    25    1934         584.82
1960    26    1934         568.23
1960    26    1933         573.56
1960    27    1933         541.00
1960    27    1932         581.41
1960    28    1932         585.57
1960    28    1931         598.59
1960    29    1931         609.39
1960    29    1930         663.79
1960    30    1930         642.25
1960    30    1929         590.95
1960    31    1929         584.06
1960    31    1928         584.22
1960    32    1928         557.31
1960    32    1927         585.16
1960    33    1927         557.91
1960    33    1926         605.53
1960    34    1926         544.05
1960    34    1925         556.96
1960    35    1925         507.17
1960    35    1924         523.81
1960    36    1924         540.66
1960    36    1923         570.81
1960    37    1923         525.71
1960    37    1922         568.67
1960    38    1922         516.90
1960    38    1921         548.55
1960    39    1921         517.48
1960    39    1920         521.17
1960    40    1920         516.83
1960    40    1919         486.66
1960    41    1919         436.86
1960    41    1918         511.35
1960    42    1918         469.21
1960    42    1917         507.13
1960    43    1917         466.43
1960    43    1916         483.60
1960    44    1916         420.93
1960    44    1915         472.18
1960    45    1915         420.93
1960    45    1914         471.65
1960    46    1914         452.88
1960    46    1913         453.44
1960    47    1913         429.10
1960    47    1912         460.32
1960    48    1912         431.22
1960    48    1911         462.44
1960    49    1911         425.15
1960    49    1910         412.16
1960    50    1910         378.95
1960    50    1909         419.21
1960    51    1909         393.85
1960    51    1908         420.23
1960    52    1908         370.36
1960    52    1907         401.23
1960    53    1907         375.28
1960    53    1906         405.90
1960    54    1906         367.71
1960    54    1905         397.59
1960    55    1905         357.98
1960    55    1904         394.73
1961    12    1949         864.69
1961    12    1948         925.07
1961    13    1948         938.94
1961    13    1947         865.39
1961    14    1947         825.74
1961    14    1946         796.03
1961    15    1946         770.52
1961    15    1945         781.12
1961    16    1945         809.95
1961    16    1944         756.48
1961    17    1944         704.04
1961    17    1943         747.56
1961    18    1943         748.92
1961    18    1942         714.09
1961    19    1942         700.91
1961    19    1941         628.14
1961    20    1941         606.19
1961    20    1940         595.79
1961    21    1940         601.62
1961    21    1939         552.29
1961    22    1939         544.08
1961    22    1938         538.19
1961    23    1938         526.58
1961    23    1937         526.10
1961    24    1937         547.00
1961    24    1936         595.19
1961    25    1936         592.79
1961    25    1935         569.29
1961    26    1935         594.85
1961    26    1934         580.77
1961    27    1934         568.23
1961    27    1933         571.00
1961    28    1933         539.54
1961    28    1932         578.43
1961    29    1932         594.63
1961    29    1931         596.61
1961    30    1931         599.79
1961    30    1930         660.75
1961    31    1930         643.73
1961    31    1929         589.94
1961    32    1929         577.09
1961    32    1928         582.69
1961    33    1928         546.07
1961    33    1927         582.09
1961    34    1927         546.16
1961    34    1926         603.95
1961    35    1926         545.47
1961    35    1925         553.83
1961    36    1925         497.61
1961    36    1924         522.34
1961    37    1924         525.91
1961    37    1923         570.29
1961    38    1923         520.91
1961    38    1922         567.10
1961    39    1922         507.36
1961    39    1921         547.52
1961    40    1921         518.45
1961    40    1920         520.17
1961    41    1920         499.89
1961    41    1919         486.14
1961    42    1919         432.60
1961    42    1918         509.79
1961    43    1918         466.34
1961    43    1917         505.57
1961    44    1917         459.23
1961    44    1916         483.07
1961    45    1916         419.07
1961    45    1915         470.07
1961    46    1915         420.93
1961    46    1914         470.12
1961    47    1914         445.03
1961    47    1913         451.90
1961    48    1913         428.13
1961    48    1912         458.78
1961    49    1912         430.25
1961    49    1911         459.85
1961    50    1911         426.60
1961    50    1910         409.05
1961    51    1910         373.18
1961    51    1909         417.15
1961    52    1909         393.85
1961    52    1908         418.64
1961    53    1908         370.83
1961    53    1907         400.72
1961    54    1907         372.38
1961    54    1906         403.29
1961    55    1906         362.94
1961    55    1905         396.02
1962    12    1950         921.89
1962    12    1949         893.31
1962    13    1949         865.18
1962    13    1948         936.06
1962    14    1948         938.44
1962    14    1947         858.26
1962    15    1947         826.23
1962    15    1946         792.48
1962    16    1946         771.51
1962    16    1945         786.05
1962    17    1945         811.47
1962    17    1944         755.96
1962    18    1944         710.31
1962    18    1943         753.08
1962    19    1943         748.92
1962    19    1942         713.09
1962    20    1942         698.93
1962    20    1941         635.81
1962    21    1941         604.72
1962    21    1940         609.38
1962    22    1940         596.65
1962    22    1939         560.92
1962    23    1939         542.11
1962    23    1938         549.42
1962    24    1938         517.77
1962    24    1937         537.00
1962    25    1937         540.95
1962    25    1936         599.21
1962    26    1936         586.82
1962    26    1935         583.15
1962    27    1935         592.83
1962    27    1934         580.77
1962    28    1934         565.26
1962    28    1933         569.46
1962    29    1933         538.08
1962    29    1932         587.37
1962    30    1932         590.60
1962    30    1931         587.21
1962    31    1931         596.25
1962    31    1930         662.27
1962    32    1930         640.77
1962    32    1929         582.91
1962    33    1929         575.60
1962    33    1928         570.93
1962    34    1928         546.07
1962    34    1927         569.84
1962    35    1927         542.25
1962    35    1926         605.53
1962    36    1926         542.62
1962    36    1925         543.39
1962    37    1925         496.18
1962    37    1924         508.09
1962    38    1924         526.42
1962    38    1923         565.09
1962    39    1923         518.99
1962    39    1922         556.64
1962    40    1922         506.88
1962    40    1921         548.55
