Iceland, Female population exposure by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 06/09/2023
Year    ARDY   Cohort       Exposure
1960     12     1948          927.93
1960     13     1947         1702.59
1960     14     1946         1571.01
1960     15     1945         1588.96
1960     16     1944         1461.52
1960     17     1943         1494.01
1960     18     1942         1417.51
1960     19     1941         1228.02
1960     20     1940         1186.01
1960     21     1939         1091.55
1960     22     1938         1055.53
1960     23     1937         1065.96
1960     24     1936         1188.52
1960     25     1935         1153.47
1960     26     1934         1153.04
1960     27     1933         1114.57
1960     28     1932         1166.98
1960     29     1931         1207.98
1960     30     1930         1306.04
1960     31     1929         1175.01
1960     32     1928         1141.53
1960     33     1927         1143.06
1960     34     1926         1149.58
1960     35     1925         1064.13
1960     36     1924         1064.47
1960     37     1923         1096.52
1960     38     1922         1085.57
1960     39     1921         1066.03
1960     40     1920         1038.00
1960     41     1919          923.53
1960     42     1918          980.56
1960     43     1917          973.56
1960     44     1916          904.53
1960     45     1915          893.11
1960     46     1914          924.53
1960     47     1913          882.54
1960     48     1912          891.55
1960     49     1911          887.60
1960     50     1910          791.11
1960     51     1909          813.06
1960     52     1908          790.59
1960     53     1907          776.52
1960     54     1906          773.62
1960     55     1905          755.58
1961     12     1949          864.69
1961     13     1948         1864.02
1961     14     1947         1691.14
1961     15     1946         1566.55
1961     16     1945         1591.07
1961     17     1944         1460.52
1961     18     1943         1496.48
1961     19     1942         1415.01
1961     20     1941         1234.32
1961     21     1940         1197.41
1961     22     1939         1096.37
1961     23     1938         1064.77
1961     24     1937         1073.10
1961     25     1936         1187.98
1961     26     1935         1164.14
1961     27     1934         1149.00
1961     28     1933         1110.54
1961     29     1932         1173.06
1961     30     1931         1196.40
1961     31     1930         1304.48
1961     32     1929         1167.04
1961     33     1928         1128.76
1961     34     1927         1128.25
1961     35     1926         1149.42
1961     36     1925         1051.44
1961     37     1924         1048.25
1961     38     1923         1091.20
1961     39     1922         1074.46
1961     40     1921         1065.97
1961     41     1920         1020.05
1961     42     1919          918.74
1961     43     1918          976.12
1961     44     1917          964.80
1961     45     1916          902.14
1961     46     1915          891.00
1961     47     1914          915.15
1961     48     1913          880.03
1961     49     1912          889.03
1961     50     1911          886.44
1961     51     1910          782.23
1961     52     1909          811.00
1961     53     1908          789.47
1961     54     1907          773.10
1961     55     1906          766.23
1962     12     1950          921.89
1962     13     1949         1758.49
1962     14     1948         1874.50
1962     15     1947         1684.49
1962     16     1946         1563.99
1962     17     1945         1597.52
1962     18     1944         1466.27
1962     19     1943         1502.00
1962     20     1942         1412.02
1962     21     1941         1240.54
1962     22     1940         1206.03
1962     23     1939         1103.03
1962     24     1938         1067.19
1962     25     1937         1077.94
1962     26     1936         1186.03
1962     27     1935         1175.98
1962     28     1934         1146.03
1962     29     1933         1107.54
1962     30     1932         1177.98
1962     31     1931         1183.46
1962     32     1930         1303.04
1962     33     1929         1158.51
