Iceland, Period mean ages at birth and period mean ages at birth by age 40
Last modified: 06/09/2023
Year       MAB     MAB40
1960     27.90     27.12
1961     27.82     27.09
1962     28.02     27.24
1963     27.64     26.95
1964     27.73     27.00
1965     27.73     26.96
1966     27.46     26.73
1967     27.47     26.79
1968     27.40     26.68
1969     27.29     26.70
1970     27.23     26.60
1971     27.04     26.54
1972     27.02     26.57
1973     26.94     26.40
1974     26.90     26.49
1975     26.97     26.55
1976     26.91     26.48
1977     27.02     26.59
1978     26.82     26.47
1979     27.01     26.74
1980     27.08     26.82
1981     27.16     26.89
1982     27.01     26.66
1983     27.25     26.93
1984     27.33     27.09
1985     27.38     27.15
1986     27.48     27.22
1987     27.74     27.45
1988     27.85     27.61
1989     28.07     27.78
1990     28.12     27.91
1991     28.50     28.19
1992     28.51     28.20
1993     28.60     28.24
1994     28.61     28.31
1995     28.66     28.37
1996     28.80     28.53
1997     28.61     28.30
1998     28.74     28.39
1999     28.70     28.43
2000     28.86     28.52
2001     29.03     28.69
2002     29.28     28.93
2003     29.31     28.93
2004     29.53     29.17
2005     29.41     29.05
2006     29.54     29.19
2007     29.55     29.20
2008     29.77     29.34
2009     29.88     29.44
2010     30.00     29.60
2011     30.10     29.62
2012     30.09     29.62
2013     30.37     29.84
2014     30.16     29.70
2015     30.32     29.84
2016     30.57     30.00
2017     30.56     30.03
2018     30.58     30.07
2019     30.91     30.30
2020     30.70     30.15
2021     30.85     30.33
