Iceland, Period mean ages at birth by birth order and period mean ages at birth by birth order by age 40
Last modified: 06/09/2023
Year       MAB      MAB1      MAB2      MAB3      MAB4     MAB5p     MAB40   MAB40_1   MAB40_2   MAB40_3   MAB40_4  MAB40_5p
1990     28.12     23.96     28.25     31.54     33.50     35.84     27.91     23.91     28.09     31.34     33.19     35.02
1991     28.50     24.34     28.43     31.88     34.13     36.78     28.19     24.31     28.30     31.63     33.57     34.96
1992     28.51     24.60     28.34     32.01     34.48     35.95     28.20     24.51     28.25     31.80     33.70     34.37
1993     28.60     24.75     28.33     32.09     34.17     36.60     28.24     24.69     28.19     31.78     33.41     34.85
1994     28.61     24.88     28.59     32.01     33.96     36.29     28.31     24.78     28.42     31.67     33.53     35.01
1995     28.66     24.94     28.95     31.97     34.16     36.07     28.37     24.78     28.77     31.68     33.82     34.88
1996     28.80     24.96     29.07     32.36     33.99     36.62     28.53     24.92     28.86     32.07     33.50     35.52
1997     28.61     25.06     29.05     32.20     34.27     36.04     28.30     24.88     28.89     31.82     33.81     34.46
1998     28.74     25.15     29.18     32.21     34.53     36.66     28.39     25.01     28.91     31.96     33.75     35.20
1999     28.70     25.09     29.28     32.22     34.76     36.11     28.43     25.03     29.07     31.94     34.09     35.24
2000     28.86     25.45     29.52     32.52     34.53     37.38     28.52     25.38     29.26     32.14     33.81     35.46
2001     29.03     25.68     29.63     32.63     34.84     37.03     28.69     25.57     29.46     32.25     33.93     35.31
2002     29.28     26.02     29.64     33.01     35.03     36.26     28.93     25.85     29.45     32.56     34.30     34.95
2003     29.31     26.01     30.04     32.75     34.98     37.11     28.93     25.87     29.80     32.38     33.99     34.88
2004     29.53     26.19     30.03     33.20     34.96     37.21     29.17     26.06     29.81     32.73     34.01     35.94
2005     29.41     26.30     29.84     32.96     34.95     36.32     29.05     26.18     29.56     32.52     34.19     34.85
2006     29.54     26.44     30.06     33.11     35.22     37.26     29.19     26.32     29.81     32.76     34.34     35.29
2007     29.55     26.64     29.93     33.05     35.05     35.93     29.20     26.45     29.67     32.68     34.15     34.76
2008     29.77     26.50     30.42     33.24     35.44     37.12     29.34     26.35     30.06     32.76     34.67     35.24
2009     29.88     26.74     30.39     33.29     35.09     36.72     29.44     26.50     30.05     32.79     34.34     34.85
2010     30.00     26.86     30.29     33.52     34.83     36.83     29.60     26.67     29.99     33.03     34.08     35.86
2011     30.10     27.10     30.29     33.42     35.16     37.72     29.62     26.77     30.00     32.89     34.25     35.55
2012     30.09     27.07     30.35     33.64     35.41     36.49     29.62     26.85     30.04     33.02     34.50     35.17
2013     30.37     27.44     30.62     33.72     35.31     36.16     29.84     27.10     30.28     33.12     34.17     34.52
2014     30.16     27.48     30.36     33.64     35.42     36.75     29.70     27.15     30.09     33.09     34.62     34.87
2015     30.32     27.51     30.59     33.68     35.10     37.02     29.84     27.27     30.19     33.18     34.11     35.51
2016     30.57     27.79     30.70     33.67     35.72     37.24     30.00     27.45     30.26     33.11     34.62     35.33
2017     30.56     27.93     31.04     33.77     35.36     36.90     30.03     27.62     30.63     33.13     34.25     35.43
2018     30.58     28.33     31.09     33.56     36.46     35.90     30.07     27.94     30.71     33.02     35.16     35.06
2019     30.91     28.74     31.41     34.08     35.60     38.46     30.30     28.31     30.92     33.42     34.37     36.69
2020     30.70     28.70     31.37     33.83     35.35     36.46     30.15     28.31     30.88     33.21     34.25     34.33
2021     30.85     28.59     31.06     33.60     35.64     36.20     30.33     28.32     30.60     33.02     34.38     34.91
