Iceland, Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 06/09/2023
Cohort    CMAB    CMAB40
1945     26.06     25.86
1946     25.87     25.66
1947     25.89     25.64
1948     25.99     25.72
1949     26.24     25.98
1950     26.32     26.03
1951     26.24     25.99
1952     26.49     26.18
1953     26.67     26.36
1954     26.78     26.43
1955     26.88     26.60
1956     27.17     26.87
1957     27.23     26.98
1958     27.34     27.09
1959     27.39     27.09
1960     27.38     26.99
1961     27.52     27.23
1962     27.66     27.26
1963     27.75     27.41
1964     28.05     27.71
1965     28.18     27.80
1966     28.24     27.79
1967     28.30     27.88
1968     28.66     28.12
1969     28.80     28.24
1970     28.77     28.34
1971     29.18     28.76
1972         .     28.62
1973         .     28.70
1974         .     28.69
1975         .     28.97
1976         .     28.94
1977         .     28.90
1978         .     28.93
1979         .     28.98
1980         .     28.71
1981         .     28.91
