Iceland, Conditional fertility rates by calendar year, age and birth order
Last modified: 06/09/2023
Year  Age       m1x       m2x       m3x       m4x      m5px
2020   12-  0.00000         .         .         .         .
2020   13   0.00000         .         .         .         .
2020   14   0.00000         .         .         .         .
2020   15   0.00000         .         .         .         .
2020   16   0.00136         .         .         .         .
2020   17   0.00188   0.00000         .         .         .
2020   18   0.00513   0.00000         .         .         .
2020   19   0.01441   0.06661         .         .         .
2020   20   0.01835   0.04104   0.16423         .         .
2020   21   0.02271   0.08135   0.05584         .         .
2020   22   0.03684   0.16469   0.13080         .         .
2020   23   0.04607   0.10004   0.02979         .         .
2020   24   0.06479   0.12708   0.07268   0.10437         .
2020   25   0.08065   0.10650   0.04683   0.00000         .
2020   26   0.10093   0.12996   0.05112   0.10438         .
2020   27   0.12303   0.14013   0.07267   0.01848   0.13529
2020   28   0.11451   0.14983   0.05803   0.07568   0.00000
2020   29   0.12939   0.15571   0.07426   0.02467   0.19997
2020   30   0.15743   0.17958   0.07390   0.04497   0.13443
2020   31   0.16688   0.15203   0.07924   0.03908   0.02879
2020   32   0.12738   0.17254   0.07675   0.04955   0.02289
2020   33   0.11031   0.17219   0.05582   0.04419   0.08390
2020   34   0.12942   0.13611   0.07372   0.03090   0.03900
2020   35   0.14000   0.14768   0.06405   0.02533   0.03128
2020   36   0.08208   0.11331   0.06517   0.03408   0.03407
2020   37   0.08475   0.10275   0.04960   0.02193   0.02743
2020   38   0.08553   0.07778   0.03145   0.01625   0.01173
2020   39   0.06704   0.05177   0.02696   0.01378   0.01126
2020   40   0.06796   0.06433   0.02198   0.01073   0.00984
2020   41   0.03575   0.04376   0.00985   0.00787   0.01779
2020   42   0.04357   0.01489   0.01470   0.00436   0.00874
2020   43   0.03637   0.01754   0.00266   0.00000   0.00445
2020   44   0.00860   0.00315   0.00131   0.00138   0.00425
2020   45         .         .         .         .         .
2020   46         .         .         .         .         .
2020   47         .         .         .         .         .
2020   48         .         .         .         .         .
2020   49         .         .         .         .         .
2020   50         .         .         .         .         .
2020   51         .         .         .         .         .
2020   52         .         .         .         .         .
2020   53         .         .         .         .         .
2020   54         .         .         .         .         .
2020   55+        .         .         .         .         .
2021   12-  0.00000         .         .         .         .
2021   13   0.00000         .         .         .         .
2021   14   0.00000         .         .         .         .
2021   15   0.00000         .         .         .         .
2021   16   0.00000         .         .         .         .
2021   17   0.00045         .         .         .         .
2021   18   0.00601   0.00000         .         .         .
2021   19   0.00819   0.05934         .         .         .
2021   20   0.01529   0.09823         .         .         .
2021   21   0.02561   0.13874   0.14433         .         .
2021   22   0.02649   0.11487   0.11957   0.00000         .
2021   23   0.05378   0.13623   0.04795   0.00000         .
2021   24   0.06003   0.14311   0.08494   0.22253         .
2021   25   0.08979   0.16017   0.11409   0.15390         .
2021   26   0.08242   0.19563   0.06917   0.10845         .
2021   27   0.09755   0.17557   0.11047   0.07395   0.55209
2021   28   0.11998   0.19686   0.11065   0.06753   0.00000
2021   29   0.11872   0.21245   0.08725   0.05899   0.12056
2021   30   0.11909   0.15599   0.07937   0.04736   0.17950
2021   31   0.11445   0.17689   0.09943   0.06033   0.18089
2021   32   0.10901   0.19401   0.08477   0.06528   0.17913
2021   33   0.10897   0.16772   0.09085   0.07199   0.14629
2021   34   0.09214   0.14902   0.07046   0.04908   0.08051
2021   35   0.09449   0.11532   0.07960   0.02685   0.04595
2021   36   0.13438   0.14873   0.08546   0.03221   0.05380
2021   37   0.09001   0.08429   0.04248   0.05061   0.06354
2021   38   0.07567   0.08514   0.05077   0.02737   0.04823
2021   39   0.07310   0.05110   0.02787   0.01719   0.04375
2021   40   0.02368   0.04514   0.02675   0.02380   0.02128
2021   41   0.04553   0.04618   0.01253   0.01183   0.01386
2021   42   0.01846   0.02844   0.00606   0.00914   0.00427
2021   43   0.02254   0.01174   0.00528   0.00578   0.01709
2021   44   0.01850   0.01155   0.00393   0.00143   0.00440
2021   45   0.00000   0.00939   0.00259   0.00137   0.00000
2021   46         .         .         .         .         .
2021   47         .         .         .         .         .
2021   48         .         .         .         .         .
2021   49         .         .         .         .         .
2021   50         .         .         .         .         .
2021   51         .         .         .         .         .
2021   52         .         .         .         .         .
2021   53         .         .         .         .         .
2021   54         .         .         .         .         .
2021   55+        .         .         .         .         .
