Iceland, Period fertility tables, birth orders 1 to 5+
Last modified: 06/09/2023
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
2020    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2020    13   1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2020    14   1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2020    15   0.99977   0.00000   0.00000   10000      0   10000      0   0.00023         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2020    16   0.99954   0.00136   0.00136   10000     14    9993      0   0.00046         .         .      0      0       7      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2020    17   0.99765   0.00188   0.00188    9986     19    9977     14   0.00235   0.00000   0.00000     14      0      23      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2020    18   0.99316   0.00513   0.00511    9968     51    9942     32   0.00684   0.00000   0.00000     32      0      58      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2020    19   0.98602   0.01441   0.01431    9917    142    9846     83   0.01333   0.06661   0.06446     83     10     152      0   0.00065         .         .      0      0       3      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
2020    20   0.96657   0.01835   0.01818    9775    178    9686    225   0.03086   0.04104   0.04022    215     12     300     10   0.00257   0.16423   0.15177     10      2      14      0   0.00000         .         .      0      0       1      0   0.00000         .         .      0      0       0      0
2020    21   0.93596   0.02271   0.02246    9597    216    9489    403   0.05636   0.08135   0.07817    381     39     473     22   0.00746   0.05584   0.05433     20      2      34      2   0.00022         .         .      2      0       3      0   0.00000         .         .      0      0       0      0
2020    22   0.89930   0.03684   0.03618    9382    339    9212    618   0.08444   0.16469   0.15216    558    113     685     61   0.01564   0.13080   0.12277     57     13      96      4   0.00062         .         .      4      0       8      0   0.00000         .         .      0      0       0      0
2020    23   0.86074   0.04607   0.04503    9042    407    8839    958   0.11159   0.10004   0.09528    784     95     950    174   0.02585   0.02979   0.02935    157      6     192     17   0.00163         .         .     17      0      19      0   0.00019         .         .      0      0       0      0
2020    24   0.80556   0.06479   0.06276    8635    542    8364   1365   0.14881   0.12708   0.11949   1096    165    1302    269   0.04163   0.07268   0.07013    246     22     303     22   0.00362   0.10437   0.09920     22      3      30      0   0.00038         .         .      0      0       1      0
2020    25   0.74713   0.08065   0.07752    8093    627    7779   1907   0.19202   0.10650   0.10111   1473    182    1712    434   0.05458   0.04683   0.04576    390     21     455     44   0.00590   0.00000   0.00000     41      0      50      3   0.00037         .         .      3      0       3      0
2020    26   0.67914   0.10093   0.09608    7466    717    7107   2534   0.22757   0.12996   0.12203   1918    281    2159    616   0.08168   0.05112   0.04984    551     33     654     66   0.01000   0.10438   0.09920     63      8      73      3   0.00161         .         .      3      0       6      0
2020    27   0.60003   0.12303   0.11590    6748    782    6357   3252   0.25733   0.14013   0.13095   2354    363    2591    897   0.12171   0.07267   0.07012    798     67     924     99   0.01841   0.01848   0.01831     88      2     116     11   0.00251   0.13529   0.12672     11      2      12      0
2020    28   0.51592   0.11451   0.10831    5966    646    5643   4034   0.29154   0.14983   0.13939   2773    435    2903   1260   0.16042   0.05803   0.05640   1094     73    1256    166   0.02839   0.07568   0.07292    153     14     179     13   0.00374   0.00000   0.00000     13      0      19      2
2020    29   0.43662   0.12939   0.12153    5320    647    4997   4680   0.30909   0.15571   0.14446   2985    481    3092   1695   0.20664   0.07426   0.07160   1456    120    1619    239   0.04241   0.02467   0.02437    213      6     262     26   0.00523   0.19997   0.18180     26      6      29      2
2020    30   0.38419   0.15743   0.14594    4674    682    4333   5326   0.29981   0.17958   0.16478   3150    580    3231   2177   0.24601   0.07390   0.07127   1817    149    2012    360   0.06219   0.04497   0.04398    327     17     384     33   0.00780   0.13443   0.12597     33      5      40      7
2020    31   0.32029   0.16688   0.15403    3991    615    3684   6009   0.30030   0.15203   0.14129   3252    506    3329   2757   0.28104   0.07924   0.07622   2249    190    2393    508   0.08547   0.03908   0.03833    458     21     535     50   0.01289   0.02879   0.02839     50      2      59     13
