Iceland, Standard deviation in period mean ages at birth and standard deviation in period mean ages at birth by age 40
Last modified: 06/09/2023
Year      sdMAB    sdMAB40
1960       6.64       5.89
1961       6.59       5.86
1962       6.61       5.85
1963       6.53       5.84
1964       6.64       5.94
1965       6.76       6.00
1966       6.71       5.98
1967       6.64       5.95
1968       6.70       5.98
1969       6.60       5.99
1970       6.51       5.87
1971       6.31       5.76
1972       6.29       5.80
1973       6.24       5.64
1974       6.08       5.61
1975       6.15       5.68
1976       6.09       5.59
1977       6.13       5.65
1978       5.94       5.54
1979       5.83       5.51
1980       5.89       5.61
1981       5.87       5.57
1982       5.83       5.43
1983       5.77       5.41
1984       5.68       5.42
1985       5.66       5.39
1986       5.56       5.25
1987       5.65       5.33
1988       5.57       5.30
1989       5.62       5.31
1990       5.60       5.38
1991       5.71       5.40
1992       5.64       5.33
1993       5.62       5.26
1994       5.63       5.33
1995       5.62       5.33
1996       5.61       5.33
1997       5.68       5.36
1998       5.71       5.36
1999       5.68       5.41
2000       5.61       5.27
2001       5.66       5.32
2002       5.64       5.30
2003       5.47       5.09
2004       5.45       5.09
2005       5.54       5.19
2006       5.52       5.19
2007       5.51       5.15
2008       5.59       5.18
2009       5.54       5.12
2010       5.51       5.15
2011       5.51       5.05
2012       5.49       5.06
2013       5.54       5.03
2014       5.48       5.03
2015       5.46       5.00
2016       5.45       4.92
2017       5.42       4.91
2018       5.40       4.91
2019       5.45       4.87
2020       5.26       4.71
2021       5.20       4.69
