Iceland, Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 06/09/2023
Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
1990     2.309     0.824     0.704     0.517     0.202     0.062     2.274     0.821     0.696     0.507     0.195     0.054
1991     2.187     0.778     0.662     0.490     0.194     0.063     2.137     0.776     0.656     0.477     0.181     0.047
1992     2.211     0.804     0.678     0.483     0.180     0.066     2.161     0.800     0.673     0.472     0.163     0.052
1993     2.222     0.778     0.726     0.472     0.181     0.065     2.163     0.775     0.718     0.457     0.164     0.049
1994     2.142     0.772     0.675     0.484     0.155     0.055     2.092     0.767     0.666     0.467     0.146     0.045
1995     2.078     0.776     0.644     0.469     0.139     0.050     2.034     0.769     0.635     0.455     0.133     0.042
1996     2.119     0.756     0.729     0.433     0.152     0.049     2.075     0.754     0.717     0.421     0.143     0.040
1997     2.036     0.798     0.652     0.403     0.145     0.039     1.988     0.789     0.644     0.387     0.136     0.031
1998     2.046     0.782     0.691     0.387     0.139     0.046     1.992     0.776     0.677     0.378     0.125     0.037
1999     1.993     0.773     0.669     0.387     0.124     0.040     1.952     0.770     0.658     0.376     0.113     0.034
2000     2.078     0.847     0.671     0.403     0.126     0.031     2.025     0.843     0.657     0.387     0.115     0.023
2001     1.952     0.794     0.633     0.375     0.115     0.034     1.901     0.790     0.624     0.360     0.102     0.026
2002     1.934     0.746     0.692     0.350     0.116     0.031     1.881     0.738     0.681     0.332     0.104     0.025
2003     1.990     0.792     0.692     0.372     0.103     0.031     1.930     0.785     0.678     0.357     0.089     0.022
2004     2.039     0.775     0.738     0.397     0.106     0.024     1.981     0.768     0.725     0.377     0.093     0.019
2005     2.048     0.792     0.736     0.387     0.100     0.033     1.991     0.786     0.720     0.369     0.090     0.025
2006     2.079     0.834     0.722     0.396     0.095     0.032     2.022     0.827     0.707     0.381     0.085     0.023
2007     2.088     0.831     0.728     0.394     0.108     0.026     2.032     0.822     0.713     0.378     0.097     0.022
2008     2.154     0.848     0.751     0.413     0.112     0.029     2.080     0.840     0.728     0.391     0.100     0.021
2009     2.228     0.874     0.753     0.451     0.124     0.027     2.148     0.860     0.732     0.426     0.111     0.020
2010     2.198     0.843     0.730     0.478     0.123     0.024     2.124     0.832     0.711     0.450     0.110     0.020
2011     2.018     0.757     0.702     0.432     0.102     0.025     1.938     0.741     0.684     0.406     0.090     0.017
2012     2.037     0.795     0.696     0.409     0.106     0.032     1.959     0.784     0.677     0.380     0.093     0.025
2013     1.933     0.743     0.662     0.389     0.107     0.032     1.850     0.727     0.642     0.363     0.093     0.025
2014     1.932     0.759     0.700     0.357     0.089     0.028     1.860     0.743     0.684     0.334     0.078     0.021
2015     1.805     0.700     0.640     0.345     0.088     0.031     1.734     0.689     0.619     0.326     0.077     0.024
2016     1.745     0.661     0.613     0.349     0.092     0.030     1.662     0.646     0.590     0.325     0.078     0.023
2017     1.710     0.693     0.593     0.331     0.072     0.020     1.635     0.679     0.571     0.306     0.063     0.016
2018     1.707     0.750     0.567     0.303     0.067     0.020     1.634     0.730     0.548     0.284     0.054     0.018
2019     1.744     0.784     0.583     0.285     0.071     0.022     1.654     0.760     0.556     0.263     0.060     0.015
2020     1.718     0.799     0.576     0.261     0.063     0.018     1.638     0.778     0.550     0.243     0.055     0.013
2021     1.819     0.721     0.652     0.319     0.092     0.035     1.737     0.708     0.626     0.299     0.076     0.029
