Iceland, Completed cohort fertility and completed cohort fertility by age 40
Last modified: 06/09/2023
Cohort     CCF     CCF40
1945     2.775     2.741
1946     2.794     2.758
1947     2.784     2.741
1948     2.764     2.717
1949     2.720     2.675
1950     2.696     2.645
1951     2.665     2.621
1952     2.603     2.553
1953     2.547     2.495
1954     2.568     2.509
1955     2.522     2.477
1956     2.508     2.459
1957     2.516     2.473
1958     2.509     2.465
1959     2.503     2.452
1960     2.523     2.458
1961     2.480     2.432
1962     2.413     2.347
1963     2.430     2.372
1964     2.384     2.326
1965     2.340     2.276
1966     2.331     2.259
1967     2.308     2.240
1968     2.274     2.189
1969     2.251     2.162
1970     2.285     2.214
1971     2.302     2.228
1972         .     2.186
1973         .     2.160
1974         .     2.169
1975         .     2.148
1976         .     2.142
1977         .     2.089
1978         .     2.163
1979         .     2.127
1980         .     2.066
1981         .     2.026
