Iceland, Total live births
Last modified: 06/09/2023
Year         Total
1960       4916.01
1961       4562.99
1962       4711.01
1963       4820.00
1964       4787.00
1965       4721.00
1966       4692.00
1967       4403.99
1968       4226.99
1969       4218.00
1970       4023.00
1971       4277.00
1972       4675.99
1973       4598.01
1974       4276.00
1975       4384.00
1976       4291.00
1977       3996.00
1978       4162.00
1979       4475.00
1980       4528.01
1981       4345.00
1982       4337.01
1983       4370.99
1984       4113.01
1985       3855.99
1986       3881.00
1987       4193.01
1988       4673.00
1989       4560.00
1990       4768.00
1991       4533.00
1992       4609.00
1993       4623.00
1994       4442.00
1995       4280.00
1996       4329.00
1997       4151.00
1998       4178.00
1999       4100.00
2000       4315.00
2001       4091.00
2002       4049.00
2003       4143.00
2004       4234.00
2005       4280.00
2006       4415.54
2007       4560.46
2008       4835.00
2009       5025.00
2010       4907.00
2011       4492.00
2012       4533.00
2013       4326.00
2014       4375.00
2015       4129.00
2016       4034.00
2017       4071.00
2018       4228.00
2019       4452.00
2020       4512.00
2021       4879.00
