Iceland, Total live births by birth order
Last modified: 06/09/2023
Year         Total            B1            B2            B3            B4           B5p
1990       4768.00       1721.00       1473.00       1055.00        401.00        118.00
1991       4533.00       1626.00       1392.00       1007.00        388.00        120.00
1992       4609.00       1681.00       1430.00       1005.00        364.00        129.00
1993       4623.00       1616.00       1520.00        988.00        371.00        128.00
1994       4442.00       1594.00       1403.00       1011.00        322.00        112.00
1995       4280.00       1583.00       1329.00        976.00        289.00        103.00
1996       4329.00       1536.00       1484.00        894.00        315.00        100.00
1997       4151.00       1622.00       1322.00        827.00        299.00         81.00
1998       4178.00       1600.00       1401.00        795.00        287.00         95.00
1999       4100.00       1599.00       1364.00        796.00        258.00         83.00
2000       4315.00       1773.00       1382.00        832.00        263.00         65.00
2001       4091.00       1681.00       1317.00        780.00        242.00         71.00
2002       4049.00       1579.00       1441.00        724.00        241.00         64.00
2003       4143.00       1664.00       1435.00        765.00        213.00         66.00
2004       4234.00       1621.00       1530.00        816.00        217.00         50.00
2005       4280.00       1665.00       1542.00        799.00        206.00         68.00
2006       4415.54       1782.54       1536.00        832.00        198.00         67.00
2007       4560.46       1836.46       1594.00        846.00        229.00         55.00
2008       4835.00       1936.00       1687.00        907.00        242.00         63.00
2009       5025.00       2004.00       1702.00        993.00        268.00         58.00
2010       4907.00       1911.00       1634.00       1046.00        265.00         51.00
2011       4492.00       1711.00       1567.00        942.00        219.00         53.00
2012       4533.00       1796.00       1548.00        892.00        229.00         68.00
2013       4326.00       1689.00       1480.00        855.00        233.00         69.00
2014       4375.00       1744.00       1581.00        795.00        194.00         61.00
2015       4129.00       1627.00       1463.00        774.00        197.00         68.00
2016       4034.00       1557.00       1417.00        788.00        205.00         67.00
2017       4071.00       1681.00       1408.00        770.00        166.00         46.00
2018       4228.00       1889.00       1405.00        729.00        157.00         48.00
2019       4452.00       2035.00       1489.00        703.00        173.00         52.00
2020       4512.00       2127.00       1517.00        666.00        158.00         44.00
2021       4879.00       1950.00       1767.00        839.00        234.00         89.00
