Russian Federation, Tempo-adjusted total fertility rates, Bongaarts-Feeney method
Last modified: 22/10/2020
Year    adjTFR
1960     2.290
1961     2.290
1962     2.320
1963     2.244
1964     2.244
1965     2.100
1966     2.056
1967     1.964
1968     1.934
1969     1.922
1970     1.909
1971     1.948
1972     1.937
1973     1.827
1974     1.839
1975     1.794
1976     1.789
1977     1.798
1978     1.761
1979     1.731
1980     1.797
1981     1.854
1982     1.923
1983     2.014
1984     1.953
1985     2.088
1986     2.271
1987     2.173
1988     1.959
1989     1.787
1990     1.714
1991     1.645
1992     1.499
1993     1.358
1994     1.522
1995     1.627
1996     1.525
1997     1.445
1998     1.500
1999     1.439
2000     1.509
2001     1.472
2002     1.483
2003     1.534
2004     1.552
2005     1.472
2006     1.466
2007     1.611
2008     1.779
2009     1.880
2010     1.696
2011     1.580
2012     1.798
2013     1.848
2014     1.899
2015     2.007
2016     1.929
2017     1.698
