Russian Federation, Tempo-adjusted total fertility rates by birth order, Bongaarts-Feeney method
Last modified: 22/10/2020
Year    adjTFR   adjTFR1   adjTFR2   adjTFR3   adjTFR4  adjTFR5p
1960     2.290     0.879     0.706     0.321     0.160     0.224
1961     2.290     0.925     0.683     0.319     0.153     0.210
1962     2.320     0.956     0.678     0.320     0.155     0.210
1963     2.244     0.959     0.658     0.293     0.144     0.190
1964     2.244     0.996     0.669     0.267     0.136     0.176
1965     2.100     0.911     0.642     0.257     0.124     0.166
1966     2.056     0.930     0.607     0.250     0.109     0.160
1967     1.964     0.916     0.574     0.219     0.106     0.150
1968     1.934     0.848     0.617     0.213     0.106     0.150
1969     1.922     0.833     0.668     0.198     0.092     0.131
1970     1.909     0.882     0.629     0.195     0.082     0.121
1971     1.948     0.909     0.620     0.209     0.088     0.122
1972     1.937     0.935     0.611     0.191     0.085     0.115
1973     1.827     0.916     0.565     0.173     0.067     0.106
1974     1.839     0.936     0.574     0.164     0.066     0.100
1975     1.794     0.918     0.580     0.148     0.061     0.088
1976     1.789     0.923     0.592     0.140     0.053     0.081
1977     1.798     0.908     0.622     0.143     0.051     0.075
1978     1.761     0.897     0.612     0.139     0.046     0.067
1979     1.731     0.911     0.584     0.133     0.043     0.060
1980     1.797     0.956     0.609     0.137     0.042     0.053
1981     1.854     0.950     0.653     0.155     0.047     0.050
1982     1.923     0.921     0.717     0.186     0.051     0.049
1983     2.014     0.920     0.786     0.207     0.053     0.048
1984     1.953     0.945     0.710     0.197     0.054     0.047
1985     2.088     0.982     0.761     0.229     0.064     0.051
1986     2.271     0.983     0.864     0.287     0.079     0.059
1987     2.173     0.979     0.809     0.260     0.071     0.055
1988     1.959     0.946     0.694     0.209     0.058     0.052
1989     1.787     0.893     0.619     0.175     0.053     0.048
1990     1.714     0.913     0.555     0.156     0.049     0.042
1991     1.645     0.932     0.487     0.140     0.043     0.042
1992     1.499     0.873     0.436     0.118     0.039     0.033
1993     1.358     0.790     0.417     0.099     0.030     0.021
1994     1.522     0.891     0.469     0.110     0.031     0.022
1995     1.627     0.974     0.475     0.123     0.033     0.023
1996     1.525     0.888     0.462     0.120     0.035     0.021
1997     1.445     0.808     0.467     0.115     0.034     0.021
1998     1.500     0.855     0.466     0.120     0.035     0.023
1999     1.439     0.857     0.417     0.113     0.032     0.021
2000     1.509     0.863     0.480     0.119     0.030     0.018
2001     1.472     0.808     0.503     0.111     0.031     0.019
2002     1.483     0.823     0.494     0.115     0.030     0.021
2003     1.534     0.856     0.506     0.120     0.032     0.020
2004     1.552     0.884     0.498     0.117     0.033     0.020
2005     1.472     0.846     0.468     0.110     0.030     0.018
2006     1.466     0.851     0.461     0.109     0.029     0.016
2007     1.611     0.862     0.546     0.144     0.038     0.022
2008     1.779     0.945     0.607     0.165     0.040     0.021
2009     1.880     1.043     0.611     0.167     0.039     0.020
2010     1.696     0.889     0.576     0.167     0.041     0.021
2011     1.580     0.804     0.553     0.163     0.040     0.021
2012     1.798     0.917     0.622     0.191     0.046     0.024
2013     1.848     0.951     0.628     0.198     0.047     0.024
2014     1.899     0.950     0.665     0.209     0.050     0.025
2015     2.007     0.969     0.741     0.216     0.054     0.027
2016     1.929     0.907     0.718     0.218     0.057     0.029
2017     1.698     0.818     0.604     0.204     0.048     0.025
