Russian Federation, Period fertility rates by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 22/10/2020
Year    Age        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1959     12-    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     13     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     14     0.00006     0.00006     0.00000     0.00000     0.00000     0.00000
1959     15     0.00060     0.00060     0.00000     0.00000     0.00000     0.00000
1959     16     0.00247     0.00247     0.00000     0.00000     0.00000     0.00000
1959     17     0.00963     0.00962     0.00000     0.00000     0.00000     0.00000
1959     18     0.03311     0.03279     0.00030     0.00002     0.00000     0.00000
1959     19     0.06654     0.06046     0.00579     0.00029     0.00000     0.00000
1959     20     0.12268     0.10594     0.01555     0.00118     0.00001     0.00000
1959     21     0.14082     0.11281     0.02529     0.00267     0.00005     0.00000
1959     22     0.17630     0.12845     0.04132     0.00615     0.00038     0.00001
1959     23     0.18434     0.11829     0.05326     0.01078     0.00178     0.00022
1959     24     0.19067     0.10184     0.06584     0.01680     0.00446     0.00173
1959     25     0.17718     0.08097     0.06828     0.02046     0.00552     0.00195
1959     26     0.16039     0.06044     0.06443     0.02461     0.00791     0.00300
1959     27     0.15621     0.04918     0.06279     0.02921     0.01072     0.00432
1959     28     0.14536     0.03880     0.05732     0.03086     0.01274     0.00565
1959     29     0.13005     0.02961     0.04957     0.02957     0.01391     0.00739
1959     30     0.13094     0.02439     0.04634     0.03110     0.01714     0.01197
1959     31     0.10542     0.01720     0.03465     0.02502     0.01522     0.01334
1959     32     0.10091     0.01479     0.03048     0.02354     0.01546     0.01663
1959     33     0.08436     0.01125     0.02310     0.01921     0.01350     0.01729
1959     34     0.07770     0.00945     0.01895     0.01714     0.01291     0.01925
1959     35     0.07294     0.00823     0.01584     0.01533     0.01225     0.02130
1959     36     0.05980     0.00628     0.01166     0.01185     0.00993     0.02006
1959     37     0.05357     0.00513     0.00914     0.00978     0.00870     0.02082
1959     38     0.04768     0.00404     0.00690     0.00778     0.00744     0.02152
1959     39     0.03699     0.00270     0.00441     0.00523     0.00542     0.01924
1959     40     0.03476     0.00229     0.00361     0.00441     0.00481     0.01963
1959     41     0.02546     0.00150     0.00226     0.00285     0.00329     0.01555
1959     42     0.01893     0.00097     0.00140     0.00185     0.00228     0.01243
