Russian Federation, Period fertility rates by calendar year, age and birth cohort (Lexis triangles)
Last modified: 22/10/2020
Year   Age   Cohort      ASFR
1959   12-       .    0.00000
1959   13     1946    0.00000
1959   13     1945    0.00001
1959   14     1945    0.00004
1959   14     1944    0.00009
1959   15     1944    0.00042
1959   15     1943    0.00080
1959   16     1943    0.00187
1959   16     1942    0.00286
1959   17     1942    0.00721
1959   17     1941    0.01108
1959   18     1941    0.02731
1959   18     1940    0.03839
1959   19     1940    0.05942
1959   19     1939    0.07316
1959   20     1939    0.11413
1959   20     1938    0.13039
1959   21     1938    0.13735
1959   21     1937    0.14451
1959   22     1937    0.17245
1959   22     1936    0.18050
1959   23     1936    0.18339
1959   23     1935    0.18543
1959   24     1935    0.19129
1959   24     1934    0.18994
1959   25     1934    0.17985
1959   25     1933    0.17457
1959   26     1933    0.16226
1959   26     1932    0.15882
1959   27     1932    0.15748
1959   27     1931    0.15491
1959   28     1931    0.14782
1959   28     1930    0.14334
1959   29     1930    0.13111
1959   29     1929    0.12893
1959   30     1929    0.13352
1959   30     1928    0.12879
1959   31     1928    0.10743
1959   31     1927    0.10299
1959   32     1927    0.10291
1959   32     1926    0.09908
1959   33     1926    0.08605
1959   33     1925    0.08246
1959   34     1925    0.07860
1959   34     1924    0.07677
1959   35     1924    0.07451
1959   35     1923    0.07125
1959   36     1923    0.06117
1959   36     1922    0.05819
1959   37     1922    0.05446
1959   37     1921    0.05248
1959   38     1921    0.04922
1959   38     1920    0.04620
1959   39     1920    0.03783
1959   39     1919    0.03605
1959   40     1919    0.03607
1959   40     1918    0.03376
1959   41     1918    0.02642
1959   41     1917    0.02391
1959   42     1917    0.02018
1959   42     1916    0.01794
1959   43     1916    0.01362
1959   43     1915    0.01191
1959   44     1915    0.00900
1959   44     1914    0.00803
1959   45     1914    0.00678
1959   45     1913    0.00567
1959   46     1913    0.00336
1959   46     1912    0.00283
1959   47     1912    0.00226
1959   47     1911    0.00190
1959   48     1911    0.00120
1959   48     1910    0.00109
1959   49     1910    0.00118
1959   49     1909    0.00099
1959   50     1909    0.00051
1959   50     1908    0.00041
1959   51     1908    0.00028
1959   51     1907    0.00025
1959   52     1907    0.00020
1959   52     1906    0.00020
1959   53     1906    0.00020
1959   53     1905    0.00021
1959   54     1905    0.00023
1959   54     1904    0.00024
1959   55+       .    0.00071
1960   12-       .    0.00000
1960   13     1947    0.00000
1960   13     1946    0.00000
1960   14     1946    0.00003
1960   14     1945    0.00007
1960   15     1945    0.00037
1960   15     1944    0.00077
1960   16     1944    0.00234
1960   16     1943    0.00383
1960   17     1943    0.00850
1960   17     1942    0.01254
1960   18     1942    0.02757
1960   18     1941    0.03799
1960   19     1941    0.06277
1960   19     1940    0.07716
1960   20     1940    0.11296
1960   20     1939    0.12757
1960   21     1939    0.13902
1960   21     1938    0.14567
1960   22     1938    0.16296
1960   22     1937    0.16935
1960   23     1937    0.17971
1960   23     1936    0.18258
1960   24     1936    0.18351
1960   24     1935    0.18359
1960   25     1935    0.18439
1960   25     1934    0.18030
1960   26     1934    0.16403
1960   26     1933    0.15760
1960   27     1933    0.14501
1960   27     1932    0.14339
1960   28     1932    0.15167
1960   28     1931    0.14859
1960   29     1931    0.12911
1960   29     1930    0.12668
1960   30     1930    0.13594
1960   30     1929    0.13026
1960   31     1929    0.10186
1960   31     1928    0.09824
1960   32     1928    0.10698
1960   32     1927    0.10400
1960   33     1927    0.08751
1960   33     1926    0.08315
1960   34     1926    0.07837
1960   34     1925    0.07590
1960   35     1925    0.07139
1960   35     1924    0.06891
1960   36     1924    0.06405
1960   36     1923    0.06056
1960   37     1923    0.05128
1960   37     1922    0.04937
1960   38     1922    0.04999
1960   38     1921    0.04715
1960   39     1921    0.03733
1960   39     1920    0.03522
1960   40     1920    0.03497
1960   40     1919    0.03157
1960   41     1919    0.02132
1960   41     1918    0.01998
1960   42     1918    0.02169
1960   42     1917    0.01965
1960   43     1917    0.01346
1960   43     1916    0.01134
1960   44     1916    0.00796
1960   44     1915    0.00699
1960   45     1915    0.00588
1960   45     1914    0.00508
1960   46     1914    0.00349
1960   46     1913    0.00286
1960   47     1913    0.00180
1960   47     1912    0.00157
1960   48     1912    0.00144
1960   48     1911    0.00120
1960   49     1911    0.00065
1960   49     1910    0.00054
1960   50     1910    0.00043
1960   50     1909    0.00039
1960   51     1909    0.00031
1960   51     1908    0.00029
1960   52     1908    0.00026
1960   52     1907    0.00025
1960   53     1907    0.00025
