Russian Federation, Period fertility rates by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 22/10/2020
Year   Age   Cohort      ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1959   12-       .    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959   13     1946    0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959   13     1945    0.00001     0.00001     0.00000     0.00000     0.00000     0.00000
1959   14     1945    0.00004     0.00004     0.00000     0.00000     0.00000     0.00000
1959   14     1944    0.00009     0.00009     0.00000     0.00000     0.00000     0.00000
1959   15     1944    0.00042     0.00042     0.00000     0.00000     0.00000     0.00000
1959   15     1943    0.00080     0.00080     0.00000     0.00000     0.00000     0.00000
1959   16     1943    0.00187     0.00187     0.00000     0.00000     0.00000     0.00000
1959   16     1942    0.00286     0.00286     0.00000     0.00000     0.00000     0.00000
1959   17     1942    0.00721     0.00721     0.00000     0.00000     0.00000     0.00000
1959   17     1941    0.01108     0.01107     0.00000     0.00000     0.00000     0.00000
1959   18     1941    0.02731     0.02718     0.00012     0.00001     0.00000     0.00000
1959   18     1940    0.03839     0.03790     0.00046     0.00003     0.00000     0.00000
1959   19     1940    0.05942     0.05531     0.00392     0.00019     0.00000     0.00000
1959   19     1939    0.07316     0.06524     0.00754     0.00038     0.00000     0.00000
1959   20     1939    0.11413     0.09930     0.01386     0.00096     0.00000     0.00000
1959   20     1938    0.13039     0.11194     0.01707     0.00137     0.00001     0.00000
1959   21     1938    0.13735     0.11147     0.02350     0.00234     0.00004     0.00000
1959   21     1937    0.14451     0.11423     0.02720     0.00302     0.00007     0.00000
1959   22     1937    0.17245     0.12794     0.03879     0.00544     0.00027     0.00000
1959   22     1936    0.18050     0.12901     0.04407     0.00691     0.00049     0.00001
1959   23     1936    0.18339     0.12050     0.05139     0.00995     0.00143     0.00012
1959   23     1935    0.18543     0.11574     0.05542     0.01175     0.00219     0.00033
1959   24     1935    0.19129     0.10511     0.06471     0.01598     0.00407     0.00142
1959   24     1934    0.18994     0.09803     0.06716     0.01775     0.00492     0.00208
1959   25     1934    0.17985     0.08447     0.06835     0.01981     0.00530     0.00191
1959   25     1933    0.17457     0.07754     0.06821     0.02110     0.00573     0.00198
1959   26     1933    0.16226     0.06319     0.06500     0.02385     0.00744     0.00279
1959   26     1932    0.15882     0.05813     0.06396     0.02526     0.00830     0.00317
1959   27     1932    0.15748     0.05100     0.06342     0.02867     0.01030     0.00409
