Russian Federation, Period fertility rates by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 22/10/2020
Year    ARDY   Cohort        ASFR
1959     12-    1947+     0.00000
1959     13     1946      0.00000
1959     14     1945      0.00002
1959     15     1944      0.00025
1959     16     1943      0.00133
1959     17     1942      0.00504
1959     18     1941      0.01919
1959     19     1940      0.04887
1959     20     1939      0.09368
1959     21     1938      0.13386
1959     22     1937      0.15848
1959     23     1936      0.18194
1959     24     1935      0.18836
1959     25     1934      0.18490
1959     26     1933      0.16844
1959     27     1932      0.15815
1959     28     1931      0.15137
1959     29     1930      0.13724
1959     30     1929      0.13123
1959     31     1928      0.11816
1959     32     1927      0.10295
1959     33     1926      0.09258
1959     34     1925      0.08053
1959     35     1924      0.07564
1959     36     1923      0.06622
1959     37     1922      0.05633
1959     38     1921      0.05085
1959     39     1920      0.04204
1959     40     1919      0.03606
1959     41     1918      0.03011
1959     42     1917      0.02204
1959     43     1916      0.01579
1959     44     1915      0.01046
1959     45     1914      0.00741
1959     46     1913      0.00452
1959     47     1912      0.00254
1959     48     1911      0.00155
1959     49     1910      0.00113
1959     50     1909      0.00075
1959     51     1908      0.00035
1959     52     1907      0.00023
1959     53     1906      0.00020
1959     54     1905      0.00022
1959     55+    1904-     0.00085
1960     12-    1948+     0.00000
1960     13     1947      0.00000
1960     14     1946      0.00002
1960     15     1945      0.00022
1960     16     1944      0.00155
1960     17     1943      0.00617
1960     18     1942      0.02005
1960     19     1941      0.05038
1960     20     1940      0.09500
1960     21     1939      0.13331
1960     22     1938      0.15429
1960     23     1937      0.17453
1960     24     1936      0.18305
1960     25     1935      0.18399
1960     26     1934      0.17218
1960     27     1933      0.15133
1960     28     1932      0.14752
1960     29     1931      0.13887
1960     30     1930      0.13130
1960     31     1929      0.11604
1960     32     1928      0.10259
1960     33     1927      0.09574
1960     34     1926      0.08077
1960     35     1925      0.07364
1960     36     1924      0.06648
1960     37     1923      0.05593
1960     38     1922      0.04968
1960     39     1921      0.04224
1960     40     1920      0.03510
1960     41     1919      0.02644
1960     42     1918      0.02083
1960     43     1917      0.01655
