Russian Federation, Period fertility rates by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 22/10/2020
Year    ARDY   Cohort        ASFR       ASFR1       ASFR2       ASFR3       ASFR4      ASFR5p
1959     12-    1947+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     13     1946      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1959     14     1945      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1959     15     1944      0.00025     0.00025     0.00000     0.00000     0.00000     0.00000
1959     16     1943      0.00133     0.00133     0.00000     0.00000     0.00000     0.00000
1959     17     1942      0.00504     0.00504     0.00000     0.00000     0.00000     0.00000
1959     18     1941      0.01919     0.01912     0.00006     0.00000     0.00000     0.00000
1959     19     1940      0.04887     0.04658     0.00218     0.00011     0.00000     0.00000
1959     20     1939      0.09368     0.08230     0.01071     0.00067     0.00000     0.00000
1959     21     1938      0.13386     0.11170     0.02028     0.00186     0.00002     0.00000
1959     22     1937      0.15848     0.12109     0.03300     0.00423     0.00017     0.00000
1959     23     1936      0.18194     0.12477     0.04772     0.00843     0.00096     0.00007
1959     24     1935      0.18836     0.11044     0.06006     0.01386     0.00313     0.00088
1959     25     1934      0.18490     0.09126     0.06776     0.01878     0.00511     0.00200
1959     26     1933      0.16844     0.07039     0.06661     0.02247     0.00658     0.00238
1959     27     1932      0.15815     0.05457     0.06369     0.02696     0.00930     0.00363
1959     28     1931      0.15137     0.04397     0.06035     0.03030     0.01179     0.00496
1959     29     1930      0.13724     0.03401     0.05334     0.03021     0.01328     0.00641
1959     30     1929      0.13123     0.02706     0.04834     0.03061     0.01563     0.00958
1959     31     1928      0.11816     0.02059     0.04037     0.02811     0.01631     0.01278
1959     32     1927      0.10295     0.01590     0.03248     0.02425     0.01535     0.01498
1959     33     1926      0.09258     0.01296     0.02671     0.02136     0.01450     0.01704
1959     34     1925      0.08053     0.01025     0.02085     0.01807     0.01315     0.01821
1959     35     1924      0.07564     0.00885     0.01741     0.01631     0.01266     0.02041
1959     36     1923      0.06622     0.00722     0.01365     0.01354     0.01107     0.02074
1959     37     1922      0.05633     0.00566     0.01030     0.01074     0.00926     0.02036
1959     38     1921      0.05085     0.00460     0.00802     0.00881     0.00811     0.02131
1959     39     1920      0.04204     0.00332     0.00555     0.00641     0.00637     0.02038
1959     40     1919      0.03606     0.00250     0.00401     0.00483     0.00514     0.01958
1959     41     1918      0.03011     0.00188     0.00291     0.00361     0.00404     0.01766
1959     42     1917      0.02204     0.00121     0.00180     0.00232     0.00275     0.01397
1959     43     1916      0.01579     0.00076     0.00108     0.00145     0.00184     0.01066
1959     44     1915      0.01046     0.00043     0.00059     0.00084     0.00113     0.00746
1959     45     1914      0.00741     0.00027     0.00035     0.00052     0.00075     0.00552
1959     46     1913      0.00452     0.00015     0.00019     0.00029     0.00044     0.00344
1959     47     1912      0.00254     0.00008     0.00011     0.00016     0.00025     0.00194
1959     48     1911      0.00155     0.00005     0.00007     0.00010     0.00016     0.00117
1959     49     1910      0.00113     0.00004     0.00006     0.00008     0.00012     0.00084
1959     50     1909      0.00075     0.00003     0.00004     0.00006     0.00008     0.00055
1959     51     1908      0.00035     0.00001     0.00002     0.00003     0.00004     0.00025
1959     52     1907      0.00023     0.00001     0.00001     0.00002     0.00002     0.00016
1959     53     1906      0.00020     0.00001     0.00001     0.00002     0.00002     0.00014
1959     54     1905      0.00022     0.00001     0.00001     0.00002     0.00003     0.00015
1959     55+    1904-     0.00085     0.00003     0.00007     0.00008     0.00013     0.00054
1960     12-    1948+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1960     13     1947      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1960     14     1946      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1960     15     1945      0.00022     0.00022     0.00000     0.00000     0.00000     0.00000
1960     16     1944      0.00155     0.00155     0.00000     0.00000     0.00000     0.00000
1960     17     1943      0.00617     0.00616     0.00000     0.00000     0.00000     0.00000
1960     18     1942      0.02005     0.01999     0.00006     0.00000     0.00000     0.00000
1960     19     1941      0.05038     0.04803     0.00220     0.00014     0.00000     0.00000
1960     20     1940      0.09500     0.08345     0.01071     0.00082     0.00001     0.00000
1960     21     1939      0.13331     0.11083     0.02030     0.00211     0.00007     0.00000
1960     22     1938      0.15429     0.11730     0.03226     0.00442     0.00031     0.00000
1960     23     1937      0.17453     0.11893     0.04611     0.00830     0.00113     0.00006
1960     24     1936      0.18305     0.10769     0.05848     0.01330     0.00278     0.00080
1960     25     1935      0.18399     0.08973     0.06841     0.01909     0.00475     0.00200
1960     26     1934      0.17218     0.06933     0.06937     0.02406     0.00684     0.00258
1960     27     1933      0.15133     0.05046     0.06174     0.02659     0.00895     0.00359
1960     28     1932      0.14752     0.04094     0.05946     0.03037     0.01178     0.00497
1960     29     1931      0.13887     0.03258     0.05463     0.03132     0.01374     0.00660
1960     30     1930      0.13130     0.02576     0.04937     0.03105     0.01556     0.00956
1960     31     1929      0.11604     0.01948     0.04092     0.02782     0.01562     0.01221
1960     32     1928      0.10259     0.01527     0.03353     0.02437     0.01490     0.01452
1960     33     1927      0.09574     0.01302     0.02870     0.02232     0.01461     0.01708
1960     34     1926      0.08077     0.01016     0.02181     0.01836     0.01285     0.01759
1960     35     1925      0.07364     0.00863     0.01764     0.01612     0.01204     0.01923
1960     36     1924      0.06648     0.00733     0.01422     0.01383     0.01087     0.02023
1960     37     1923      0.05593     0.00579     0.01068     0.01088     0.00901     0.01956
1960     38     1922      0.04968     0.00471     0.00823     0.00873     0.00777     0.02025
1960     39     1921      0.04224     0.00357     0.00593     0.00653     0.00629     0.01992
1960     40     1920      0.03510     0.00265     0.00419     0.00473     0.00493     0.01859
1960     41     1919      0.02644     0.00182     0.00275     0.00318     0.00352     0.01516
1960     42     1918      0.02083     0.00127     0.00182     0.00220     0.00255     0.01300
1960     43     1917      0.01655     0.00090     0.00122     0.00155     0.00186     0.01102
1960     44     1916      0.00965     0.00047     0.00060     0.00081     0.00099     0.00679
1960     45     1915      0.00644     0.00028     0.00034     0.00049     0.00060     0.00473
1960     46     1914      0.00428     0.00017     0.00021     0.00030     0.00038     0.00322
1960     47     1913      0.00233     0.00009     0.00011     0.00016     0.00021     0.00177
1960     48     1912      0.00151     0.00005     0.00007     0.00011     0.00014     0.00114
1960     49     1911      0.00093     0.00003     0.00004     0.00007     0.00009     0.00070
1960     50     1910      0.00049     0.00002     0.00002     0.00004     0.00005     0.00036
1960     51     1909      0.00035     0.00001     0.00001     0.00003     0.00004     0.00026
1960     52     1908      0.00027     0.00001     0.00001     0.00002     0.00003     0.00020
1960     53     1907      0.00025     0.00001     0.00001     0.00002     0.00003     0.00019
1960     54     1906      0.00025     0.00001     0.00001     0.00002     0.00003     0.00018
1960     55+    1905-     0.00086     0.00003     0.00006     0.00009     0.00013     0.00056
1961     12-    1949+     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1961     13     1948      0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
1961     14     1947      0.00002     0.00002     0.00000     0.00000     0.00000     0.00000
1961     15     1946      0.00024     0.00024     0.00000     0.00000     0.00000     0.00000
1961     16     1945      0.00180     0.00180     0.00000     0.00000     0.00000     0.00000
1961     17     1944      0.00817     0.00817     0.00000     0.00000     0.00000     0.00000
1961     18     1943      0.02673     0.02665     0.00007     0.00001     0.00000     0.00000
1961     19     1942      0.05864     0.05600     0.00248     0.00016     0.00000     0.00000
1961     20     1941      0.10496     0.09194     0.01208     0.00093     0.00001     0.00000
1961     21     1940      0.14789     0.12264     0.02284     0.00237     0.00005     0.00000
1961     22     1939      0.16133     0.12257     0.03386     0.00466     0.00024     0.00000
1961     23     1938      0.17033     0.11651     0.04468     0.00810     0.00099     0.00005
1961     24     1937      0.17339     0.10302     0.05457     0.01248     0.00265     0.00066
1961     25     1936      0.17123     0.08414     0.06274     0.01782     0.00471     0.00183
1961     26     1935      0.16554     0.06652     0.06565     0.02343     0.00716     0.00279
1961     27     1934      0.15161     0.05093     0.06060     0.02642     0.00950     0.00416
