Russian Federation, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 22/10/2020
Year    Age        Total
1959     12-        0.23
1959     13         3.48
1959     14        31.14
1959     15       260.98
1959     16      1296.64
1959     17      8142.89
1959     18     36734.26
1959     19     79689.00
1959     20    160907.30
1959     21    187185.16
1959     22    217722.00
1959     23    202020.86
1959     24    179887.65
1959     25    155574.31
1959     26    154786.09
1959     27    161355.56
1959     28    163805.45
1959     29    155848.08
1959     30    168710.23
1959     31    134295.50
1959     32    122447.19
1959     33    100411.25
1959     34     85663.79
1959     35     76493.02
1959     36     55692.55
1959     37     41583.89
1959     38     34002.58
1959     39     25343.24
1959     40     26309.96
1959     41     17657.64
1959     42     11409.07
1959     43      9227.94
1959     44      7420.85
1959     45      5914.62
1959     46      2930.23
1959     47      1893.32
1959     48      1042.94
1959     49       952.68
1959     50       374.62
1959     51       211.81
1959     52       150.53
1959     53       148.84
1959     54       166.15
1959     55+      522.47
1960     12-        0.19
1960     13         3.22
1960     14        35.97
1960     15       280.28
1960     16      1322.78
1960     17      5741.09
1960     18     28790.62
1960     19     77658.50
1960     20    144132.46
1960     21    186566.80
1960     22    220035.26
1960     23    222887.27
1960     24    199997.07
1960     25    171444.97
1960     26    140251.29
1960     27    138275.13
1960     28    154587.47
1960     29    143250.60
1960     30    159272.33
1960     31    128192.90
1960     32    134095.33
1960     33    103215.31
1960     34     91468.58
1960     35     77262.67
1960     36     65240.36
1960     37     46741.41
1960     38     37708.39
1960     39     25685.08
1960     40     22745.89
1960     41     15498.63
1960     42     14430.38
1960     43      7364.51
1960     44      5370.31
1960     45      4761.02
1960     46      3011.34
1960     47      1590.35
1960     48      1204.53
1960     49       540.14
1960     50       355.92
1960     51       242.28
1960     52       203.96
1960     53       189.04
1960     54       186.27
1960     55+      515.08
1961     12-        0.20
1961     13         3.53
1961     14        49.75
1961     15       448.53
1961     16      1851.70
1961     17      6242.48
1961     18     22653.28
1961     19     65496.91
1961     20    149342.50
1961     21    184344.46
1961     22    218845.42
1961     23    227649.02
1961     24    213070.88
1961     25    182327.43
1961     26    151293.40
1961     27    122463.78
1961     28    123601.05
1961     29    120530.91
1961     30    140012.85
1961     31    121962.77
1961     32    113437.73
1961     33    100374.63
1961     34     84361.62
1961     35     74402.71
1961     36     61003.94
1961     37     48421.79
1961     38     35954.87
1961     39     24538.05
1961     40     21121.21
1961     41     13388.76
1961     42     11420.83
1961     43      8113.22
1961     44      3937.87
1961     45      3443.88
1961     46      2191.38
1961     47      1336.67
1961     48       813.62
1961     49       501.00
1961     50       282.61
1961     51       176.40
1961     52       133.69
1961     53       125.07
1961     54       121.92
1961     55+      340.68
1962     12-        0.18
1962     13         3.63
1962     14        48.51
1962     15       501.60
1962     16      2491.17
1962     17      7462.50
1962     18     19031.90
1962     19     38839.08
1962     20    105155.21
1962     21    159302.95
1962     22    194298.59
1962     23    215274.74
1962     24    216643.03
1962     25    195912.29
1962     26    162891.96
1962     27    132028.24
1962     28    107571.26
1962     29     98671.34
1962     30    123205.46
1962     31    104884.76
1962     32    109749.91
1962     33     91197.82
1962     34     87457.55
1962     35     70357.90
1962     36     60120.75
1962     37     48071.56
1962     38     40532.92
1962     39     26967.19
1962     40     21225.57
1962     41     12749.36
1962     42     10573.71
1962     43      6847.47
1962     44      5094.54
1962     45      2587.34
1962     46      1535.57
1962     47      1020.71
1962     48       759.27
1962     49       386.65
1962     50       240.79
1962     51       166.70
1962     52       132.03
1962     53       119.20
1962     54       115.58
1962     55+      310.52
1963     12-        0.16
1963     13         3.10
1963     14        44.38
1963     15       470.21
1963     16      3299.37
1963     17     11076.03
1963     18     23725.61
1963     19     37627.23
1963     20     67809.34
1963     21    120708.43
1963     22    176652.46
1963     23    194901.16
1963     24    208561.38
1963     25    197804.88
1963     26    173107.69
1963     27    144175.61
1963     28    117116.58
1963     29     90487.24
1963     30    100585.68
1963     31     94561.88
1963     32     94850.35
1963     33     88046.27
1963     34     77745.51
1963     35     72704.31
1963     36     56868.54
1963     37     47953.03
1963     38     38265.27
1963     39     28986.17
1963     40     22340.35
1963     41     13502.98
1963     42      9763.89
1963     43      6644.81
1963     44      4050.59
1963     45      3055.97
1963     46      1314.14
1963     47       800.30
1963     48       563.92
1963     49       343.56
1963     50       229.56
1963     51       158.37
1963     52       128.58
1963     53       112.79
1963     54       101.90
1963     55+      255.41
1964     12-        0.18
1964     13         4.00
1964     14        57.19
1964     15       531.51
1964     16      2630.97
1964     17     13830.90
1964     18     33687.89
1964     19     45435.65
1964     20     57928.52
1964     21     67287.66
1964     22    126669.38
1964     23    170472.56
1964     24    181852.75
1964     25    186287.45
1964     26    170762.99
1964     27    149283.54
1964     28    125998.36
1964     29     96770.21
1964     30     86536.74
1964     31     75648.29
1964     32     85922.82
1964     33     74108.97
1964     34     73310.77
1964     35     64188.98
1964     36     58367.18
1964     37     44410.09
1964     38     37943.33
1964     39     27781.98
1964     40     24182.54
1964     41     13476.36
1964     42     10102.26
1964     43      6130.26
