Russian Federation, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 22/10/2020
Year    Age        Total          B1          B2          B3          B4         B5p
1959     12-        0.23        0.23        0.00        0.00        0.00        0.00
1959     13         3.48        3.48        0.00        0.00        0.00        0.00
1959     14        31.14       31.14        0.00        0.00        0.00        0.00
1959     15       260.98      260.98        0.00        0.00        0.00        0.00
1959     16      1296.64     1296.64        0.00        0.00        0.00        0.00
1959     17      8142.89     8141.42        1.28        0.17        0.00        0.00
1959     18     36734.26    36384.01      329.46       20.69        0.10        0.00
1959     19     79689.00    72402.71     6936.84      348.54        0.90        0.00
1959     20    160907.30   138957.94    20396.43     1543.12        9.79        0.00
1959     21    187185.16   149945.30    33620.66     3551.86       67.25        0.09
1959     22    217722.00   158634.00    51025.95     7590.44      465.28        6.32
1959     23    202020.86   129633.67    58374.76    11819.37     1949.82      243.25
1959     24    179887.65    96079.40    62120.50    15849.22     4211.01     1627.52
1959     25    155574.31    71094.04    59956.42    17969.01     4845.53     1709.31
1959     26    154786.09    58326.82    62183.46    23753.43     7629.98     2892.41
1959     27    161355.56    50799.17    64853.92    30172.24    11072.38     4457.84
1959     28    163805.45    43721.34    64593.37    34773.41    14353.38     6363.95
1959     29    155848.08    35486.46    59399.93    35437.50    16666.41     8857.77
1959     30    168710.23    31421.42    59706.22    40068.32    22089.50    15424.77
1959     31    134295.50    21914.25    44134.84    31871.02    19385.98    16989.41
1959     32    122447.19    17946.06    36988.56    28569.35    18762.68    20180.55
1959     33    100411.25    13392.93    27498.23    22867.14    16068.80    20584.12
1959     34     85663.79    10414.63    20897.20    18895.86    14233.74    21222.37
1959     35     76493.02     8628.13    16610.55    16077.55    12843.27    22333.52
1959     36     55692.55     5852.64    10862.61    11040.88     9249.18    18687.23
1959     37     41583.89     3983.37     7093.64     7591.09     6756.60    16159.19
1959     38     34002.58     2884.75     4917.77     5546.09     5304.95    15349.01
1959     39     25343.24     1850.09     3019.04     3584.48     3710.32    13179.30
1959     40     26309.96     1734.65     2734.70     3336.21     3641.34    14863.05
1959     41     17657.64     1036.94     1569.78     1980.06     2284.18    10786.66
1959     42     11409.07      582.97      846.62     1116.46     1372.16     7490.86
1959     43      9227.94      407.47      568.74      787.12     1032.00     6432.59
1959     44      7420.85      283.73      380.52      554.40      774.47     5427.74
1959     45      5914.62      198.05      259.92      393.95      584.54     4478.17
1959     46      2930.23       92.45      123.14      187.04      285.86     2241.75
1959     47      1893.32       59.75       81.80      122.36      187.76     1441.66
1959     48      1042.94       34.26       48.50       70.65      106.73      782.78
1959     49       952.68       33.72       49.22       69.25      100.73      699.76
1959     50       374.62       15.04       21.68       29.33       40.62      267.96
1959     51       211.81        9.43       12.98       17.17       23.09      149.14
1959     52       150.53        6.31        9.42       12.36       16.78      105.66
1959     53       148.84        5.02        9.31       12.21       17.53      104.78
1959     54       166.15        4.45       10.63       13.74       21.03      116.30
1959     55+      522.47       17.65       45.72       49.96       80.23      328.90
