Russian Federation, Live births by calendar year, age and birth cohort (Lexis triangles)
Last modified: 22/10/2020
Year   Age    Cohort           Total
1959    12-        .            0.23
1959    13      1946            1.43
1959    13      1945            2.05
1959    14      1945           11.54
1959    14      1944           19.60
1959    15      1944           94.40
1959    15      1943          166.58
1959    16      1943          388.59
1959    16      1942          908.05
1959    17      1942         2284.83
1959    17      1941         5858.06
1959    18      1941        14432.90
1959    18      1940        22301.36
1959    19      1940        34309.78
1959    19      1939        45379.22
1959    20      1939        71035.09
1959    20      1938        89872.21
1959    21      1938        94110.94
1959    21      1937        93074.22
1959    22      1937       111098.52
1959    22      1936       106623.48
1959    23      1936       107585.55
1959    23      1935        94435.31
1959    24      1935        97035.50
1959    24      1934        82852.15
1959    25      1934        78112.76
1959    25      1933        77461.55
1959    26      1933        71427.82
1959    26      1932        83358.27
1959    27      1932        82418.57
1959    27      1931        78936.99
1959    28      1931        75104.38
1959    28      1930        88701.07
1959    29      1930        80666.81
1959    29      1929        75181.27
1959    30      1929        78101.82
1959    30      1928        90608.41
1959    31      1928        74916.46
1959    31      1927        59379.04
1959    32      1927        59573.22
1959    32      1926        62873.97
1959    33      1926        54245.35
1959    33      1925        46165.90
1959    34      1925        43942.26
1959    34      1924        41721.53
1959    35      1924        40499.16
1959    35      1923        35993.86
1959    36      1923        30763.51
1959    36      1922        24929.04
1959    37      1922        23267.56
1959    37      1921        18316.33
1959    38      1921        17154.78
1959    38      1920        16847.80
1959    39      1920        13655.89
1959    39      1919        11687.35
1959    40      1919        11734.99
1959    40      1918        14574.97
1959    41      1918        11311.15
1959    41      1917         6346.49
1959    42      1917         5370.33
1959    42      1916         6038.74
1959    43      1916         4550.21
1959    43      1915         4677.73
1959    44      1915         3528.56
1959    44      1914         3892.29
1959    45      1914         3293.38
1959    45      1913         2621.24
1959    46      1913         1549.94
1959    46      1912         1380.29
1959    47      1912         1101.83
1959    47      1911          791.49
1959    48      1911          501.77
1959    48      1910          541.17
1959    49      1910          575.57
1959    49      1909          377.11
1959    50      1909          196.75
1959    50      1908          177.87
1959    51      1908          121.11
1959    51      1907           90.70
1959    52      1907           75.47
1959    52      1906           75.06
1959    53      1906           76.33
1959    53      1905           72.51
1959    54      1905           80.08
1959    54      1904           86.07
1959    55+        .          522.47
1960    12-        .            0.19
1960    13      1947            0.97
1960    13      1946            2.25
1960    14      1946           15.32
1960    14      1945           20.65
1960    15      1945          108.66
1960    15      1944          171.62
1960    16      1944          525.34
1960    16      1943          797.44
1960    17      1943         1766.53
1960    17      1942         3974.56
1960    18      1942         8719.53
1960    18      1941        20071.09
1960    19      1941        33124.41
1960    19      1940        44534.09
1960    20      1940        64764.67
1960    20      1939        79367.79
1960    21      1939        86788.11
1960    21      1938        99778.69
1960    22      1938       110975.00
1960    22      1937       109060.26
1960    23      1937       115815.49
1960    23      1936       107071.78
1960    24      1936       106909.07
1960    24      1935        93088.00
1960    25      1935        93172.85
1960    25      1934        78272.12
1960    26      1934        70906.24
1960    26      1933        69345.05
1960    27      1933        63260.16
1960    27      1932        75014.97
1960    28      1932        79125.44
1960    28      1931        75462.03
1960    29      1931        65339.45
1960    29      1930        77911.15
1960    30      1930        83121.94
1960    30      1929        76150.39
1960    31      1929        59713.71
1960    31      1928        68479.19
1960    32      1928        73930.33
1960    32      1927        60165.00
1960    33      1927        50823.72
1960    33      1926        52391.59
1960    34      1926        49061.63
1960    34      1925        42406.95
1960    35      1925        39832.77
1960    35      1924        37429.90
1960    36      1924        34804.61
1960    36      1923        30435.75
1960    37      1923        25662.98
1960    37      1922        21078.43
1960    38      1922        21291.16
1960    38      1921        16417.23
1960    39      1921        12979.31
1960    39      1920        12705.77
1960    40      1920        12485.48
1960    40      1919        10260.41
1960    41      1919         6949.39
1960    41      1918         8549.24
1960    42      1918         9209.62
1960    42      1917         5220.76
1960    43      1917         3581.15
1960    43      1916         3783.36
1960    44      1916         2634.23
1960    44      1915         2736.08
1960    45      1915         2297.36
1960    45      1914         2463.66
1960    46      1914         1695.30
1960    46      1913         1316.04
1960    47      1913          824.69
1960    47      1912          765.66
1960    48      1912          703.13
1960    48      1911          501.40
1960    49      1911          274.43
1960    49      1910          265.71
1960    50      1910          208.82
1960    50      1909          147.10
1960    51      1909          119.19
1960    51      1908          123.09
1960    52      1908          110.63
1960    52      1907           93.33
1960    53      1907           93.13
1960    53      1906           95.91
1960    54      1906           95.87
