Russian Federation, Live births by calendar year, age, birth cohort and birth order (Lexis triangles)
Last modified: 22/10/2020
Year   Age    Cohort           Total             B1             B2             B3             B4            B5p
1959    12-        .            0.23           0.23           0.00           0.00           0.00           0.00
1959    13      1946            1.43           1.43           0.00           0.00           0.00           0.00
1959    13      1945            2.05           2.05           0.00           0.00           0.00           0.00
1959    14      1945           11.54          11.54           0.00           0.00           0.00           0.00
1959    14      1944           19.60          19.60           0.00           0.00           0.00           0.00
1959    15      1944           94.40          94.40           0.00           0.00           0.00           0.00
1959    15      1943          166.58         166.58           0.00           0.00           0.00           0.00
1959    16      1943          388.59         388.59           0.00           0.00           0.00           0.00
1959    16      1942          908.05         908.05           0.00           0.00           0.00           0.00
1959    17      1942         2284.83        2284.65           0.15           0.02           0.00           0.00
1959    17      1941         5858.06        5856.77           1.13           0.15           0.00           0.00
1959    18      1941        14432.90       14365.07          63.36           4.44           0.03           0.00
1959    18      1940        22301.36       22018.94         266.10          16.25           0.07           0.00
1959    19      1940        34309.78       31935.14        2261.98         112.37           0.29           0.00
1959    19      1939        45379.22       40467.57        4674.86         236.17           0.61           0.00
1959    20      1939        71035.09       61805.70        8628.41         597.97           3.00           0.00
1959    20      1938        89872.21       77152.24       11768.02         945.15           6.79           0.00
1959    21      1938        94110.94       76376.86       16104.25        1605.31          24.50           0.02
1959    21      1937        93074.22       73568.44       17516.41        1946.55          42.75           0.07
1959    22      1937       111098.52       82424.84       24993.43        3505.62         173.14           1.49
1959    22      1936       106623.48       76209.16       26032.52        4084.82         292.14           4.83
1959    23      1936       107585.55       70689.83       30149.80        5836.01         836.96          72.95
1959    23      1935        94435.31       58943.84       28224.96        5983.36        1112.86         170.30
1959    24      1935        97035.50       53318.08       32824.91        8108.13        2064.94         719.44
1959    24      1934        82852.15       42761.32       29295.59        7741.09        2146.07         908.08
1959    25      1934        78112.76       36686.09       29688.71        8604.78        2302.94         830.24
1959    25      1933        77461.55       34407.95       30267.71        9364.23        2542.59         879.07
1959    26      1933        71427.82       27816.66       28612.38       10496.96        3275.37        1226.45
1959    26      1932        83358.27       30510.16       33571.08       13256.47        4354.61        1665.96
1959    27      1932        82418.57       26690.32       33193.98       15003.77        5388.99        2141.50
1959    27      1931        78936.99       24108.85       31659.94       15168.47        5683.39        2316.34
1959    28      1931        75104.38       20633.64       29759.71       15662.06        6318.23        2730.74
1959    28      1930        88701.07       23087.70       34833.66       19111.35        8035.15        3633.21
1959    29      1930        80666.81       18879.87       30987.11       18171.90        8350.73        4277.19
1959    29      1929        75181.27       16606.59       28412.82       17265.60        8315.68        4580.58
1959    30      1929        78101.82       15003.52       28052.43       18493.87        9945.82        6606.18
1959    30      1928        90608.41       16417.90       31653.79       21574.45       12143.68        8818.59
1959    31      1928        74916.46       12429.56       24897.30       17807.93       10700.35        9081.33
1959    31      1927        59379.04        9484.69       19237.54       14063.09        8685.63        7908.08
1959    32      1927        59573.22        8886.02       18287.97       13951.78        9046.83        9400.62
1959    32      1926        62873.97        9060.04       18700.59       14617.57        9715.85       10779.93
1959    33      1926        54245.35        7335.26       15093.76       12405.31        8629.02       10781.98
1959    33      1925        46165.90        6057.67       12404.47       10461.83        7439.78        9802.14
1959    34      1925        43942.26        5413.92       10920.53        9756.55        7274.23       10577.04
1959    34      1924        41721.53        5000.71        9976.67        9139.31        6959.51       10645.33
