Russian Federation, Live births by calendar year, age reached during the year (ARDY) and birth cohort (vertical parallelograms)
Last modified: 22/10/2020
Year  ARDY   Cohort       Total
1959    12-   1947+        0.06
1959    13    1946         1.60
1959    14    1945        13.59
1959    15    1944       114.00
1959    16    1943       555.17
1959    17    1942      3192.88
1959    18    1941     20290.96
1959    19    1940     56611.14
1959    20    1939    116414.31
1959    21    1938    183983.15
1959    22    1937    204172.74
1959    23    1936    214209.03
1959    24    1935    191470.81
1959    25    1934    160964.91
1959    26    1933    148889.37
1959    27    1932    165776.84
1959    28    1931    154041.37
1959    29    1930    169367.88
1959    30    1929    153283.09
1959    31    1928    165524.87
1959    32    1927    118952.26
1959    33    1926    117119.32
1959    34    1925     90108.16
1959    35    1924     82220.69
1959    36    1923     66757.37
1959    37    1922     48196.60
1959    38    1921     35471.11
1959    39    1920     30503.69
1959    40    1919     23422.34
1959    41    1918     25886.12
1959    42    1917     11716.82
1959    43    1916     10588.95
1959    44    1915      8206.29
1959    45    1914      7185.67
1959    46    1913      4171.18
1959    47    1912      2482.12
1959    48    1911      1293.26
1959    49    1910      1116.74
1959    50    1909       573.86
1959    51    1908       298.98
1959    52    1907       166.17
1959    53    1906       151.39
1959    54    1905       152.59
1959    55+   1904-      608.54
1960    12-   1948+        0.06
1960    13    1947         1.10
1960    14    1946        17.57
1960    15    1945       129.31
1960    16    1944       696.96
1960    17    1943      2563.97
1960    18    1942     12694.09
1960    19    1941     53195.50
1960    20    1940    109298.76
1960    21    1939    166155.90
1960    22    1938    210753.69
1960    23    1937    224875.75
1960    24    1936    213980.85
1960    25    1935    186260.85
1960    26    1934    149178.36
1960    27    1933    132605.21
1960    28    1932    154140.41
1960    29    1931    140801.48
1960    30    1930    161033.09
1960    31    1929    135864.10
1960    32    1928    142409.52
1960    33    1927    110988.72
1960    34    1926    101453.22
1960    35    1925     82239.72
1960    36    1924     72234.51
1960    37    1923     56098.73
1960    38    1922     42369.59
1960    39    1921     29396.54
1960    40    1920     25191.25
1960    41    1919     17209.80
1960    42    1918     17758.86
1960    43    1917      8801.91
1960    44    1916      6417.59
1960    45    1915      5033.44
1960    46    1914      4158.96
1960    47    1913      2140.73
1960    48    1912      1468.79
1960    49    1911       775.83
1960    50    1910       474.53
1960    51    1909       266.29
1960    52    1908       233.72
1960    53    1907       186.46
1960    54    1906       191.78
1960    55+   1905-      605.48
1961    12-   1949+        0.06
1961    13    1948         1.21
