Russian Federation, Live births by calendar year, age reached during the year (ARDY), birth cohort and birth order (vertical parallelograms)
Last modified: 22/10/2020
Year  ARDY   Cohort       Total          B1          B2          B3          B4         B5p
1959    12-   1947+        0.06        0.06        0.00        0.00        0.00        0.00
1959    13    1946         1.60        1.60        0.00        0.00        0.00        0.00
1959    14    1945        13.59       13.59        0.00        0.00        0.00        0.00
1959    15    1944       114.00      114.00        0.00        0.00        0.00        0.00
1959    16    1943       555.17      555.17        0.00        0.00        0.00        0.00
1959    17    1942      3192.88     3192.70        0.15        0.02        0.00        0.00
1959    18    1941     20290.96    20221.84       64.49        4.59        0.03        0.00
1959    19    1940     56611.14    53954.08     2528.08      128.62        0.36        0.00
1959    20    1939    116414.31   102273.27    13303.27      834.14        3.61        0.00
1959    21    1938    183983.15   153529.10    27872.27     2550.46       31.29        0.02
1959    22    1937    204172.74   155993.28    42509.84     5452.17      215.89        1.56
1959    23    1936    214209.03   146898.99    56182.32     9920.83     1129.10       77.78
1959    24    1935    191470.81   112261.92    61049.87    14091.49     3177.80      889.74
1959    25    1934    160964.91    79447.41    58984.30    16345.87     4449.01     1738.32
1959    26    1933    148889.37    62224.61    58880.09    19861.19     5817.96     2105.52
1959    27    1932    165776.84    57200.48    66765.06    28260.24     9743.60     3807.46
1959    28    1931    154041.37    44742.49    61419.65    30830.53    12001.62     5047.08
1959    29    1930    169367.88    41967.57    65820.77    37283.25    16385.88     7910.40
1959    30    1929    153283.09    31610.11    56465.25    35759.47    18261.50    11186.76
1959    31    1928    165524.87    28847.46    56551.09    39382.38    22844.03    17899.92
1959    32    1927    118952.26    18370.71    37525.51    28014.87    17732.46    17308.70
1959    33    1926    117119.32    16395.30    33794.35    27022.88    18344.87    21561.91
1959    34    1925     90108.16    11471.59    23325.00    20218.38    14714.01    20379.18
1959    35    1924     82220.69     9623.08    18929.52    17726.25    13761.02    22180.83
1959    36    1923     66757.37     7276.38    13762.92    13651.38    11162.56    20904.12
1959    37    1922     48196.60     4845.71     8813.42     9188.19     7925.88    17423.38
1959    38    1921     35471.11     3208.66     5594.26     6141.71     5659.02    14867.47
1959    39    1920     30503.69     2411.05     4027.15     4655.02     4622.96    14787.49
1959    40    1919     23422.34     1624.83     2607.35     3138.31     3336.02    12715.83
1959    41    1918     25886.12     1618.96     2506.15     3102.70     3473.16    15185.13
1959    42    1917     11716.82      644.05      955.64     1230.54     1463.05     7423.53
1959    43    1916     10588.95      507.38      724.21      975.02     1232.83     7149.50
1959    44    1915      8206.29      339.81      465.81      659.48      889.30     5851.89
1959    45    1914      7185.67      257.30      340.81      506.75      729.10     5351.72
1959    46    1913      4171.18      135.38      178.50      271.36      408.75     3177.20
1959    47    1912      2482.12       78.01      105.18      158.79      243.58     1896.57
1959    48    1911      1293.26       41.42       57.59       85.17      130.02      979.05
1959    49    1910      1116.74       38.04       54.75       78.38      116.17      829.39
1959    50    1909       573.86       21.39       31.21       43.14       61.47      416.66
1959    51    1908       298.98       12.65       17.81       23.83       32.51      212.18
1959    52    1907       166.17        7.29       10.32       13.57       18.27      116.72
1959    53    1906       151.39        5.74        9.47       12.43       17.32      106.44
1959    54    1905       152.59        4.56        9.67       12.60       18.61      107.15
1959    55+   1904-      608.54       19.89       51.22       57.05       91.28      389.09
1960    12-   1948+        0.06        0.06        0.00        0.00        0.00        0.00
1960    13    1947         1.10        1.10        0.00        0.00        0.00        0.00
1960    14    1946        17.57       17.57        0.00        0.00        0.00        0.00
1960    15    1945       129.31      129.31        0.00        0.00        0.00        0.00
1960    16    1944       696.96      696.96        0.00        0.00        0.00        0.00
1960    17    1943      2563.97     2563.83        0.12        0.02        0.00        0.00
1960    18    1942     12694.09    12656.01       34.89        3.12        0.07        0.00
1960    19    1941     53195.50    50714.22     2327.38      152.17        1.74        0.00
1960    20    1940    109298.76    96015.29    12326.02      942.24       15.22        0.00
1960    21    1939    166155.90   138142.92    25296.94     2628.96       87.06        0.02
1960    22    1938    210753.69   160227.28    44066.12     6038.76      420.10        1.43
1960    23    1937    224875.75   153240.40    59404.34    10699.67     1452.77       78.56
1960    24    1936    213980.85   125884.61    68361.25    15550.19     3245.30      939.50
1960    25    1935    186260.85    90841.07    69260.31    19325.48     4806.76     2027.24
1960    26    1934    149178.36    60070.83    60097.74    20842.23     5928.12     2239.42
1960    27    1933    132605.21    44214.76    54104.01    23295.90     7846.54     3144.00
1960    28    1932    154140.41    42779.96    62131.16    31729.99    12308.89     5190.40
1960    29    1931    140801.48    33034.45    55392.25    31753.55    13932.20     6689.04
1960    30    1930    161033.09    31594.46    60547.26    38080.63    19087.39    11723.35
1960    31    1929    135864.10    22804.95    47905.99    32574.77    18283.85    14294.56
1960    32    1928    142409.52    21201.23    46540.40    33826.94    20684.83    20156.11
1960    33    1927    110988.72    15092.89    33274.96    25876.51    16942.56    19801.80
1960    34    1926    101453.22    12763.01    27390.99    23064.08    16145.21    22089.94
1960    35    1925     82239.72     9632.40    19693.86    17996.51    13443.33    21473.62
1960    36    1924     72234.51     7965.29    15446.96    15030.61    11810.69    21980.95
1960    37    1923     56098.73     5807.17    10717.56    10917.84     9035.56    19620.61
1960    38    1922     42369.59     4013.16     7016.22     7448.34     6625.04    17266.84
1960    39    1921     29396.54     2486.26     4128.77     4542.43     4375.42    13863.64
1960    40    1920     25191.25     1901.98     3007.70     3397.43     3540.88    13343.28
1960    41    1919     17209.80     1185.66     1791.32     2072.45     2290.50     9869.88
1960    42    1918     17758.86     1086.47     1547.88     1871.67     2173.40    11079.45
1960    43    1917      8801.91      478.72      648.06      824.55      986.91     5863.67
1960    44    1916      6417.59      310.86      400.74      538.63      656.42     4510.94
1960    45    1915      5033.44      217.50      268.00      380.36      468.47     3699.11
1960    46    1914      4158.96      165.35      200.83      295.15      367.90     3129.71
1960    47    1913      2140.73       79.84       98.79      148.92      190.07     1623.13
1960    48    1912      1468.79       51.10       65.59      102.35      136.04     1113.71
1960    49    1911       775.83       25.26       33.84       54.88       76.63      585.22
1960    50    1910       474.53       14.81       20.29       34.31       50.59      354.53
1960    51    1909       266.29        8.61       11.49       19.67       29.72      196.81
1960    52    1908       233.72        7.54       10.12       17.46       26.82      171.78
1960    53    1907       186.46        5.29        8.04       14.18       22.31      136.65
1960    54    1906       191.78        4.62        8.61       15.25       24.16      139.16
1960    55+   1905-      605.48       19.27       40.90       61.45       90.79      393.09
1961    12-   1949+        0.06        0.06        0.00        0.00        0.00        0.00
1961    13    1948         1.21        1.21        0.00        0.00        0.00        0.00
1961    14    1947        17.98       17.98        0.00        0.00        0.00        0.00
1961    15    1946       236.54      236.54        0.00        0.00        0.00        0.00
1961    16    1945      1044.13     1044.13        0.00        0.00        0.00        0.00
1961    17    1944      3659.31     3659.10        0.16        0.03        0.00        0.00
1961    18    1943     11094.80    11062.33       29.80        2.64        0.03        0.00
1961    19    1942     37037.69    35367.50     1566.66      102.99        0.54        0.00
1961    20    1941    110665.54    96938.41    12740.72      978.62        7.79        0.00
1961    21    1940    168958.81   140103.58    26089.76     2712.62       52.83        0.01
1961    22    1939    201700.24   153243.98    42334.92     5824.12      296.15        1.07
1961    23    1938    231219.53   158167.66    60648.09    10995.35     1341.72       66.71
1961    24    1937    223485.88   132789.93    70332.70    16088.72     3417.72      856.81
1961    25    1936    198775.95    97674.68    72827.95    20686.42     5462.88     2124.00
1961    26    1935    166944.87    67079.63    66204.05    23625.59     7221.86     2813.74
1961    27    1934    130735.28    43920.66    52254.36    22779.01     8191.11     3590.15
1961    28    1933    117471.59    33120.39    46476.27    23630.52     9613.43     4630.98
1961    29    1932    127861.31    30184.88    49571.83    28158.62    12837.80     7108.19
1961    30    1931    123442.87    24558.52    46293.21    28367.33    14447.45     9776.36
1961    31    1930    139706.14    24149.18    49865.11    32499.22    18120.16    15072.47
1961    32    1929    111453.33    17086.91    37229.24    25904.89    15550.13    15682.16
1961    33    1928    115430.79    16195.46    35538.40    26492.42    16960.96    20243.55
1961    34    1927     86531.86    11278.77    24060.29    19419.76    13309.54    18463.48
1961    35    1926     82817.67    10054.00    20446.23    17863.05    13136.30    21318.09
1961    36    1925     66142.10     7525.72    14608.49    13546.54    10539.64    19921.71
1961    37    1924     55254.23     5944.49    10977.50    10634.90     8694.13    19003.20
1961    38    1923     42451.93     4254.87     7363.23     7455.88     6493.27    16884.68
1961    39    1922     29737.86     2702.56     4366.44     4611.84     4324.16    13732.85
1961    40    1921     21677.09     1791.78     2704.23     2963.77     2956.10    11261.21
1961    41    1920     17576.83     1330.63     1905.37     2146.10     2245.69     9949.04
1961    42    1919     11264.04      746.58     1036.50     1190.91     1333.58     6956.46
1961    43    1918     11472.85      647.34      898.91     1041.12     1264.16     7621.32
1961    44    1917      4754.17      227.78      321.47      372.67      491.35     3340.89
1961    45    1916      3763.87      152.91      222.67      257.97      367.41     2762.92
1961    46    1915      2807.46       98.64      151.59      177.14      263.11     2116.96
1961    47    1914      1854.69       58.66       96.22      113.94      170.25     1415.63
1961    48    1913      1014.76       30.06       52.39       62.55       92.54      777.22
1961    49    1912       678.59       19.49       35.82       42.83       62.11      518.35
1961    50    1911       353.99       10.43       19.64       23.15       32.73      268.05
1961    51    1910       241.57        7.61       14.37       16.34       22.60      180.64
1961    52    1909       139.34        4.05        8.48        9.60       13.12      104.08
1961    53    1908       135.24        2.74        7.63        9.43       12.71      102.73
1961    54    1907       118.14        1.37        5.97        8.50       11.13       91.16
