Russian Federation, Crude birth rate
Last modified: 22/10/2020
Year      CBR
1959    23.61
1960    23.16
1961    21.86
1962    20.14
1963    18.72
1964    16.88
1965    15.71
1966    15.35
1967    14.42
1968    14.07
1969    14.24
1970    14.61
1971    15.08
1972    15.30
1973    15.06
1974    15.61
1975    15.71
1976    15.90
1977    15.86
1978    15.91
1979    15.81
1980    15.91
1981    16.07
1982    16.63
1983    17.57
1984    16.97
1985    16.61
1986    17.25
1987    17.20
1988    16.03
1989    14.66
1990    13.44
1991    12.09
1992    10.69
1993     9.38
1994     9.59
1995     9.27
1996     8.88
1997     8.59
1998     8.76
1999     8.32
2000     8.70
2001     9.05
2002     9.69
2003    10.21
2004    10.43
2005    10.16
2006    10.35
2007    11.28
2008    12.02
2009    12.35
2010    12.54
2011    12.59
2012    13.31
2013    13.24
2014    13.34
2015    13.30
2016    12.93
2017    11.57
2018    11.00
